ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,
CL,CHL,Chile,2014,15,72.93056873,13,69.14667546,16,69.41347213,9,74.10993637,10,74.43989625,36,42.5982152,
CL,CHL,Chile,2015,15,71.96432869,14,65.21300233,16,70.0935489,10,76.6932902,10,74.56397271,37,42.58740858,
CL,CHL,Chile,2016,22,67.92545942,19,62.36151856,19,61.68950729,11,70.9591422,10,74.33060482,37,38.99177653,
CL,CHL,Chile,2017,21,65.14051082,32,55.7226289,17,65.04794063,10,76.28546203,10,74.04941048,37,37.47262163,
CL,CHL,Chile,2018,22,64.43504354,33,50.29047875,17,64.38693073,11,76.44141538,10,72.46316705,37,40.01592631,
CL,CHL,Chile,2019,23,66.56933589,33,54.14683202,17,63.36001793,11,75.60812668,10,72.42859031,37,43.42272438,
CL,CHL,Chile,2020,16,70.59854128,16,66.85694501,16,63.20810154,10,76.47322006,11,72.33512813,36,42.98548142,
CL,CHL,Chile,2021,19,67.62351589,15,65.62615728,25,59.62973708,11,77.0082858,11,72.20476814,37,43.04168875,
CL,CHL,Chile,2022,26,62.80547354,15,67.65230375,37,39.74636124,11,71.78283598,11,72.42865553,37,42.88667288,
CL,CHL,Chile,2023,24,64.06857958,33,46.80823924,21,60.32431743,10,80.05905513,11,72.37257169,35,41.74766101,
CL,CHL,Chile,2024,21,64.40807756,33,45.55542654,20,61.72499047,10,78.90854258,11,72.13110743,36,41.03430131,
CL,CHL,Chile,2025,21,67.65576524,32,54.36771074,20,61.55156659,10,76.76220035,11,72.09597922,37,41.44986184,
CL,CHL,Chile,2026,21,67.22150809,32,52.40121819,23,59.10985219,10,80.05747599,11,71.9322276,36,41.3326387,Baseline 2026
,,,,,,,,,,,,,,,,Individual reform elements
CL,CHL,Chile,2026,19,69.48113142,25,59.54449598,23,59.10985219,10,80.05747599,11,71.9322276,36,41.3326387,Corporate rate from 27% to 23%
CL,CHL,Chile,2026,16,71.80231201,32,52.40121819,11,78.64090526,10,80.05747599,11,71.9322276,36,41.3326387,No capital gains tax on the sale of listed shares
CL,CHL,Chile,2026,19,69.40224958,32,52.40121819,16,65.29770335,10,80.05747599,11,71.9322276,35,44.5239066,Full corporate integration: dividends rate from ~23% to 13%; dividends withholding rate from 17.45% to 8%.
CL,CHL,Chile,2026,19,70.35191519,32,52.40121819,23,59.10985219,10,80.05747599,11,71.9322276,32,57.00095427,90% participation exemption for dividends and capital gains earned abroad (ignore conditionality)
,,,,,,,,,,,,,,,,Combined reforms
CL,CHL,Chile,2026,19,70.82495408,25,59.54449598,17,63.04155578,10,80.05747599,11,71.9322276,35,43.17703125,23% corporate rate + full integration
CL,CHL,Chile,2026,13,75.4059986,25,59.54449598,10,82.60412197,10,80.05747599,11,71.9322276,35,43.17703125,23% corporate rate + full integration + no capital gains tax on the sale of listed shares
CL,CHL,Chile,2026,9,78.53142968,25,59.54449598,10,82.60412197,10,80.05747599,11,71.9322276,30,58.76872107,23% corporate rate + full integration + no capital gains tax on the sale of listed shares + 90% participation exemption for dividends and capital gains (ignore conditionality)
