ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,
DK,DNK,Denmark,2014,30,63.32087078,18,63.50603047,34,46.95406808,22,50.23174231,13,71.62594582,27,58.65321893,
DK,DNK,Denmark,2015,29,63.47796459,15,65.17431478,35,44.87099226,23,50.61171866,13,71.69522829,26,60.4398281,
DK,DNK,Denmark,2016,27,63.57908907,15,65.32892476,33,46.90286086,24,47.31442136,13,71.85617254,26,60.07543768,
DK,DNK,Denmark,2017,27,62.87494553,13,68.7146086,34,46.08017562,24,50.42751614,13,71.25348105,26,59.97179323,
DK,DNK,Denmark,2018,26,62.77815804,16,67.0076296,33,44.06289735,20,53.89057673,13,69.47286504,27,60.67165952,
DK,DNK,Denmark,2019,27,63.96222476,16,70.39797951,37,43.1537425,21,52.77182674,12,69.4407482,30,60.92348417,
DK,DNK,Denmark,2020,25,63.39061296,13,68.52310448,36,42.75882274,21,53.72239693,12,69.75170946,31,60.3954814,
DK,DNK,Denmark,2021,28,60.93540636,18,62.77944599,36,47.55496472,23,54.19805754,12,69.6053802,31,60.2377964,
DK,DNK,Denmark,2022,30,61.57648786,18,64.3970975,34,47.59213244,20,52.6712154,13,69.33003656,31,60.77329512,
DK,DNK,Denmark,2023,29,61.74443258,17,64.7213122,36,46.69188138,21,54.24271266,13,69.31929361,30,59.21832228,
DK,DNK,Denmark,2024,28,61.77090229,16,62.90340035,35,48.81710215,20,55.98198185,13,69.16940882,31,54.41201745,
DK,DNK,Denmark,2025,29,64.10299117,19,66.84466506,36,48.29073897,19,55.12697112,13,69.15308376,32,54.14698849,
DK,DNK,Denmark,2026,31,62.94574019,19,65.24050708,37,43.72233805,20,57.5200126,13,69.23938408,32,53.96936093,Baseline 2026
,,,,,,,,,,,,,,,,
DK,DNK,Denmark,2026,32,62.16186377,19,65.24050708,37,43.72233805,22,54.89385893,13,69.23938408,32,53.96936093,VAT reform: 0% on fruits and veggies; 12.5% on other food. 
,,,,,,,,,,,,,,,,C-efficiency: from 63.44% to 59%
,,,,,,,,,,,,,,,,VAT revenue: -9.7% (~26bn DKK)
