Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Canada,781.32,808.69,782.79,803.14,850.72,891.00,910.26,947.55,989.52,1012.52,1014.08,992.52,1001.29,1027.87,1074.06,1102.82,1120.59,1168.55,1213.91,1276.58,1342.74,1366.52,1407.65,1433.02,1477.25,1524.54,1564.53,1596.80,1612.78,1565.21,1613.47,1664.15,1693.20,1735.11,1779.62,1796.38,1822.74,1875.52,1919.77,1964.06,2003.34,2043.41,2084.28,2125.96,2168.48,2211.85,2256.09,2301.21,2347.24,2394.18,2442.07
UnitedStates,6529.17,6698.57,6570.57,6874.95,7374.01,7686.57,7956.49,8231.93,8578.00,8893.71,9064.41,9057.70,9379.74,9637.29,10026.41,10299.02,10689.96,11169.63,11666.66,12213.27,12713.06,12837.13,13066.42,13433.17,13941.71,14408.09,14792.30,15055.39,15011.49,14594.84,14964.37,15204.02,15542.16,15802.86,16177.46,16597.45,16865.60,17236.65,17650.33,18020.98,18381.40,18749.03,19124.01,19525.62,19935.65,20354.30,20781.74,21218.16,21663.74,22118.68,22583.17
Cuba,29.98,35.88,39.08,41.20,44.46,45.17,45.22,44.13,45.77,46.08,44.72,39.94,35.31,30.06,30.27,31.02,33.45,34.38,34.44,36.57,38.73,39.96,40.53,42.07,44.50,49.48,55.45,59.48,61.93,62.83,64.33,66.13,68.12,70.00,70.73,73.87,73.20,73.64,75.93,78.99,82.55,86.47,90.79,95.33,100.10,105.10,110.36,115.88,121.67,127.76,134.14
Mexico,517.95,563.39,559.86,536.36,555.73,570.14,548.74,558.92,565.88,589.64,619.52,645.68,669.11,696.28,729.20,687.21,727.58,778.24,814.83,836.56,880.87,875.54,876.69,889.16,927.36,955.48,1002.73,1034.86,1049.35,1000.02,1051.13,1093.64,1137.59,1153.06,1179.18,1210.18,1238.05,1267.72,1300.68,1329.30,1359.87,1391.15,1423.14,1455.88,1489.36,1523.62,1558.66,1594.51,1631.18,1668.70,1707.08
AntiguaBarbuda,0.39,0.40,0.40,0.43,0.47,0.50,0.56,0.60,0.63,0.66,0.68,0.70,0.71,0.74,0.79,0.76,0.81,0.85,0.89,0.93,0.98,0.93,0.94,1.00,1.06,1.13,1.27,1.39,1.39,1.22,1.14,1.12,1.16,1.16,1.21,1.26,1.31,1.34,1.37,1.39,1.42,1.44,1.46,1.49,1.51,1.54,1.56,1.59,1.61,1.64,1.66
Bahamas,4.41,4.00,4.27,4.42,5.05,5.29,5.39,5.55,5.67,6.06,5.96,5.71,5.49,5.51,5.68,5.93,6.18,6.31,6.61,7.08,7.37,7.57,7.77,7.67,7.74,8.00,8.20,8.32,8.13,7.79,7.91,7.96,8.20,8.20,8.16,8.03,8.05,8.13,8.31,8.48,8.65,8.80,8.94,9.08,9.23,9.37,9.52,9.68,9.83,9.99,10.15
Barbados,3.27,3.21,3.05,3.06,3.18,3.21,3.37,3.46,3.58,3.71,3.59,3.45,3.25,3.28,3.34,3.41,3.55,3.72,3.85,3.87,4.04,3.94,3.97,4.06,4.12,4.28,4.52,4.60,4.62,4.44,4.45,4.48,4.49,4.49,4.49,4.53,4.60,4.70,4.79,4.89,4.98,5.08,5.19,5.29,5.40,5.50,5.61,5.73,5.84,5.96,6.08
Belize,0.33,0.33,0.33,0.33,0.33,0.34,0.35,0.39,0.43,0.48,0.53,0.59,0.66,0.70,0.70,0.71,0.72,0.74,0.77,0.84,0.95,1.00,1.05,1.15,1.20,1.23,1.29,1.30,1.34,1.35,1.40,1.43,1.48,1.50,1.56,1.60,1.59,1.63,1.67,1.70,1.73,1.77,1.80,1.83,1.87,1.90,1.93,1.97,2.00,2.04,2.08
CostaRica,11.86,11.60,10.75,11.06,11.74,11.87,12.55,13.42,13.93,14.63,15.21,15.60,17.03,18.24,19.06,19.84,20.09,21.21,22.68,23.58,24.46,25.31,26.14,27.26,28.44,29.54,31.68,34.27,35.86,35.51,37.27,38.87,40.74,41.66,43.19,45.23,47.18,49.02,50.99,53.02,55.15,57.35,59.65,62.03,64.51,67.09,69.78,72.57,75.47,78.49,81.63
Dominica,0.19,0.22,0.22,0.23,0.24,0.25,0.26,0.28,0.31,0.31,0.32,0.33,0.33,0.34,0.34,0.35,0.36,0.36,0.38,0.38,0.39,0.39,0.38,0.41,0.42,0.42,0.44,0.46,0.50,0.49,0.49,0.49,0.49,0.49,0.51,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.60,0.61,0.62,0.63,0.64
DominicanRep,14.45,15.06,15.32,16.03,16.23,15.88,16.44,18.11,18.50,19.31,18.26,18.43,20.37,21.84,22.34,23.57,25.25,27.27,29.19,31.15,32.91,33.50,35.44,35.35,35.82,39.13,43.31,47.08,48.59,49.05,53.13,54.78,56.31,58.98,63.47,67.94,72.45,75.92,79.23,82.45,85.87,89.43,93.14,97.01,101.03,105.23,109.59,114.14,118.88,123.81,128.95
ElSalvador,11.78,10.55,9.88,10.03,10.17,10.23,10.25,10.51,10.70,10.81,11.33,11.73,12.62,13.55,14.37,15.29,15.55,16.21,16.82,17.40,17.77,18.08,18.50,18.92,19.27,19.96,20.74,21.54,21.81,21.13,21.42,21.89,22.30,22.72,23.04,23.57,24.13,24.66,25.23,25.78,26.30,26.82,27.36,27.82,28.30,28.78,29.27,29.76,30.27,30.79,31.31
Grenada,0.29,0.30,0.31,0.32,0.33,0.35,0.38,0.41,0.43,0.44,0.46,0.47,0.46,0.45,0.46,0.47,0.49,0.52,0.58,0.62,0.65,0.63,0.65,0.72,0.71,0.81,0.77,0.82,0.83,0.77,0.77,0.78,0.77,0.79,0.84,0.90,0.91,0.94,0.97,0.99,1.02,1.04,1.07,1.10,1.12,1.15,1.18,1.21,1.24,1.27,1.30
Guatemala,18.23,18.35,17.70,17.24,17.33,17.22,17.25,17.86,18.56,19.29,19.89,20.61,21.61,22.46,23.36,24.52,25.25,26.35,27.66,28.73,29.76,30.46,31.64,32.44,33.46,34.55,36.41,38.70,39.97,40.18,41.34,43.06,44.34,45.98,47.90,49.88,51.41,53.13,54.94,56.93,58.98,61.11,63.31,65.59,67.95,70.39,72.93,75.55,78.27,81.09,84.01
Haiti,6.97,6.77,6.53,6.59,6.61,6.65,6.62,6.57,6.77,6.58,6.64,6.77,6.41,6.06,5.34,5.87,6.11,6.27,6.41,6.58,6.64,6.57,6.56,6.58,6.35,6.46,6.61,6.83,6.89,7.10,6.71,7.08,7.28,7.59,7.80,7.90,8.01,8.21,8.43,8.65,8.90,9.15,9.41,9.69,9.98,10.28,10.59,10.91,11.24,11.57,11.92
Honduras,6.02,6.17,6.09,6.03,6.29,6.56,6.60,7.00,7.33,7.64,7.65,7.90,8.34,8.86,8.75,9.10,9.43,9.90,10.19,10.00,10.57,10.86,11.27,11.78,12.51,13.27,14.14,15.01,15.65,15.27,15.84,16.45,17.13,17.60,18.14,18.80,19.48,20.14,20.85,21.62,22.42,23.25,24.11,25.01,25.95,26.93,27.94,28.98,30.07,31.20,32.37
Jamaica,7.96,8.17,8.34,8.50,8.37,8.12,8.28,8.93,9.28,9.95,10.37,10.87,11.08,12.12,12.29,12.58,12.57,12.42,12.13,12.26,12.37,12.53,12.78,13.25,13.43,13.55,13.94,14.14,14.02,13.42,13.22,13.45,13.36,13.43,13.53,13.66,13.85,14.14,14.49,14.88,15.25,15.62,15.98,16.35,16.72,17.11,17.50,17.90,18.31,18.74,19.17
