ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,
GB,GBR,United Kingdom,2014,29,63.34056657,20,62.34027298,25,59.71743549,34,35.61972419,34,43.14939509,2,97.62549204,
GB,GBR,United Kingdom,2015,28,62.69786745,18,61.13188622,26,57.9233542,35,37.58836283,35,43.0519764,2,97.67174269,
GB,GBR,United Kingdom,2016,31,61.49016129,17,63.68096147,29,54.47119631,35,33.65308839,35,43.2890609,2,98.05721309,
GB,GBR,United Kingdom,2017,33,59.09008769,20,63.2493717,25,58.10169336,36,35.09788989,35,43.25768019,3,90.3112459,
GB,GBR,United Kingdom,2018,31,59.3391942,18,65.52321672,24,56.92355216,34,38.13996809,35,39.42075537,4,90.90342373,
GB,GBR,United Kingdom,2019,29,62.56268537,17,67.83702449,22,56.32334162,34,37.04698465,35,39.23131065,1,100,
GB,GBR,United Kingdom,2020,31,60.22777466,18,61.39104693,24,57.74031175,34,36.99537446,35,38.98623494,1,100,
GB,GBR,United Kingdom,2021,27,61.51565652,10,69.87356344,23,59.50669716,34,37.24677229,35,38.73010619,1,100,
GB,GBR,United Kingdom,2022,26,63.08913807,11,69.42051939,22,60.63973142,34,35.57169205,32,40.30159125,1,100,
GB,GBR,United Kingdom,2023,31,58.35548754,27,53.93338255,22,59.90763175,34,39.71978054,34,39.89641463,1,100,
GB,GBR,United Kingdom,2024,30,58.05655525,28,51.78845107,21,61.58378426,33,40.90885048,34,38.98793333,2,95.4693802,Baseline
,,,,,,,,,,,,,,,,
GB,GBR,United Kingdom,2024,32,56.58834103,28,51.78845107,28,55.22936166,33,40.90885048,34,38.98793333,2,95.46938021,CGT to 33%
GB,GBR,United Kingdom,2024,33,55.94268734,28,51.78845107,31,52.50692864,33,40.90885048,34,38.98793333,2,95.46938021,CGT to 39%
GB,GBR,United Kingdom,2024,34,55.32900289,28,51.78845107,33,49.96224674,33,40.90885048,34,38.98793333,2,95.46938021,CGT to 45%
GB,GBR,United Kingdom,2024,34,53.58384157,28,51.78845107,21,61.58378426,33,40.90885048,38,29.51806255,2,95.46938021,Introduce net wealth tax
GB,GBR,United Kingdom,2024,32,57.39776901,28,51.78845107,24,58.51579438,33,40.90885048,34,38.98793333,2,95.46938021,Dividends rate to 45%
GB,GBR,United Kingdom,2024,36,50.1828172,28,51.78845107,36,46.84304096,33,40.90885048,38,29.51806255,2,95.46938021,Combined changes (CGT at 45%)
