"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"CA","CAN","Canada",2014,25,65.8246507314807,20,61.9954345914004,29,52.9165916474928,13,63.4596056137951,26,59.5532110071342,20,67.8012756571238
"CA","CAN","Canada",2015,16,71.4731300689715,21,60.4087881605859,22,59.6741502081543,9,82.3194309888665,25,60.3528804544978,18,68.1709985367052
"CA","CAN","Canada",2016,18,70.8812426440596,23,61.0131485242542,26,56.0675121310033,9,78.5996324841331,25,61.7945857937734,19,70.1828764320144
"CA","CAN","Canada",2017,15,70.2494143059439,23,62.2333822965063,29,54.386109317608,6,85.1138480104289,25,61.9800820623801,20,69.915827932847
"CA","CAN","Canada",2018,15,69.9032271084527,25,59.9299573674738,28,52.7560762822905,6,86.3568861657014,24,59.3963395834414,21,69.2602482441552
"CA","CAN","Canada",2019,15,72.0082009396087,23,62.0803784472323,27,52.0590678462296,8,81.3969384645251,25,59.1268684599705,18,77.8432885104824
"CA","CAN","Canada",2020,14,71.068563280799,24,57.7817625424678,27,53.0493971911923,8,81.6727801584014,23,59.7958909180373,18,77.7051952044547
"CA","CAN","Canada",2021,14,69.6587191771687,26,56.2365877128796,28,54.4380527976048,8,82.8586028045706,25,59.2421464222544,18,77.7829884421539
"CA","CAN","Canada",2022,14,70.6814876487438,23,57.9279574829384,25,57.0757398779096,8,79.2115863512696,25,58.7385544072708,17,78.4124743354493
"CA","CAN","Canada",2023,14,70.8899467220188,21,59.9089786933585,26,57.1506499794431,9,82.2957872651987,25,58.6853328237353,17,77.8636341431253
"CA","CAN","Canada",2024,14,69.8016073781564,25,53.2658955423303,26,58.3400630760936,9,83.1187081670616,25,58.3921270778383,16,74.3288644926631
"CA","CAN","Canada",2025,13,73.843246711866,22,61.5312332833473,27,57.9775478968339,7,83.5432835094269,25,58.6819473179729,18,74.3048574793953
