"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"CR","CRI","Costa Rica",2014,15,70.4400313086774,31,54.7463405113102,20,61.5075343789176,7,80.9888117862516,11,73.0118564096627,31,53.2521983753058
"CR","CRI","Costa Rica",2015,14,72.4295113852057,32,50.9854483378998,17,63.6797440512053,7,84.9258312308246,11,73.1458690022897,28,61.914169016104
"CR","CRI","Costa Rica",2016,15,71.6251471469292,33,52.0009231883921,16,62.1488348801755,8,79.6540353718471,11,73.3231437853864,28,64.4258078424094
"CR","CRI","Costa Rica",2017,16,70.0645661814083,33,53.6802228138206,18,62.4418616412058,9,81.1300899867501,11,72.6184630215355,25,64.9670814935769
"CR","CRI","Costa Rica",2018,16,69.2267468955957,34,49.4401556064466,19,60.7462784899381,9,81.9502896961602,11,70.9414409103969,27,64.5012783150593
"CR","CRI","Costa Rica",2019,21,67.9033699021939,35,47.9735450964223,28,52.016850235524,9,80.0331829364013,16,64.9549851308931,24,73.5805857297942
"CR","CRI","Costa Rica",2020,22,65.4935510556435,35,41.9944285334785,32,48.4141817395642,9,79.6029085322522,16,65.2699569903981,23,74.1806959338369
"CR","CRI","Costa Rica",2021,22,65.0710712846101,35,40.8916247441744,32,50.4267249447222,9,82.2512301347235,16,65.2332511092489,23,74.4083806449549
"CR","CRI","Costa Rica",2022,21,64.7233937229163,36,40.7152963119763,31,51.137276972546,7,80.0782106177143,12,71.0843399822497,32,65.2172514107416
"CR","CRI","Costa Rica",2023,22,64.6489215119731,36,42.9837087529262,32,50.4829115249889,7,84.7960005480007,12,71.0692715384935,33,61.8107945339584
"CR","CRI","Costa Rica",2024,20,65.5492414462526,35,40.9236041944872,32,51.377562821199,6,84.6481350113907,12,70.8158154169457,30,62.4823628740256
"CR","CRI","Costa Rica",2025,17,71.4353671811906,34,48.0393615487916,23,60.570203193087,6,84.0717918979961,12,70.7832693045302,30,63.5875831525465
