"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"CZ","CZE","Czech Republic",2014,5,82.2716769658631,6,76.693001923697,1,100,26,46.9914907125761,12,72.5755569955391,10,77.8264244526033
"CZ","CZE","Czech Republic",2015,5,81.8461448221176,6,74.9996220512288,1,100,26,48.9601467294542,12,72.7139776942804,10,78.0946388501959
"CZ","CZE","Czech Republic",2016,5,81.6781772285637,6,75.0169726736993,1,100,26,45.361885833234,12,72.8680386152276,9,79.2472117350453
"CZ","CZE","Czech Republic",2017,4,79.6540747743829,5,75.1250120226113,1,100,26,48.5720898681003,12,72.1905037246728,9,80.1868878676402
"CZ","CZE","Czech Republic",2018,4,81.7359274070915,5,76.1848161205351,1,100,25,51.7738354798082,12,70.5076132227002,9,79.8965784501193
"CZ","CZE","Czech Republic",2019,5,83.6978119276932,6,78.5549454193485,1,100,26,51.3127702384377,11,70.4741000247463,14,81.5691389851592
"CZ","CZE","Czech Republic",2020,4,85.5999381690468,6,78.3195885143057,1,100,27,50.3962805014617,7,77.5917072891747,13,81.7674316219673
"CZ","CZE","Czech Republic",2021,5,82.7389447651441,6,77.0993071629348,4,93.3555995449506,26,51.5203877231752,7,77.4488431947921,12,83.1971950000863
"CZ","CZE","Czech Republic",2022,5,82.7959554239826,6,77.7422459276856,4,92.4067516842746,27,47.7683161038299,7,77.6301792768398,10,83.4800943167918
"CZ","CZE","Czech Republic",2023,7,79.3614399485826,6,78.2015385714324,4,92.0973285609592,36,38.4277551638951,7,77.564433144668,9,83.7089077760249
"CZ","CZE","Czech Republic",2024,9,77.7326773845205,9,70.2901710236559,5,91.1471356796085,34,40.1007965724258,7,77.3414247119906,10,78.4448386507252
"CZ","CZE","Czech Republic",2025,8,77.7204690142186,9,73.2267103039686,10,80.089560236027,33,41.546195504734,6,77.3050543050806,11,78.6882476120021
"CZ","CZE","Czech Republic",2026,8,80.2137770739334,9,73.1460396542978,4,91.0417736948699,32,43.106371491313,7,77.1289437829404,11,78.8392730108402
