"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"DK","DNK","Denmark",2014,33,61.6678490251753,18,63.3098186801459,34,48.4056585093969,22,50.5144871911816,17,65.2819633714641,29,58.6535644082604
"DK","DNK","Denmark",2015,30,62.0830784128824,13,66.1049250708598,35,45.3164914178638,24,51.1815822580248,16,64.9529921313687,27,61.2528888019443
"DK","DNK","Denmark",2016,31,61.5046931686671,14,66.9074127877634,34,46.5443903145027,25,47.5196159137938,18,65.1061035746528,27,63.4599296459465
"DK","DNK","Denmark",2017,28,61.1609773631734,12,69.3845014790105,35,45.8459772547986,23,50.6587757036678,17,64.7897442951852,26,63.2886165188559
"DK","DNK","Denmark",2018,27,60.5363209916577,15,68.5483714018272,34,44.100827430355,20,54.2314910354173,17,62.5176611126241,27,63.1592158551706
"DK","DNK","Denmark",2019,29,62.8972308230124,13,70.3462254795967,34,42.9764379765204,20,53.4533761796997,17,62.5686713905491,29,65.7507217271834
"DK","DNK","Denmark",2020,28,61.859419863703,10,68.5540724369726,36,43.8022777139693,20,53.9433428586102,17,62.823135865288,31,66.0031109588114
"DK","DNK","Denmark",2021,31,59.0636688200176,18,62.6154399822473,36,45.1481180910569,21,53.6792938539652,17,62.6520964118418,31,65.7409455737011
"DK","DNK","Denmark",2022,29,61.0314142967562,18,64.3353042152671,34,46.35188235869,20,52.9344178119547,18,61.972318785623,30,64.6491381416566
"DK","DNK","Denmark",2023,28,60.4520023145376,17,64.996425193269,35,46.5603358724695,20,54.6982758135658,18,62.1825874907193,29,64.9552925688372
"DK","DNK","Denmark",2024,28,60.1919290169081,14,63.3419181695756,36,47.4774809305685,20,55.3905891121134,17,62.2991058963667,32,59.4472053074207
