"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"EE","EST","Estonia",2014,1,100,1,100,2,96.8319939216659,12,66.4174954029178,1,100,12,75.3483958587354
"EE","EST","Estonia",2015,1,100,1,100,2,97.4330600531084,14,67.3161913941232,1,100,12,76.2448806827689
"EE","EST","Estonia",2016,1,100,1,100,3,97.944932227827,14,63.4376802538001,1,100,12,76.3860204341208
"EE","EST","Estonia",2017,1,100,1,100,2,98.3326627062173,12,70.6737004681047,1,100,5,83.6077763240736
"EE","EST","Estonia",2018,1,100,1,100,2,97.662059944304,15,63.4580644980481,1,100,6,84.0380360581197
"EE","EST","Estonia",2019,1,100,1,100,3,94.7452087878222,15,62.8236589719967,1,100,13,79.123048932409
"EE","EST","Estonia",2020,1,100,1,100,3,94.542358994711,15,63.2615988627747,1,100,12,78.7208245563622
"EE","EST","Estonia",2021,1,100,1,100,1,100,14,64.0138748198243,1,100,13,79.7328242330869
"EE","EST","Estonia",2022,1,100,1,100,1,100,15,58.8044440555314,1,100,11,80.4879712362052
"EE","EST","Estonia",2023,1,100,1,100,1,100,13,65.7287060040408,1,100,14,78.3021137679227
"EE","EST","Estonia",2024,1,100,2,99.743596831924,1,100,18,58.8116930302083,1,100,8,80.7450696338569
"EE","EST","Estonia",2025,1,100,2,96.0156578286228,2,98.6849432095416,22,52.6866046532895,1,100,7,83.5699408872237
"EE","EST","Estonia",2026,1,100,2,95.9604393328318,1,100,24,53.5162258594868,1,100,7,82.8075565667035
