"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"HU","HUN","Hungary",2014,14,72.5708813859157,16,64.9618685805858,9,85.6756750923436,36,33.0408491293686,16,67.6836068880894,4,86.2139502268084
"HU","HUN","Hungary",2015,14,72.3220424396356,17,61.8205624193487,9,85.9844405782016,36,34.1882040318196,16,67.8591486558746,4,86.7823719142622
"HU","HUN","Hungary",2016,14,72.7764951428589,19,62.8828795496883,9,87.8919338648931,36,33.3112203571878,17,68.0083046709498,4,88.1810829900105
"HU","HUN","Hungary",2017,11,73.3180006732681,14,68.1637827673762,8,87.8990308516365,35,38.1030562805618,16,67.2935143381559,4,88.7625760839875
"HU","HUN","Hungary",2018,9,75.4070653132723,8,74.3790073541724,8,87.16268086441,36,36.0510289888664,16,65.2824618772101,2,92.0641357797211
"HU","HUN","Hungary",2019,8,78.7338406118265,5,78.7652146572935,7,86.6459956373372,36,34.6517066601312,15,65.2612432928215,3,97.4358093126483
"HU","HUN","Hungary",2020,7,78.1109560515396,5,80.851834838911,6,86.3442111353126,38,31.3859043577443,14,65.57743281397,3,97.3825722875633
"HU","HUN","Hungary",2021,6,77.8556087016173,5,82.083010370652,5,90.4199484256887,38,31.8226943029486,15,65.428146219146,2,97.7749630840507
"HU","HUN","Hungary",2022,10,76.6868264562583,4,81.8485516281372,5,89.5886478812623,36,31.1917783710694,21,59.8295017009217,3,98.3891967104539
"HU","HUN","Hungary",2023,9,77.1218333451556,4,82.5915364653781,5,90.2764099801811,37,36.6010690038434,21,59.8451905116914,3,98.5038024753862
"HU","HUN","Hungary",2024,7,78.6476909210272,4,82.6545955838459,4,91.8967577814517,35,37.7396151700121,22,59.5395261893653,3,95.586880386946
"HU","HUN","Hungary",2025,6,80.2643708759793,4,83.2392015960972,3,91.8488149576038,36,35.7364750454036,22,59.484546052075,3,95.8613772586973
