"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"IL","ISR","Israel",2014,13,73.618336381532,13,67.9660092907749,34,44.7977061370431,11,71.8283835257743,6,80.5902296018709,23,66.676555909715
"IL","ISR","Israel",2015,13,74.2954983838688,13,67.3628061205494,32,48.6389326826062,11,75.162903622207,6,80.4949259539114,23,66.0515050293045
"IL","ISR","Israel",2016,11,75.513470868661,12,71.1420333180265,32,50.2841791966452,10,70.9727706180945,6,80.7989424559126,23,68.9180255446446
"IL","ISR","Israel",2017,10,73.7037839732878,15,67.3900943880402,30,52.4908484412931,11,75.7832570117006,6,80.0895334510706,21,69.6580308120902
"IL","ISR","Israel",2018,12,74.3286204345117,14,69.2758404301581,30,47.9115391099057,10,77.5182492146571,6,78.7151862101296,20,69.43334019885
"IL","ISR","Israel",2019,11,76.3948836089886,18,67.0626223897624,32,47.0105021978563,10,75.924502632729,6,78.428289351402,17,77.7275091114409
"IL","ISR","Israel",2020,8,77.4909869724877,10,68.2166538782792,31,49.4357861727648,11,76.0650246185978,6,78.9462955707968,16,78.4128245168756
"IL","ISR","Israel",2021,8,76.6404707498983,13,67.6522159727415,31,51.8981049803289,10,76.8071491295412,6,78.715529241515,16,78.5244267552381
"IL","ISR","Israel",2022,6,78.3859444586949,13,67.8350179870154,30,55.4491484027978,10,73.2406314237989,6,78.5856810787923,14,81.3216392935561
"IL","ISR","Israel",2023,8,77.3050258741141,11,68.3447481272992,31,52.0494576359678,11,78.2962141707134,6,78.1872196441158,14,81.0470392831692
"IL","ISR","Israel",2024,7,78.1971685667766,9,67.5813045422676,31,52.535813270474,11,69.980370757814,6,77.792826772678,10,81.5060737227793
"IL","ISR","Israel",2025,9,78.6826930399763,10,69.645137947682,32,49.8193919811784,11,70.0622781328977,5,78.0983346358417,9,84.4742066393345
