"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"JP","JPN","Japan",2014,21,68.3606299923346,33,48.1681975136281,31,51.992183719875,2,97.3194473423945,26,58.2653647598794,30,58.4625340293095
"JP","JPN","Japan",2015,25,65.456818795677,34,46.4684065784644,32,48.610927127471,6,93.6523622992867,24,58.3413215361821,30,58.9323274158843
"JP","JPN","Japan",2016,18,68.6060603126088,33,51.482981230704,35,46.084478692609,1,100,24,58.544300057167,29,61.4667794266376
"JP","JPN","Japan",2017,20,66.5178135537234,32,53.5212900129992,34,46.5734172536566,4,95.1496092609366,24,58.5534270070585,24,64.7195024014369
"JP","JPN","Japan",2018,22,64.144082207653,33,51.0575542400111,33,44.5971224585902,4,94.5217447140254,25,50.2888926140494,24,65.1226365577051
"JP","JPN","Japan",2019,20,66.7075369285445,33,50.3764916996888,33,44.050351216769,4,93.4739693764647,25,50.0873373992052,19,73.4815995343925
"JP","JPN","Japan",2020,24,63.6186313341438,34,46.2523097047666,33,46.6201519732887,5,89.1945204752414,26,50.4031229232224,28,68.8493071399152
"JP","JPN","Japan",2021,25,62.3526287255587,34,43.5031484346707,33,48.1579794764397,5,90.4841862826457,25,50.2859203128736,28,68.8009969279238
"JP","JPN","Japan",2022,28,62.5703360952175,35,45.5111169529963,33,48.3342160437619,5,83.2871311309492,26,49.6932613097025,27,68.8521072895501
"JP","JPN","Japan",2023,26,62.2058622106714,34,45.7830930032792,34,48.3258144607444,5,88.8702484581203,26,50.0698766345248,25,65.7897796795557
"JP","JPN","Japan",2024,25,61.4463656795023,34,43.409307685358,34,49.2302210960247,5,87.8530278489024,26,50.0050099990262,29,60.5571535401132
