"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"LV","LVA","Latvia",2014,2,83.3310915881603,2,89.7006281088292,4,93.7778856439646,35,34.5623540946886,5,79.0298974819129,8,78.8445599412139
"LV","LVA","Latvia",2015,3,82.8311196925989,3,84.1906682893235,4,93.5976666119786,34,37.6311520682516,5,79.030251134836,6,81.736821074598
"LV","LVA","Latvia",2016,2,83.3581341142681,3,85.3230836492714,5,94.0406845273179,33,37.5885244516434,5,79.0777507360177,6,83.1580347381304
"LV","LVA","Latvia",2017,3,80.6710260043196,3,82.361867951238,4,93.8552802622436,32,40.4086436114407,5,78.7975132358698,7,83.4688110268317
"LV","LVA","Latvia",2018,2,85.4623539431974,2,96.1258155153588,6,90.1289621072487,28,48.6784782152513,5,76.8254596647104,10,80.1634026091364
"LV","LVA","Latvia",2019,2,88.8066910732034,1,100,5,88.6295560637928,28,47.1395464957804,5,76.6246437648498,9,84.9797512828454
"LV","LVA","Latvia",2020,2,89.4537720830931,1,100,5,89.0734356574649,28,49.9756233046081,5,77.271385224705,9,85.1970309561693
"LV","LVA","Latvia",2021,2,89.2077121353389,1,100,4,93.397815064055,27,50.9566611875084,5,77.2759305236633,8,85.2331953273285
"LV","LVA","Latvia",2022,2,89.8798076107565,1,100,3,93.7949899414612,26,48.5015510497268,5,76.9726881179537,8,85.2823823909541
"LV","LVA","Latvia",2023,2,88.8895269095394,1,100,3,92.8177173957128,25,52.3375229666673,5,77.1217088224331,8,84.8061155438763
"LV","LVA","Latvia",2024,2,92.1674564211216,1,100,3,94.6540769583414,21,54.8706114739145,5,77.1769128688794,7,85.7063253129916
