"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"NL","NLD","Netherlands",2014,11,76.3774095704987,22,60.7100305062091,17,64.5934417082537,17,59.5048637754305,21,63.8222453522477,1,100
"NL","NLD","Netherlands",2015,11,74.5070160287902,22,59.6682140652969,20,60.3279440565653,18,59.7847834851669,21,63.3587926035798,1,100
"NL","NLD","Netherlands",2016,11,74.2110428608486,23,60.736704443627,18,61.7875624942819,18,56.0094750859482,22,62.5731844663634,1,100
"NL","NLD","Netherlands",2017,12,72.3410482367363,24,61.4857274337136,21,60.5257944598514,18,58.4486168382155,22,62.457109447764,1,100
"NL","NLD","Netherlands",2018,13,72.7476930349042,23,60.0071963998447,21,58.3160202168757,17,61.4317123326934,23,59.7964442493634,1,100
"NL","NLD","Netherlands",2019,14,73.0149046476723,24,62.4435181702473,23,57.2556129599649,17,60.5089107944618,23,59.4748833861124,2,99.4923624272538
"NL","NLD","Netherlands",2020,16,70.7164042601999,24,58.0666285696858,24,56.1469004786186,19,56.4492146503558,24,59.5550759432859,2,99.7741342008636
"NL","NLD","Netherlands",2021,15,69.9453463173994,23,56.7367303420123,24,59.8676685093365,18,59.7046978733552,22,59.6604771973961,2,98.5559330615507
"NL","NLD","Netherlands",2022,15,69.9587559445467,26,57.5753378717137,23,60.2950542957628,17,57.4462375197529,24,58.8167715704804,3,98.3181964180671
"NL","NLD","Netherlands",2023,15,70.144192478747,24,58.0455346790342,24,58.7525686304599,17,59.9490624188415,23,59.2174706117474,3,98.4966584394716
"NL","NLD","Netherlands",2024,17,67.7806701495065,23,55.6632486006905,30,53.8926312150839,17,58.9414825779419,21,59.6774866379732,4,89.5030241177113
"NL","NLD","Netherlands",2025,17,71.9364306672454,23,61.0583884599239,30,54.5003005062166,16,58.9623425551571,21,60.0236859864484,3,93.5880178445128
"NL","NLD","Netherlands",2026,16,72.9008666457336,23,60.717871174191,28,64.4775210819683,14,60.5971646265359,20,60.6504453782211,3,93.5999948670023
