"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"NZ","NZL","New Zealand",2014,2,87.3148329645894,29,56.4992255317783,5,91.2566937916749,5,92.2630900302419,5,81.4375273116257,17,70.3250376365462
"NZ","NZL","New Zealand",2015,2,86.9579909006289,30,55.0503812015029,4,91.1770246084859,5,96.1386838631296,5,81.2947341956827,16,70.9310625609619
"NZ","NZL","New Zealand",2016,2,86.0531119035193,30,54.0712628402764,5,91.3661882145901,6,88.5690058785147,5,81.3017045136943,16,71.1936429667986
"NZ","NZL","New Zealand",2017,2,86.5625235070156,30,58.037092420884,5,92.0998630691396,1,100,5,81.8515678640346,16,72.0650442524301
"NZ","NZL","New Zealand",2018,2,88.072988470292,30,54.8969622020705,4,91.5683728947793,1,100,5,80.4636433118444,16,71.6719768926298
"NZ","NZL","New Zealand",2019,2,92.0174211738976,32,57.9860424159981,4,91.8010747527724,1,100,5,80.2653680708229,15,81.4322917749533
"NZ","NZL","New Zealand",2020,2,91.384468725847,33,52.1924262006308,4,91.5009969009432,1,100,5,80.6487152707611,14,81.5349985370513
"NZ","NZL","New Zealand",2021,2,88.7012686410515,30,49.33725023323,7,88.1075681162374,1,100,5,80.725132369015,14,81.6850715145054
"NZ","NZL","New Zealand",2022,2,90.8461474578644,30,51.8143933163844,8,86.2110441238998,1,100,4,80.6699579673757,13,83.1326931515872
"NZ","NZL","New Zealand",2023,2,89.326121554729,29,53.0366211363051,7,87.4295148291757,1,100,5,80.1497145749991,14,80.7928967912702
"NZ","NZL","New Zealand",2024,3,89.4395269913058,32,48.0140270319628,7,86.7676386693074,1,100,5,80.4510131401004,8,80.2171084522932
"NZ","NZL","New Zealand",2025,3,91.3528904381251,31,54.7814421482872,6,86.3017635990283,1,100,4,80.5807248785105,14,76.2944489918666
"NZ","NZL","New Zealand",2026,3,90.7099988623037,31,54.4414308247724,7,85.5372895067449,1,100,4,80.2038024671231,14,76.4434231075475
