"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"NO","NOR","Norway",2014,19,68.8745077090346,24,60.589896231587,18,65.4409431549115,24,49.9705083895064,14,67.2475392871292,14,74.5042527624312
"NO","NOR","Norway",2015,20,68.1144516806526,23,59.2520585391823,18,63.6436180976819,23,51.8185479225843,14,67.1878579672573,14,74.806821022835
"NO","NOR","Norway",2016,21,67.9233380870317,18,63.4058119743577,16,62.4484426874663,24,47.7492268442171,16,67.473314132271,14,76.0492468466826
"NO","NOR","Norway",2017,19,66.9802889515407,17,65.1905163474144,19,62.1862407775069,24,50.5410247378919,15,67.0756340326564,14,75.7864095258624
"NO","NOR","Norway",2018,18,67.0920084686259,17,67.1458378870672,21,59.8940134018128,24,52.9800193701679,15,63.699352685987,14,75.8536815415375
"NO","NOR","Norway",2019,16,69.8622185175718,16,68.8092177139373,19,57.9209679439556,26,51.785072309245,14,63.3248053760992,11,83.5155064453306
"NO","NOR","Norway",2020,17,68.6795596977576,15,65.6729367120452,21,58.653532365683,25,51.9899078336216,14,63.354301485043,11,83.4521740788932
"NO","NOR","Norway",2021,15,67.8763998635942,15,65.5690173941791,21,61.1702779641021,26,51.9730618777474,14,63.4728795376145,10,83.4639720469598
"NO","NOR","Norway",2022,16,68.7851192456458,14,66.9105507560847,25,58.7667036756913,22,50.9255280445111,15,63.1820704913477,11,83.1159391501977
"NO","NOR","Norway",2023,19,66.5996300957009,15,66.8475143575713,31,53.4742216656221,23,52.8297158291948,15,63.2016434482049,12,82.7043628649226
"NO","NOR","Norway",2024,18,66.5933659128025,13,64.6163733140767,27,56.0698232030032,25,52.325365815671,15,66.9385688042739,14,77.6107703773756
