"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"PL","POL","Poland",2014,24,67.2734403883025,6,76.6779892717715,11,78.0241552506039,38,32.0027179251854,25,59.6827764067713,17,69.2746250494885
"PL","POL","Poland",2015,26,65.4082436760671,6,75.1157053805295,11,79.2105955313236,38,33.4220278086681,27,59.7447564721483,29,60.4688740782844
"PL","POL","Poland",2016,27,63.7289977259326,6,76.118493060821,11,79.9278370894812,38,31.7501736969701,29,54.7877225206861,30,62.9217350006854
"PL","POL","Poland",2017,29,61.400450119207,8,73.3269352129488,11,79.4870361003998,38,32.0651645844919,28,54.2596476248965,29,62.4087042006808
"PL","POL","Poland",2018,30,60.1350136372385,6,74.8359241815255,11,78.6250376609035,38,30.9581210462403,27,51.4600440273378,30,61.8179193224244
"PL","POL","Poland",2019,31,62.0162046736405,12,70.755894532006,11,78.1700694698512,38,31.5786160196369,27,51.3035411784944,28,68.261715884784
"PL","POL","Poland",2020,32,60.9529596267866,12,67.7699962259634,9,78.4845507085369,36,33.0130998549828,28,51.5972921951755,30,67.6683113280165
"PL","POL","Poland",2021,32,59.8370348554706,12,68.2569240460339,9,80.1436723926846,36,33.5144985371406,27,51.657537152987,30,67.9910770836828
"PL","POL","Poland",2022,30,59.7076430152937,12,68.6985793805935,11,77.7153835965232,35,32.7777433324704,28,51.5811866536329,29,66.8041133730985
"PL","POL","Poland",2023,29,60.0965087159278,14,66.7136370958645,11,77.7532375668408,34,39.3624703790689,28,51.6951461398199,26,66.9851870005576
"PL","POL","Poland",2024,29,59.3465580579138,12,65.2910631276562,11,77.02629613371,37,31.2697678059749,28,51.4855162830154,23,67.2503326342122
"PL","POL","Poland",2025,35,54.5961430154943,13,67.6293575412858,33,49.1474495155153,37,35.3715456765471,28,51.1984270646441,30,62.7158056395338
