"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"SK","SVK","Slovak Republic",2014,10,77.8567940384843,11,71.8283327388703,7,87.6840670986524,32,39.0911884930306,4,82.7299713407908,15,72.9598278994174
"SK","SVK","Slovak Republic",2015,10,75.6550948962507,12,69.486207282313,8,87.4392313753194,31,43.1860641918743,4,82.6711906492115,24,64.0682791166693
"SK","SVK","Slovak Republic",2016,10,77.3052720908396,13,68.1760043214357,2,99.0886875520467,31,39.9896581032979,4,82.5714318303334,24,64.4297045635025
"SK","SVK","Slovak Republic",2017,10,74.1817343653923,12,70.7338864199764,3,95.5985837303141,29,43.1626630622259,4,82.51029163257,28,59.8389931498798
"SK","SVK","Slovak Republic",2018,9,76.6913040940369,12,70.2976176638556,3,95.059494281387,31,44.7254999709783,4,81.2559515608672,22,66.8095215736064
"SK","SVK","Slovak Republic",2019,11,78.4301095764637,13,71.2343839797092,2,95.7550836844846,30,44.2603713562722,4,81.1343164637075,25,68.4551481210334
"SK","SVK","Slovak Republic",2020,10,77.2906514653837,18,65.682276259995,2,95.170007764969,30,45.9090312786556,4,81.0544853726877,27,68.2750628385679
"SK","SVK","Slovak Republic",2021,8,77.8164604850236,19,62.2430161092381,2,99.1828264201427,30,47.4932691916017,2,86.2808130630385,27,68.2495066524454
"SK","SVK","Slovak Republic",2022,11,76.4975982092165,20,63.22862192087,2,98.319625918827,29,44.9559824960671,5,80.5750541837792,28,68.8003187688047
"SK","SVK","Slovak Republic",2023,8,77.5482073948562,15,66.4900906969632,2,98.2245124673646,28,48.8631605612748,4,80.459283717853,27,67.5851326119995
"SK","SVK","Slovak Republic",2024,8,78.1076582739311,14,63.2928229756017,2,99.8522112929796,29,48.1820562698166,4,80.5298507704009,23,66.2944906651695
"SK","SVK","Slovak Republic",2025,12,76.2730919890317,25,61.3850342253734,1,100,32,42.5697013185249,9,75.0518596424568,20,70.5967318213325
"SK","SVK","Slovak Republic",2026,14,74.3176192689557,24,60.7749086244243,2,94.6179329902416,33,43.0255369785125,10,74.4047319645003,20,70.8059682052068
