"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"CH","CHE","Switzerland",2014,5,82.4103125858319,10,73.970742519732,9,87.2417196589776,4,94.3145366800622,35,42.1764995764951,6,78.0929518339399
"CH","CHE","Switzerland",2015,5,82.1400779490834,10,71.9635812507897,9,87.2231748005375,3,92.6018205450841,36,42.3291108336802,7,78.672570278554
"CH","CHE","Switzerland",2016,5,81.2421822662321,9,73.4387028322892,9,82.7400666341165,5,89.7127383773115,36,42.4764730749951,7,80.5656663543775
"CH","CHE","Switzerland",2017,4,81.1390231713626,10,72.3555738546066,9,84.5402438004519,2,95.0743400659037,36,42.3828383527429,8,80.773344778987
"CH","CHE","Switzerland",2018,5,80.1608990539851,11,72.6432007362963,9,85.5597866316089,3,95.1262954159725,36,37.3029671779287,7,80.3863386468801
"CH","CHE","Switzerland",2019,4,85.4164335615322,11,72.711679324658,10,88.519929117078,3,95.4926637313758,37,36.3848342095739,4,97.3895916219181
"CH","CHE","Switzerland",2020,5,84.5586579220382,13,67.8164325933779,8,84.0514634954729,3,95.4855303778747,37,36.3562347949061,4,98.3669119222854
"CH","CHE","Switzerland",2021,4,85.1017224033791,10,68.22546340017,7,84.116947021503,3,95.4091165628392,36,36.5088971924718,4,98.4204849717211
"CH","CHE","Switzerland",2022,4,87.0795124049103,10,72.5408590630518,8,89.1849741633411,4,90.7921950696014,36,36.6569958140017,1,100
"CH","CHE","Switzerland",2023,4,86.2839943697893,10,70.9648093672886,8,90.9549334975854,3,94.9143919303087,36,36.7884487082913,1,100
