"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","Cross-Border Rank","Cross-Border Score"
"TR","TUR","Turkey",2014,9,79.4475066530257,9,74.3337251548495,6,88.2410591328312,13,63.5926385687985,23,61.4355408763748,14,73.7444330464694
"TR","TUR","Turkey",2015,8,79.7388157343972,9,72.6863708398349,6,88.2589694566641,13,69.0173601091208,24,61.7080649591115,14,73.8546655121104
"TR","TUR","Turkey",2016,9,79.4701443139489,8,74.1046647715412,7,88.6258272589331,15,63.0527481589004,26,61.6565293152564,13,73.8871011270096
"TR","TUR","Turkey",2017,9,76.2226964083829,6,74.1663729674635,8,84.1408019966094,13,65.0418319490035,26,60.998955163533,12,74.3514606861823
"TR","TUR","Turkey",2018,10,76.1011387129173,11,71.2845920462615,8,83.5289054322018,13,64.9634515667815,26,58.637735165693,13,74.7129656714563
"TR","TUR","Turkey",2019,8,79.3433669961473,11,73.725557993926,7,84.2113501300568,13,64.606308547962,26,58.7340278955262,9,81.6047587230017
"TR","TUR","Turkey",2020,11,76.8440099439358,17,65.9721575452728,7,82.2002281650336,13,64.4173167718715,26,59.1211122926903,9,81.1941895574513
"TR","TUR","Turkey",2021,13,73.2743867442464,24,57.7433558829182,8,86.4864388423677,16,61.9957499260138,26,59.051644650423,10,81.160313120828
"TR","TUR","Turkey",2022,10,76.151299568702,19,63.5954706396243,7,86.5528220709043,13,62.1382414332535,23,59.0344694156117,9,82.7931038373426
"TR","TUR","Turkey",2023,13,73.9783751744167,20,60.2807959830787,8,84.2133797924507,15,61.8862933762965,24,59.0399394421316,9,81.9779323185134
"TR","TUR","Turkey",2024,12,74.7970941527795,20,58.1135363315456,8,86.1775405410495,16,60.7999747849727,24,58.8149890001253,6,85.5283632503859
"TR","TUR","Turkey",2025,12,76.4663792657115,21,63.1660316665336,5,86.9515563606469,14,59.0945805062593,24,58.8631421840341,9,81.9221527314936
"TR","TUR","Turkey",2026,10,76.444910331064,21,62.9691486038959,6,86.7403847833254,15,60.3023300229954,25,58.6849588892895,8,81.8667647857129
