"country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"Australia",2016,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.27121,0.49,2.229938,1.42302741528584,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,50335.5704697987,0.495677137783973,0.919434914575111,0.333333333333333
"Austria",2016,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,"0",3,50,1,1,0.275,0,0.2,86,0,0.5,0.25,0.275,0.5,13.539476,1.10522284256619,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,36585.3658536585,0.595346920500117,0.122681552789533,0
"Belgium",2016,"BEL",0,100,1,1,1,21,1,8,75,0.5,0,1,1,0,0,1,0,"1",2,40,0.95,0.987878788,0.27,0.27,0.27,93,0,0.5,0.3399,0.27,0.538,1.025977,1.20327362914529,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,30487.8048780488,0.476392998987602,0.734991184871347,0
"Canada",2016,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2475,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.267,0.39343524,0.495296,4.367895,1.19048091581601,"CA",0.965116279069767,0.242105263157895,0.518965517241379,5,24000,0.474503207079933,1.97235811690682,0.333333333333333
"Chile",2016,"CHL",100,100,0.5,1,0,42,1,5,124.5,1,0,1,0,1,0,0,0.4,"0",1,124.5,0,0,0.35,0.35,0.3,25,1,0.5,0.24,0.21052632,0.4,10.035255,1.15535996811267,"CL",0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.497232747763124,0.666666666666667
"Czech Republic",2016,"CZE",0,5,0.5,0,1,53,1,5,94,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,86,1,0.5,0.19,0.15,0.15,0.385444,1.12910535346641,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,75872.5341426404,0.600302406645114,0.123348162111353,0
"Denmark",2016,"DNK",0,60,0,0,0,27,3,6,40,0.5,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.25,0.25,73,1,0.5,0.22,0.42,0.55794,1.236698,1.28937322967111,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,6666.66666666667,0.596063795426487,0.949360239404309,0.666666666666667
"Estonia",2016,"EST",100,100,1,0,0,20,1,7,27,0,0,0,0,0,0,0,0.2,"0",0,34,1,0,0,0,0.1,56,1,0,0.2,0,0.2,0.144043,1.05199374174167,"EE",1,1,1,20,28571.4285714286,0.728150828092231,0.179488455093125,0.666666666666667
"Finland",2016,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,0,0,0,1,0.34,"0",3,48,1,1,0.2,0,0.2,75,1,1,0.2,0.289,0.5159,2.255193,1.26995483889619,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,10752.688172043,0.543890115085756,0.423011485422539,0.666666666666667
"France",2016,"FRA",1,50,0.5,1,1,26,1,6,31,1,1,1,1,1,1,1,0.3444675,"0",2,80,0.95,0.88,0.3,0,0.3333,122,1,1,0.3443,0.44001,0.54501,14.909681,1.2378129701463,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,100243.902439024,0.48566405924343,1.63582265001634,0.666666666666667
