"Country","Overall Rank","Overall Score","Rate Rank","Rate Score","Cost Recovery Rank","Cost Recovery Score","Incentives/Complexity Rank","Incentives/Complexity Score"
"Australia",28,"49.3",33,"32.0",18,"48.9",11,"75.8"
"Austria",17,"58.3",20,"48.2",12,"52.4",15,"68.4"
"Belgium",25,"52.6",30,"33.4",4,"64.6",25,"62.1"
"Canada",20,"55.4",25,"42.4",24,"46.0",8,"78.9"
"Chile",30,"47.5",20,"48.2",36,"23.7",12,"75.6"
"Czech Republic",9,"70.8",4,"67.6",19,"48.9",13,"74.3"
"Denmark",16,"59.0",15,"57.9",26,"44.5",22,"63.4"
"Estonia",2,"99.7",8,"64.4",1,"100.0",3,"95.6"
"Finland",7,"73.1",8,"64.4",33,"39.0",1,"100.0"
"France",35,"38.9",36,"17.7",10,"53.3",19,"65.5"
"Germany",26,"52.4",32,"32.4",16,"50.7",6,"81.7"
"Greece",29,"47.6",28,"38.5",27,"44.3",18,"65.6"
"Hungary",4,"79.8",1,"100.0",32,"40.6",31,"53.8"
"Iceland",11,"68.4",8,"64.4",17,"49.4",14,"72.5"
"Ireland",5,"77.5",2,"88.7",31,"40.8",17,"66.9"
"Israel",27,"49.9",18,"54.7",11,"53.1",36,"31.6"
"Italy",31,"46.0",27,"39.1",6,"57.2",34,"42.5"
"Japan",36,"32.8",31,"32.9",34,"36.9",33,"42.8"
"Korea",33,"44.2",26,"40.1",8,"54.4",35,"39.3"
"Latvia",1,"100.0",8,"64.4",1,"100.0",2,"96.3"
"Lithuania",3,"85.6",3,"80.6",3,"72.3",24,"62.8"
"Luxembourg",23,"53.7",19,"48.4",9,"54.1",32,"52.4"
"Mexico",32,"45.1",33,"32.0",23,"46.4",16,"67.3"
"Netherlands",19,"56.8",20,"48.2",13,"52.0",20,"64.7"
"New Zealand",24,"53.3",28,"38.5",25,"44.5",7,"81.6"
"Norway",12,"65.9",15,"57.9",30,"42.2",5,"86.7"
"Poland",13,"64.4",4,"67.6",28,"43.8",23,"62.9"
"Portugal",34,"38.9",35,"27.2",22,"47.2",29,"56.8"
"Slovak Republic",14,"63.5",12,"61.2",14,"51.9",28,"61.0"
"Slovenia",10,"70.5",4,"67.6",21,"47.2",10,"75.8"
"Spain",22,"53.9",20,"48.2",20,"47.8",26,"61.7"
"Sweden",6,"73.1",14,"59.9",15,"51.1",4,"92.0"
"Switzerland",8,"70.8",13,"60.7",7,"55.5",9,"78.0"
"Turkey",18,"57.5",15,"57.9",29,"42.9",27,"61.4"
"United Kingdom",15,"61.6",4,"67.6",35,"36.4",21,"64.5"
"United States",21,"55.1",24,"45.3",5,"58.1",30,"56.5"
