"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","gross_receipts_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2015,0.25,"0",75,0.813463195231154,0.391406012913837,0.737888702767901,1,0,0,0.12,0,2,0,0.162822343267223,0,0.5,13.539476,1.0918321235404,0,0,0.25,0.25,20,34987.893314216,0.590574561306031,0,0.122447364965379,0,0,1,1,1,0,1,1,0,0.25,0,0.2,85,0,0.5,0
"AU","AUS","Australia",2015,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1425,0,0,0,0,0,0.49,2.229938,1.42440798506398,0,0,0.245,0.27142857,10,48730.6403375008,0.472482948362954,1,0.700134652837894,0,0,1,0,0,0,1,1,0,0,0.1,0.3,44,0.333333333333333,0.5,0
"BE","BEL","Belgium",2015,0.3399,"0",100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.155,0,3,1,0.00421445267431809,0,0.58435331,1.025977,1.21029970007111,0,0,0,0.25,21,6319.04976005039,0.46884433072661,0.5,0.732958573607878,0,1,1,1,0,1,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5,0
"CA","CAN","Canada",2015,0.2668885,"3",20,0.965116279069767,0.614285714285714,0.43,0.5,0,0,0.2125,0,1,0,0.0793409434976863,0,0.495296,3.353659,1.23819889307829,0,0,0.2475,0.338214,10.6,23453.725818895,0.363656503811612,0.5,1.49048030561777,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,95,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2015,0.21148581,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,0.303259567577754,0,0.4173622,3.474337,1.33463969632039,0,0,0,0.21135,8,63826.8268100133,0.691118348248865,0.5,0.06636522044111,1,1,1,1,1,1,1,1,0,0.35,0.35,0,90,0,0.5,0
"CL","CHL","Chile",2015,0.225,"100",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.295,0,0,0,0.200547999255439,0,0.4,10.035255,1.0962158410178,0,0,0.2,0.22580645,19,0,0.655358538664883,0.5,0.00083227200229589,0,1,0,1,0,0,0,0,1,0.125,0.35,0.3,25,0,0.5,0
"CO","COL","Colombia",2015,0.39,"0",100,0.737888702767901,0.547953910556565,0.869865253929667,0.5,0,0,0.31,0,5,1,0.0290728060688244,0,0.33,11.369485,0,0,1,0.1,0,16,0,0.405465129187652,0.5,0.00024535799803762,1,1,1,0,0,1,0,0,0,0.2,0.33,0.33,7,0,0.5,0
"CR","CRI","Costa Rica",2015,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,3,0,0.218427031337431,0.0614998795553873,0.22467692,1.981938,1.0718240431944,0,0.858561111135592,0,0.15,13,0,0.451870670124876,0.5,0.00032986058068274,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,1,0,0,0
"CZ","CZE","Czech Republic",2015,0.19,"0",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0,0.15,3e-06,1.14448685981597,0,0,0,0.15,21,67707.9535587165,0.553680420894398,0.5,0.00475123011906899,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5,0
"DE","DEU","Germany",2015,0.29780475,"1",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0,0.47475,5.529533,1.09637751941758,1,0,0.26375,0.26375,19,21297.5222109729,0.536334934624412,0.5,0.261049600655081,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,93,0.333333333333333,1,0
"DK","DNK","Denmark",2015,0.235,"0",60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,0.284715805923554,0,0.55794,1.236698,1.22350959029854,0,0,0.42,0.42,25,5879.07638734969,0.550762331226742,0.5,0.124539949645505,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.666666666666667,0.5,0
"EE","EST","Estonia",2015,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0,0.2032,0.143966,1.05659664467061,0,0,0.2,0,20,25581.7765656457,0.651908977287506,1,0.200150039084019,0,0,0,0,0,0,1,0,1,0,0,0.1,55,0,0,0
"ES","ESP","Spain",2015,0.28,"0",50,0.778563038959402,0.391406012913837,0.278958448750364,0.5,0,1,0.31,0,3,0,0,0,0.45,2.445619,1.100087896549,0,0,0.24,0.235,21,0,0.38430853360049,0.5,0.682532248272521,1,1,1,0,1,0,1,1,1,0.195,0.195,0.195,87,0.333333333333333,1,0
"FI","FIN","Finland",2015,0.2,"0",10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,0.13,0,0,0,0,0,0.57467517,2.255193,1.27973903794593,0,0,0.33,0.2805,24,8589.47283647476,0.557527327340092,0.5,0.373599471194225,0,1,1,0,0,1,1,1,1,0.2,0,0.2,75,0.5,1,0
"FR","FRA","France",2015,0.38,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.425,0,3,1,0.186024549283114,0.266066495980154,0.550365,14.77634,1.23126985164724,0,0,0.344,0.44001,20,93551.0876400815,0.478653518071982,0.5,1.53144696845107,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.5,1,0
"GB","GBR","United Kingdom",2015,0.2,"1",100,0.758823529411765,0,0.826923076923077,0,0,1,0.185,0,2,0,0,0,0.47,4.169222,1.37144974916249,0,0,0.28,0.3055625,20,102850.559900547,0.438874146533234,0.5,2.75466895600656,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.5,0,0
"GR","GRC","Greece",2015,0.29,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.07,0,0,0,0.359814573056954,0.196664085780818,0.5,25.031983,1.22660680778477,0,0,0.15,0.1,23,6677.54959454146,0.369838845714173,0.5,0.889713336452606,0,1,1,1,1,1,1,0,1,0.1,0.15,0.2,57,0.333333333333333,1,0
"HU","HUN","Hungary",2015,0.19,"0",2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.285,0,3,0,0,0.624647226593601,0.345,0,1,0,0.00657937953163134,0.16,0.16,27,42328.198651231,0.522554356110699,0.5,0.00132530348065495,0,1,1,1,0,0,1,1,0,0,0,0,75,0.666666666666667,0.5,0
"IE","IRL","Ireland",2015,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,0,0.245,0,1,0,0.00103933381254748,0,0.52,1.601654,1.47380061626527,0,0,0.33,0.51,23,78844.2561518391,0.447749548623797,0.5,0.656750035175377,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0,0
"IL","ISR","Israel",2015,0.265,"0",100,0.901030024355631,0.566067958099106,0.835370889649727,0.5,0,0,-0.01,0,0,0,0.170119067980924,0,0.5,5.80213,1.75297205312979,0,0,0.27,0.32,18,18611.874917961,0.649773699512403,0.5,0.334930929397713,0,0,1,0,0,0,0.5,0.5,0,0.3,0.265,0.265,53,0.333333333333333,0,0
"IS","ISL","Iceland",2015,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0,0,0,0.24,0,1,0,0.3492976612276,0.0893751408640394,0.4624,1.363465,1.30661468480631,0,1,0.2,0.2,24,7006.49705254991,0.426024536009722,0,0.00646746830674518,0,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.666666666666667,0,0
"IT","ITA","Italy",2015,0.3129275,"0",80,0.760252585046526,0.462657542127945,0.965116279069767,1,1,1,-0.02,0,1,0,0.481349118663981,0,0.488131,9.819967,1.20258863894233,0,0,0.26,0.26,22,35990.6737367146,0.366925702778244,0,0.694765557824141,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,95,0.666666666666667,1,0
"JP","JPN","Japan",2015,0.3211,"0.5",5.85,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.1,0,8,1,0.0176683017334078,0,0.56165275,8.739852,1.07597999577863,1,0,0.204,0.20315,8,88240.3441644497,0.704258210071558,0.5,0.00826994658062395,0,1,1,0,1,0,0.95,0,0,0.2042,0.2042,0.2042,62,0.666666666666667,0.5,0
"KR","KOR","Korea",2015,0.242,"0.5",10,0.921720532319392,0.547953910556565,0.737888702767901,1,0,1,0.1525,0,4,0,0,0,0.43224366,4.456371,1.20163057443951,1,0,0,0.35398,10,26238.6011968703,0.606463450534366,0,0.00028265378802206,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,83,0.5,0.5,0
"LT","LTU","Lithuania",2015,0.15,"0",70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,0,0.28,0,2,0,0,0,0.24,0.231005,1.08299363752899,0,0,0.15,0.15,21,100897,0.504767500993234,0.5,0.250030820236227,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,51,0.333333333333333,0.5,0
"LU","LUX","Luxembourg",2015,0.2922,"0",100,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,2,1,0.00683794766945752,0,0.455,2.932785,1.36679427462508,1,0,0,0.2,17,25182.6246203907,1.0810052264981,0.5,0.0648991798739665,0,1,1,1,0,0,1,1,0,0.15,0,0,74,0,0.5,0
"LV","LVA","Latvia",2015,0.15,"0",100,0.905263157894737,0.614285714285714,0.869865253929667,0.5,0,0,0.28,0,0,0,0,0.308489245509926,0.23,0.104819,1.04660329015017,0,0,0.15,0.1,21,100604,0.517286196192543,0.5,0.507754521754698,0,0,1,0,0,0,1,1,1,0,0,0,57,0,0.5,0
"MX","MEX","Mexico",2015,0.3,"0",10,0.795219524916135,0.630382676079967,0.795219524916135,0.5,0,0,-0.01,0,0,0,0.262217527878114,0,0.35,27.92276,1.21837419938503,0,1,0.1,0.17142857,16,0,0.259242402814058,0.5,0.00729597276271823,0,0,1,0,0,0,0,0,0,0.1,0.4,0.4,54,0.5,0.5,0
"NL","NLD","Netherlands",2015,0.25,"1",9,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.195,0,1,0,0.00965677864452532,0.00244925788287042,0.5265942,1.223137,1.33425350124903,0,0,0.3,0.25,21,1537.1932964077,0.465716681041926,0.5,0.526360764002787,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0,0
"NO","NOR","Norway",2015,0.27,"0",100,0.809090909090909,0.373913043478261,0.737888702767901,0,0,0,0.2325,0,0,0,0,0.00326012744166012,0.472,1.59089,1.29377699895611,0,0,0.27,0.27,25,5181.61744007035,0.540716076361379,0.5,0.025659600136589,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,88,0.5,1,0
