"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","turnover_tax_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"AT","AUT","Austria",2017,0.25,"0",75,0.813463195231154,0.338474732816403,0.737888702767901,1,0,0,0.15,0,2,0,0.144625467165782,0,0.55,23.826478,1.11347511444249,0,0,0.275,0.275,20,36585.3658536585,0.594081593838077,0,0.101178752990041,0,0,1,1,0,0,1,1,0,0.275,0,0.2,86,0,0.5,0
"AU","AUS","Australia",2017,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1525,0,3,0,0,0,0.49,2.15994,1.44605208289466,0,0,0.245,0.24285714,10,50335.5704697987,0.483701427146851,1,0.538621758392005,0,0,1,1,0,0,1,1,0,0,0.1,0.3,44,0.333333333333333,0.5,0
"BE","BEL","Belgium",2017,0.3399,"0",100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.155,0,3,1,0.0036803590494026,0,0.60215738,1.044424,1.24232298974462,0,0,0,0.3,21,30487.8048780488,0.455971895682323,0.5,0.622182777487546,0,1,1,1,0,1,0.95,0.987878788,0,0.3,0.3,0.3,93,0,0.5,0
"CA","CAN","Canada",2017,0.26644782,"3",20,0.965116279069767,0.614285714285714,0.43,0.5,0,0,0.2125,0,1,0,0.0891237792399144,0,0.535296,3.278689,1.23901410816404,0,0,0.2675,0.39343524,12.4,24000,0.552792373023635,0.5,1.15057989923564,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,95,0.333333333333333,0.5,0
"CH","CHE","Switzerland",2017,0.21148581,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,0.314769313632496,0,0.41692468,3.357612,1.3787052760042,0,0,0,0.21135,8,78125,0.673937071640511,0.5,0.0684526564130401,1,1,1,1,1,1,1,1,0,0.35,0.35,0,92,0,0.5,0
"CL","CHL","Chile",2017,0.255,"0",100,0.705977756078566,0.42321653857669,0,0.5,0,0,0.295,0,1,0,0.208492789425298,0,0.35,7.727266,1.0897172494346,0,0,0.35,0.24731544,19,0,0.657371548095395,0.5,0.00059268453148798,0,1,0,1,0,0,0,0,1,0.1843,0.35,0.3,26,0.333333333333333,0.5,0
"CO","COL","Colombia",2017,0.4,"0",12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.395,0,3,1,0.0467628864521783,0,0.33,11.615895,0,0,1,0.1,0.1,19,0,0.414249785033447,0.5,0.0001708760869792,1,1,1,0,0,1,0,0,0,0.1,0.33,0.33,9,0.333333333333333,0.5,0
"CR","CRI","Costa Rica",2017,0.3,"0",3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,3,0,0.233566015925224,0.0469700478616644,0.23607123,1.973903,1.06771182311917,0,0.86176414181388,0,0.15,13,0,0.439635940124568,0.5,0.00034188023557873,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,2,0,0,0
"CZ","CZE","Czech Republic",2017,0.19,"0",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0,0.15,3e-06,1.13315299762286,0,0,0,0.15,21,75872.5341426404,0.569929397758405,0.5,0.0037463658262512,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,88,0,0.5,0
"DE","DEU","Germany",2017,0.29889263,"1",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0,0.47475,5.464008,1.09534462589061,1,0,0.26375,0.26375,19,22151.8987341772,0.545637178463438,0.5,0.221831266126122,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1,0
"DK","DNK","Denmark",2017,0.22,"0",60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,0.291930251912763,0,0.55794,1.265165,1.22551356720087,0,0,0.42,0.42,25,6666.66666666667,0.564056705749034,0.5,0.107847918254426,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.666666666666667,0.5,0
"EE","EST","Estonia",2017,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0,0.2,0.146415,1.05752191364352,0,0,0.2,0,20,28571.4285714286,0.712216954991223,1,0.154736377400055,0,0,0,0,0,0,1,1,1,0,0,0.1,56,0,0,0
"ES","ESP","Spain",2017,0.25,"0",25,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,0,1,0,0,0,0.435,2.442919,1.10699056914054,0,0,0.23,0.23,21,0,0.426084612973758,0.5,0.609257539008642,1,1,1,0,1,0,1,1,1,0.19,0.19,0.19,92,0.333333333333333,1,0
"FI","FIN","Finland",2017,0.2,"0",10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,-0.005,0,0,0,0,0,0.58349397,1.844204,1.28614070381486,0,0,0.34,0.289,24,10752.688172043,0.539396957953532,0.5,0.360618028090195,0,1,1,0,0,1,1,1,1,0.2,0,0.2,75,0.666666667,1,0
"FR","FRA","France",2017,0.44433333,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.405,0,3,1,0.220440348066467,0.288517386178328,0.550875,14.779185,1.26766106026671,0,0,0.3444675,0.44001,20,100243.902439024,0.479918776040559,0.5,1.31933303403883,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.666666667,1,0
"GB","GBR","United Kingdom",2017,0.19,"1",50,0.758823529411765,0,0.826923076923077,0,0,1,0.195,0,1,0,0,0,0.47,3.894003,1.3707857807909,0,0,0.2,0.381,20,118840.579710145,0.453525773364736,0.5,2.70612778486229,0,1,1,1,0,1,1,1,0,0,0.2,0.2,126,0.333333333,1,0
"GR","GRC","Greece",2017,0.29,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,1,0.085,0,0,0,0.142405782939612,0.0480962833284189,0.55,11.707338,1.25017791504827,0,0,0.15,0.15,24,16393.4426229508,0.39177088172709,0.5,1.12594291973215,0,1,1,1,1,1,1,0,1,0.15,0.15,0.2,57,0.333333333333333,1,0
"HU","HUN","Hungary",2017,0.09,"0",2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.285,1,1,0,0.0149988811927355,0.551563850203033,0.335,0,1,0,0.00568649598021931,0.15,0.15,27,44822.9493500672,0.592797388673714,0.5,0.00105456393235007,0,1,1,1,0,0,1,1,0,0,0,0,80,0.666666666666667,0.5,0
"IE","IRL","Ireland",2017,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,1,0.26,0,1,0,0.00064648128349534,0,0.52,1.539297,1.49729283914551,0,0,0.33,0.51,23,88339.222614841,0.478515655389736,0.5,0.524431470398418,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,72,0,0,0
"IL","ISR","Israel",2017,0.24,"0",100,0.795219524916135,0.566067958099106,0.835370889649727,0.5,0,1,-0.01,0,0,0,0.194533172975761,0,0.5,4.3262,1.72015087132884,0,0,0.28,0.27,17,25517.0103092784,0.636854990042004,0.5,0.311599759529768,0,0,1,0,0,0,0.5,0.5,0,0.3,0.24,0.24,54,0.333333333333333,0,0
"IS","ISL","Iceland",2017,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.24,0,1,0,0.544987416706364,0.0760881919717934,0.4624,1.229826,1.26971995793072,0,1,0.2,0.2,24,7032.3488045007,0.502995040707955,0,0.00676717258132963,0,1,0,1,0,0,1,1,0,0.18,0.1,0.2,41,0.666666666666667,1,0
"IT","ITA","Italy",2017,0.278064,"0",80,0.869865253929667,0.576669379707147,0.965116279069767,1,1,1,0.04,0,NA,0,0.516076644052972,0,0.52765573,2.712898,1.21188966403932,0,0,0.26,0.26,22,40000,0.371412678012698,0,0.720139865220434,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,97,0.666666666666667,1,0
"JP","JPN","Japan",2017,0.2997,"0.5",4.95,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.0625,0,8,1,0.0176535261674685,0,0.56077165,8.595115,1.06875635798929,1,0,0.204,0.2032,8,94939.7132820659,0.729728270762749,0.5,0.00651090443498992,0,1,1,0,1,0,0.95,0,0,0.2042,0.2042,0.2042,64,0.333333333333333,0.5,0
"KR","KOR","Korea",2017,0.242,"0.5",8,0.921720532319392,0.547953910556565,0.737888702767901,1,0,1,0.135,0,4,0,0,0,0.45309835,12.88879,1.30359240194273,1,0,0,0.3784,10,26928.4712482468,0.569518195671843,0,0.00029216131674958,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,91,0.666666667,0.5,0
"LT","LTU","Lithuania",2017,0.15,"0",70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,0,0.28,0,2,0,0,0.039647550515296,0.24,0.364149,1.09515713943807,0,0,0.15,0.15,21,100223,0.519598272155733,0.5,0.250776295873252,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,54,0.333333333333333,0.5,0
"LU","LUX","Luxembourg",2017,0.2708,"0",17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,0,-0.01,0,1,1,0.0120731114013096,0,0.4718,3.679296,1.36286520599058,1,0,0,0.21,17,27777.7777777778,0.743182408824628,0.5,0.053094605555045,0,1,1,1,0,0,1,1,0,0.15,0,0,79,0,0.5,0
"LV","LVA","Latvia",2017,0.15,"0",75,0.905263157894737,0.614285714285714,0.869865253929667,0.5,0,0,0.28,0,0,0,0,0.364503791479672,0.23,0.140346,1.05716673103604,0,0,0.15,0.1,21,98619.3293885602,0.549801292676719,0.5,0.449905962223862,0,0,1,0,0,0,1,1,1,0,0,0,59,0,0.5,0
"MX","MEX","Mexico",2017,0.3,"0",10,0.795219524916135,0.630382676079967,0.795219524916135,0.5,0,0,-0.01,0,0,0,0.0462481995100994,0,0.35,25.660191,1.21344642090281,0,1,0.1,0.17142857,16,0,0.29709479637874,0.5,0.00605618565813908,0,0,1,0,0,0,0,0,0,0.1,0.4,0.4,55,0.5,0.5,0
"NL","NLD","Netherlands",2017,0.25,"1",9,0.813463195231154,0.338474732816403,0.869865253929667,1,0,1,0.225,0,1,0,0,0.00232595509247608,0.52197272,1.38825,1.39131894030725,0,0,0.3,0.25,21,1620.48192771084,0.479441305963975,0.5,0.534434823932369,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0,0
"NO","NOR","Norway",2017,0.24,"0",100,0.781818181818182,0.373913043478261,0.737888702767901,0,0,0,0.225,0,0,0,0,0.00600618064826471,0.4672,1.632658,1.23797396923022,0,0,0.298,0.2976,25,5102.04081632653,0.528263686762252,0.5,0.0209391555643912,1,0,1,0,0,0,0.97,1,1,0.25,0,0,87,0.5,1,0
"NZ","NZL","New Zealand",2017,0.28,"0",100,0.731914893617021,0,0.547953910556565,0.5,0,0,-0.02,0,0,0,0.20927495301262,0,0.33,1.174848,1.45548482823408,0,0,0,0.06944444,15,40816.3265306122,0.971090823276637,0.5,0.867499457546358,0,0,0,0,0,0,1,1,0,0,0.15,0.15,40,0.333333333333333,0.5,0
"PL","POL","Poland",2017,0.19,"0",2.5,0.737888702767901,0.338474732816403,0.869865253929667,1,0,0,0.04,0,1,0,0,0,0.39908085,1.973042,1.04157528156199,0,0,0.19,0.19,23,83333.3333333333,0.43105735824275,0.5,0.234722414465485,0,1,1,1,1,1,1,0,1,0.19,0.2,0.2,85,0.5,1,0
"PT","PRT","Portugal",2017,0.295,"0",3.5,0.888411247396436,0.547953910556565,0.547953910556565,0.5,1,1,0.35,0,3,0,0.0474130758491753,0,0.610269,15.622325,1.2444983874101,0,0,0.28,0.28,23,16949.1525423729,0.501285078855009,0.5,0.438098986559568,0,1,1,1,0,0,1,1,1,0.25,0.25,0.25,68,0.666666666666667,1,0
"SE","SWE","Sweden",2017,0.22,"0",100,0.86,0.479318672008477,0.86,0,0,0,0.05,0,0,0,0,0.0303855222304081,0.6012,1.49517,1.2102576759004,0,-0.00051502688869548,0.3,0.3,25,0,0.560051873227119,0.5,0.0442439860682349,0,0,1,1,0,0,1,1,0,0.3,0,0,81,0.666666666666667,0.5,0
