"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2018,0.25,"0",75,0.813463195231154,0.338474732816403,0.737888702767901,1,0,0,0.15,0,2,0,0.761,0.55,23.826478,1.127754491,0,0,0.275,0.275,20,37457.4389849533,0.594006144473127,0,0.09036615304777,0,0,1,1,0,0,1,1,0,0.275,0,0.2,88,0,0.5
"AU","AUS","Australia",2018,0.3,"0",100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1375,0,3,0,0,0.49,2.15994,1.376194912,1,0,0.234,0.2428,10,50950.9831162029,0.486464725078817,1,0.745729849488504,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,44,0.25,0.5
"BE","BEL","Belgium",2018,0.2958,"0",100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,1,0.15,0,1,1,0.034,0.76655438,0.756002,1.227880121,0,0,0,0.3,21,31109.1533083962,0.469022185809787,0.5,0.570242685258736,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0,0.5
"CA","CAN","Canada",2018,0.2678,"3",20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,0,0.2125,0,1,0,1.005,0.535296,3.278689,1.241274809,0,0,0.2675,0.39343524,12.4,23975.8898451717,0.560492100832702,0.5,1.47343879669396,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.25,0.5
"CH","CHE","Switzerland",2018,0.21148581,"0",7,0.86,0.554838709677419,0.905263157894737,1,0,0,-0.01,0,0,0,4.44,0.41692468,3.357491,1.359710908,0,0,0,0.21135,8,81953.3750858462,0.669183270951065,0.5,0.0691833809877439,1,1,1,1,1,1,1,1,0,0.35,0.35,0,92,0,0.5
"CL","CHL","Chile",2018,0.27,"0",100,0.632611659769417,0.338474732816403,0,0.5,0,0,0.295,0,1,0,3.83,0.35,7.727266,1.146087868,0,0,0.35,0.2390411,19,0,0.643870679981182,0.5,0.398286311669548,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,32,0.5,0.5
"CO","COL","Colombia",2018,0.37,"0",12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.315,0,3,1,1.218,0.33000001,23.358988,0,0,9.371,0.1,0,19,0,0.384774138459764,0.5,0.45504342934108,1,0,1,0,0,1,1,0,0,0.35,0.15,0.264,9,0.25,0.5
"CR","CRI","Costa Rica",2018,0.3,"0",3,0.822456690745778,0.602353618717047,0,0.5,0,0,-0.02,0,3,0,3.453,0.23607123,1.973903,1.11118384,0,29.336,0,0.15,13,0,0.444480444758348,0.5,0.192392439948093,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,2,0,0
"CZ","CZE","Czech Republic",2018,0.19,"0",5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0.311,0.3458,1.114308877,0,0,0,0.15,21,76296.5356413544,0.595785368946662,0.5,0.0926637802192891,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,88,0,0.5
"DE","DEU","Germany",2018,0.29897059,"1",60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,0,-0.02,0,0,1,0,0.47475,5.464008,1.099539935,1,0,0.26375,0.26375,19,22456.2808292655,0.560202274186004,0.5,0.202330266822142,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.25,1
"DK","DNK","Denmark",2018,0.22,"0",60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.01,0,0,0,3.574,0.55794,1.265165,1.296582664,0,0,0.42,0.42,25,6907.63633670914,0.594023615191389,0.5,0.713566615593007,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.5,0.5
"EE","EST","Estonia",2018,0.2,"100",100,1,1,1,1,1,0,0,0,0,0,0,0.2128,0.146481,1.052926477,0,0,0.2,0,20,72611.8858395931,0.731127305162278,1,0.13759745432411,0,0,0,0,0,0,1,1,1,0,0,0.1,56,0,0
"ES","ESP","Spain",2018,0.25,"0",25,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,0,1,0,0,0.435,2.442919,1.21946414,0,0,0.23,0.23,21,0,0.43284339842634,0.5,0.555048249742934,1,1,1,0,1,0,1,1,1,0.19,0.19,0.24,93,0.25,1
"FI","FIN","Finland",2018,0.2,"0",10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,-0.005,0,0,0,0,0.58349397,1.844204,1.291293983,0,0,0.34,0.289,24,11062.4119155451,0.547143098451308,0.5,0.333776843777665,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.375,1
"FR","FRA","France",2018,0.34433333,"1",50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.405,0,4,1,1.045,0.550875,14.779185,1.236756462,1,0,0.34,0.34,20,103912.923981672,0.485566300661103,0.5,1.21191834665995,0.5,1,1,1,1,1,0.95,0.88,1,0.3,0,0.333,122,0.5,1
"GB","GBR","United Kingdom",2018,0.19,"1",50,0.758823529411765,0,0.826923076923077,0,0,1,0.185,0,1,0,0,0.73,0.298546,1.38301936,0,0,0.2,0.381,20,119167.287037543,0.444730385404479,0.5,1.77214108654731,0,1,1,1,0,1,1,1,0,0,0.2,0.2,129,0.375,1
"GR","GRC","Greece",2018,0.29,"0",5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,0,0.09,0,0,0,1.242,0.54325,4.120509,1.263227085,0,0,0.15,0.15,24,16710.6993594789,0.444230235637848,0.5,1.08957264663241,0,1,1,1,1,0,1,0,1,0.15,0.15,0.2,57,0.25,1
"HU","HUN","Hungary",2018,0.09,"0",2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.21,1,1,0,0.052,0.335,0,1,0,0.183,0.15,0.15,27,57601.502523673,0.553981089189054,0.5,0.300380589245405,0,1,1,1,0,0,1,1,0,0,0,0,80,0.25,0.5
"IE","IRL","Ireland",2018,0.125,"1",100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,1,0.26,0,1,0,0.007,0.52,1.539297,1.475580097,0,0,0.33,0.51,23,92218.141398691,0.484460019360971,0.5,0.415208624259299,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,72,0,0
"IL","ISR","Israel",2018,0.23,"0",100,0.737888702767901,0.479318672008477,0.787075165170195,0.5,0,1,-0.01,0,0,0,1.858,0.5,4.3262,1.732834057,0,0,0.28,0.33,17,26132.3890060412,0.644888425534102,0.5,1.2026892297197,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,54,0.25,0
"IS","ISL","Iceland",2018,0.2,"0",10,0.86,0.602353618717047,0.812269350072009,0.5,0,0,0.24,0,1,0,3.09,0.4624,1.229826,1.29300826,0,6.758,0.22,0.22,24,14202.1555989162,0.531563327669859,0,0.896893804947586,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,44,0.5,1
"IT","ITA","Italy",2018,0.278064,"0",80,0.869865253929667,0.576669379707147,0.965116279069767,1,1,1,0.09,0,NA,0,3.982,0.83834914,0.863843,1.212279746,0,0,0.26,0.26,22,90380.9627102053,0.374172482511305,0,0.560236467798025,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,100,0.5,1
"JP","JPN","Japan",2018,0.2974,"0.5",5,0.859028659709284,0.278958448750364,0.787075165170195,0.5,0,0,0.0875,0,1,0,0.222,0.56077165,8.595115,1.136713113,1,0,0.204,0.2032,8,100407.568377102,0.716041150147995,0.5,0.802300721688643,0,1,1,1,1,0,0.95,0,0,0.2,0.2,0.2,66,0.25,0.5
"KR","KOR","Korea",2018,0.275,"0.5",7,0.921720532319392,0.547953910556565,0.737888702767901,1,0,1,0.13,0,3,0,0,0.82958071,1.643118,1.203166453,0,0,0,0.4028,10,27364.3889891267,0.661216372976855,0,0.331765291574061,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,93,0.375,0.5
"LT","LTU","Lithuania",2018,0.15,"0",70,0.905263157894737,0.826923076923077,0.966194331983806,1,0,1,0.28,0,2,0,0,0.315,0.446376,1.102690464,0,0,0.15,0.15,21,97563.0907987165,0.5128446132896,0.5,0.215870196049933,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,53,0.25,0.5
"LU","LUX","Luxembourg",2018,0.2601,"0",17,0.873417350634541,0.479318672008477,0.869865253929667,1,0,1,-0.01,0,1,1,0.17,0.4718,3.679296,1.379497875,1,0,0,0.21,17,33690.3764562665,0.7577606452656,0.5,0.0473912346038307,0,1,1,1,0,0,1,1,0,0.15,0,0,80,0,0.5
"LV","LVA","Latvia",2018,0.2,"100",100,0.905263157894737,0.614285714285714,0.869865253929667,1,1,0,0.28,0,0,0,0,0.32892143,0.437158,1.052674595,0,0,0.2,0,21,79773.9207087115,0.54034974726369,0.5,0.449163017563437,0,0,1,0,0,0,1,1,1,0,0,0,61,0,1
"MX","MEX","Mexico",2018,0.3,"0",10,0.737888702767901,0.547953910556565,0.737888702767901,1,0,0,0.0575,0,0,0,1.328,0.35,25.660191,1.21165989,0,13.011,0.1,0.17142857,16,0,0.333996867940045,0.5,0.0904683169932924,0,1,1,0,0,0,0,0,1,0.1,0.35,0.35,58,0.5,0.5
