ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,patent_box,r_and_d_credit,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AT,AUT,Austria,2019,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,1,46,1,8,0.55,23.269194,1.121758394,3,50,0.275,NA,0.275,20,37457.43898,0.595346921,35,1,0.126634843,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.333333333,0.5
AU,AUS,Australia,2019,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,1,37,1,6,0.47,2.098449,1.361612558,4,18,0.245,NA,0.2428,10,50950.98312,0.495677138,50,0,0.970719391,0,0,1,0,0,0,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
BE,BEL,Belgium,2019,0.2958,0,100,0.882216122,0.622404879,0.802532679,1,1,1,21,1,8,0.60215738,1.053602,1.259221663,2,40,0,NA,0.3,21,31109.15331,0.476392999,75,0.5,0.752708531,1,1,1,0,0,1,1,1,0,0.3,0.3,0.3,95,0.666666667,1
CA,CAN,Canada,2019,0.268,3,20,1,0.426086957,0.49,0.5,0,1,45,1,4,0.535296,4.123721,1.178065253,3,36,0.2675,NA,0.39344076,11.1,23975.88985,0.474503207,50,0.5,1.936116816,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,94,0.333333333,0.5
CH,CHE,Switzerland,2019,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,0,15,2,10,0.41721638,3.30769,1.352538688,7,40,0,NA,0.21135,7.7,81953.37509,0.68258034,8,1,0.103213246,1,1,1,1,1,1,1,1,0,0.35,0.35,0,93,0,0.5
CL,CHL,Chile,2019,0.15,0,100,0.63261166,0.338474733,0,0.5,0,1,48,1,5,0.35,7.705643,1.252837291,1,124.5,0.35,NA,0.133333,19,0,0.638025881,123.5,1,0.540351121,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,33,0.666666667,0.5
CZ,CZE,Czech Republic,2019,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,1,53,1,5,0.311,0.322415,1.105760535,2,75,0.15,NA,0.15,21,76296.53564,0.600302407,102,1,0.12408531,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,89,0.333333333,0.5
DE,DEU,Germany,2019,0.29889263,1,60,0.737888703,0.391406013,0.869865254,1,0,0,41,2,6,0.47475,5.377903,1.100580567,1,134,0.26375,NA,0.26375,19,22456.28083,0.556567368,43,1,0.282001558,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,96,0.333333333,1
DK,DNK,Denmark,2019,0.22,0,60,0.826923077,0.479318672,0.813406443,0,0,1,27,3,6,0.558584,1.28641,1.305138046,1,65,0.42,NA,0.42,25,6907.636337,0.596063795,40,0.5,0.933099745,0,1,0,0,0,0,1,1,1,0.27,0.22,0.22,75,0.666666667,1
EE,EST,Estonia,2019,0.2,100,100,1,1,1,1,0,0,5,1,7,0.32391111,0.894225,1.206924502,0,31,0.2,NA,0,20,72611.88584,0.728150828,14,0,0.162259402,0,0,0,0,0,0,1,1,1,0,0,0.1,58,0.333333333,1
