ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
AT,AUT,Austria,2020,0.25,1,75,0.884365027,0.338474733,0.737888703,1,0,0,0.17,1,2,0,0.291892,0.55,22.659401,1.096856446,0,0,0.275,0.275,20,46065.48142,0.603286913,0,0.105402879,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.666666667,0.5,0
AU,AUS,Australia,2020,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1375,0,2,0,0,0.47,2.050567,1.413941075,0,0,0.235,0.24285714,10,52090.17017,0.470322476,1,0.570300265,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,45,0.333333333,0.5,0
BE,BEL,Belgium,2020,0.25,1,70,0.737888703,0.547953911,1.004865254,1,1,1,0.15,0,1,2,0.015281,0.60215738,1.046545,1.287315157,0,0,0,0.3,21,33101.84112,0.466386051,0.5,0.630544968,0,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.333333333,1,0
CA,CAN,Canada,2020,0.26244757,3,20,1,0.635714286,0.518965517,0.5,0,0,0.2125,0,1,0,0.399208,0.535296,3.198852,1.260849508,0,0,0.2675,0.39344076,12.4,25130.19535,0.493476576,0.5,1.1211705,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333,0.5,0
CH,CHE,Switzerland,2020,0.21148581,0,7,0.86,0.55483871,0.905263158,1,0,1,-0.01,0,0,0,1.571754,0.41734127,3.268578,1.362686914,0,0,0,0.22285,7.7,87121.21872,0.679876834,0.5,0.068105514,1,1,1,1,1,1,1,1,0,0.35,0.35,0,94,0,0.5,0
CL,CHL,Chile,2020,0.27,0,100,1,1,1,0.5,0,0,0.285,0,1,0,1.476469,0.35,7.621059,1.228809169,0,0,0.35,0.2390411,19,0,0.658907351,0.5,0.000647569,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,33,0.666666667,0.5,0
CO,COL,Colombia,2020,0.32,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.295,0,3,0,0.316587,0.39000005,64.10572,0,0,1.84169,0.1,0.1,19,0,0.382286462,0.5,0.000158629,1,1,1,0,0,1,0,0,0,0.1,0.2,0.2,10,0.666666667,0.5,0
CR,CRI,Costa Rica,2020,0.3,0,3,0.822456691,0.278958449,0.737888703,0.5,0,0,-0.02,0,5,0,0.83391,0.33445205,6.665202,1.063505575,0,6.915512,0.15,0.15,13,0,0.412818504,0.5,0.0003362,0,0,1,1,1,1,1,1,0,0.15,0.15,0.25,3,0,0,0
CZ,CZE,Czech Republic,2020,0.19,0,5,0.972093023,0.543222831,0.841318848,0.5,0,0,0.18,0,0,0,0,0.15,2.00E-06,1.106320604,0,0,0,0.15,21,80365.3473,0.584158723,0.5,0.004080428,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,89,0.333333333,1,0
DE,DEU,Germany,2020,0.29830331,1,60,0.847117028,0.391406013,0.869865254,1,0,0,-0.02,0,0,1,0,0.47475,5.348707,1.096923477,1,0,0.26375,0.26375,19,29842.56689,0.549884678,0.5,0.231312819,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333,1,0
