"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"AT","AUT","Austria",2021,0.25,0,75,0.884365027341364,0.566741558034897,0.737888702767901,1,0,0,0.17,1,46,1,8,0.55,22.54589,1.12667777169272,3,50,0.275,NA,0.275,20,46054.9343256636,0.603100530673891,35,0,0.0876417830840263,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.333333333333333,1
"AU","AUS","Australia",2021,0.3,0,100,0.851484971473245,0.479318672008477,0.547953910556565,0.5,0,0,0.1375,0,37,1,6,0.47,1.981052,1.45211841520629,4,18,0.235,NA,0.2428,10,51314.0853059038,0.470195181486376,50,1,0.762796371559176,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,45,0.333333333333333,0.5
"BE","BEL","Belgium",2021,0.25,0,70,0.737888702767901,0.547953910556565,1.00486525392967,1,1,1,0.15,0,21,1,8,0.529341,1.107443,1.27526092224644,2,40,0,NA,0.3,21,33155.3993567853,0.46777399990527,75,0.5,0.556432069189729,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.333333333333333,1
"CA","CAN","Canada",2021,0.2615,3,20,1,0.426086956521739,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,3.842896,1.37508437029698,3,36,0.2675,NA,0.39344076,12.4,25039.8969023978,0.480243205650743,50,0.5,1.47398608309752,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.333333333333333,0.5
"CH","CHE","Switzerland",2021,0.19698516,0,7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,0,15,2,10,0.4167,3.454265,1.3580172950516,7,40,0,NA,0.22285,7.7,87425.1203843908,0.699351164758371,8,0.5,0.0645108950678708,1,1,1,1,1,1,1,1,0,0.35,0.35,0,93,0,0.5
"CL","CHL","Chile",2021,0.1,0,100,1,1,1,0.5,0,0,0.305,0,48,1,5,0.4,7.660926,1.25049936193975,1,124.5,0.4,NA,0.33333333,19,0,0.630344867719938,123.5,0.5,0.413946752324518,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,33,0.666666666666667,0.5
"CO","COL","Colombia",2021,0.31,0,12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.44,0,97.5,1,7,0.33,13.489476,0,2,87,0.1,NA,0,19,0,0.391503667171558,71,0.5,0.470855797026277,1,0,1,0,0,1,1,0,0,0.32,0.2,0.2,10,0.666666666666667,0.5
"CZ","CZE","Czech Republic",2021,0.19,2,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,53,1,5,0.15,2e-06,1.10066789619673,2,75,0,NA,0.15,21,77860.4266206356,0.606593979698184,102,0.5,0.0844404305658664,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,89,0.333333333333333,1
"DE","DEU","Germany",2021,0.29937781,1,60,0.847117028387074,0.391406012913837,0.869865253929667,1,0,0,0.185,0,41,2,6,0.47475,5.430193,1.09891885813793,1,134,0.26375,NA,0.26375,19,29542.9305781417,0.567491940218199,43,0.5,0.191074227833367,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,96,0.333333333333333,1
"DK","DNK","Denmark",2021,0.22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,0.065,0,27,3,6,0.558952,1.320481,1.3156738322136,1,65,0.42,NA,0.42,25,7507.11298955761,0.61537353972322,40,0.5,0.697144827297433,0,1,1,0,0,0,1,1,1,0.22,0.22,0.22,75,0.666666666666667,1
"EE","EST","Estonia",2021,0.2,100,100,1,1,1,1,1,0,0,0,5,1,7,0.2,0.366454,1.19897044969798,0,31,0.2,NA,0,20,75060.9870519797,0.73549304617323,14,1,0.113731232331356,0,0,0,0,0,0,1,1,1,0,0,0.1,58,0.333333333333333,1
"ES","ESP","Spain",2021,0.25,0,70,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,1,33,1,7,0.435,2.417067,1.21852901967374,1,84,0.26,NA,0.26,21,0,0.444288453636488,26,0.5,0.525818442464964,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,93,0.333333333333333,1
"FI","FIN","Finland",2021,0.2,0,10,0.934782608695652,0.518965517241379,0.737888702767901,0,0,0,-0.005,0,18,1,4,0.5122,1.917091,1.28155752730974,3,48,0.34,NA,0.289,24,11701.5450720113,0.57321763592463,24,0.5,0.336095058620038,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.5,1
"FR","FRA","France",2021,0.284075,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.3875,1,28,1,6,0.55368,15.389581,1.26181325835506,2,80,0.34,NA,0.34,20,115863.745315823,0.517805659199353,31,0.5,1.1376342542268,0.5,1,1,1,0,1,0.95,0.88,1,0.28,0,0.28,122,0.666666666666667,1
"GB","GBR","United Kingdom",2021,0.19,1,50,0.758823529411765,0.391406012913837,0.826923076923077,0,0,1,0.195,1,32,1,6,0.45,3.587895,1.39323752455464,2,57,0.2,NA,0.381,20,118671.327890275,0.459263150911792,25,0.5,1.80580636260317,0,1,1,1,0,1,1,1,0,0,0.2,0.2,130,0.5,1
"GR","GRC","Greece",2021,0.22,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,0,0.255,0,78,1,6,0.54,11.074702,1.2658728827574,1,46,0.15,NA,0.05,24,18330.2599597467,0.44149841707223,69,0.5,1.16829212255262,0,1,1,1,1,0,1,1,1,0.05,0.15,0.2,57,0.333333333333333,1
