ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AT,AUT,Austria,2022,0.25,0,75,0.884365027,0.566741558,0.737888703,1,0,0,0.17,1,2,0,0.515,0.55,21.746235,1.118265952,0,0,0.275,NA,0.275,20,46054.93433,0.581602768,0,0.095403358,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,0.25,1
AU,AUS,Australia,2022,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1475,0,1,0,0,0.45,1.928993,1.537018259,2,0,0.235,NA,0.2428,10,51314.08531,0.442791673,1,0.826847558,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,45,0.25,0.5
BE,BEL,Belgium,2022,0.25,0,70,0.869865254,0.547953911,0.869865254,1,1,1,0.15,0,1,0,0.037,0.60172491,1.018966,1.260742582,0,0,0,NA,0.3,21,33155.39936,0.445361858,0.5,0.574788307,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0.25,1
CA,CAN,Canada,2022,0.2621,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,1,0,1.075,0.535296,2.975408,1.409469732,0,0,0.2675,NA,0.39344076,12.4,25039.8969,0.484757084,0.5,1.534176114,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,96,0.25,0.5
CH,CHE,Switzerland,2022,0.19698516,0,7,0.86,0.55483871,0.905263158,1,0,1,-0.01,0,0,0,6.234,0.41694538,3.19909,1.330682674,0,0,0,NA,0.22285,7.7,87425.12038,0.629343821,0.5,0.075217593,1,1,1,1,1,1,1,1,0,0.35,0.35,0,94,0,0.5
CL,CHL,Chile,2022,0.27,0,100,1,1,1,0.5,0,0,0.315,0,2,0,-2.234,0.4,19.216914,1.25411938,0,0,0.4,NA,0.33333333,19,0,0.625684372,0.5,0.432676644,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,33,0.5,0.5
CO,COL,Colombia,2022,0.35,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.435,0,2,0,1.522,0.39,11.462107,0,0,9.92,0.1,NA,0,19,0,0.345302567,0.5,0.52938665,1,0,1,0,0,1,1,0,0,0.32,0.2,0.2,10,0.5,0.5
CR,CRI,Costa Rica,2022,0.3,0,3,0.822456691,0.602353619,0,0.5,0,0,-0.02,0,5,0,4.889,0.33445205,6.472083,1.103306892,0,31.373,0.15,NA,0.15,13,0,0.447530204,0.5,0.221886026,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,3,0,0
CZ,CZE,Czech Republic,2022,0.19,2,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,0,0,0,0.275,3.907928,1.20901479,0,0,0,NA,0.23,21,77860.42662,0.590510109,0.5,0.092983278,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,93,0.25,1
DE,DEU,Germany,2022,0.29830331,1,60,0.847117028,0.391406013,0.869865254,1,0,0,0.185,0,0,0,0,0.41975,5.453178,1.113221624,5.5,0,0.26375,NA,0.26375,19,29542.93058,0.521183163,0.5,0.206797721,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,96,0.25,1
