country,ISO_2,ISO_3,ranking,strength_1,strength_2,strength_3,weakness_1,weakness_2,weakness_3
Australia,AU,AUS,"Australia ranks 10th overall on the 2023 International Tax Competitiveness Index, four places worse than in 2022.",Property taxes in Australia are assessed on the value of the land rather than real estate or other improvements to land.,"Australia's corporate and individual taxes have an integrated treatment of dividends, alleviating the burden of double taxation on distributed earnings.",Australia ranks well on consumption taxes due to its low goods and services tax (GST) rate even though it applies to a relatively narrow base.,"Australia's treaty network consists of just 45 countries, when the average among OECD countries is 74.","The corporate tax rate in Australia is 30 percent, above the OECD average (23.6 percent).",Corporations are limited in their ability to write off investments.
Austria,AT,AUT,"Austria ranks 20th overall on the 2023 International Tax Competitiveness Index, three places worse than in
2022.","Austria’s cross-border tax system is relatively competitive as it is fully territorial without any country limitations, has a broad tax treaty network of 89 countries, and Controlled Foreign Corporation rules that only apply to subsidiaries that do not have substantial economic activity.",Austria offers relatively good cost recovery for machinery and industrial buildings.,"There are no estate, inheritance, or wealth taxes.",The headline corporate rate of 24 percent is slightly above the OECD average (23.6 percent).,Austria implemented a digital services tax (DST) in 2020.,The labor tax wedge on the average single worker ranks 4th highest among OECD countries.
Belgium,BE,BEL,"Belgium ranks 27th overall on the 2023 International Tax Competitiveness Index, five ranks worse than in 2022.","Belgium has a broad tax treaty network, with 95 countries, and a territorial tax system as it fully exempts foreign-sourced dividends and capital gains without any country limitations.",Capital gains resulting from normal management of private wealth are exempt from tax.,"Business investments in machinery, buildings, and intangibles all receive better-than-average treatment for corporate write-offs.","Belgium levies some of the highest withholding tax rates among the OECD countries with 30 percent on dividends, royalties, and interest payments.",Belgium levies an estate tax and a financial transaction tax and introduced a new annual tax on securities accounts.,"The Belgian tax wedge on labor is the highest among the OECD countries, with the average wage single worker facing a tax burden of 53 percent."
Canada,CA,CAN,"Canada ranks 15th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","Consumption taxes are low, though the consumption tax base is relatively narrow.",Canada allows businesses to immediately write off investments in machinery.,"Canada does not levy wealth, estate, or inheritance taxes.","The personal tax on dividends is 39.3 percent, well above the OECD average of 24 percent.","Canada taxes capital gains at a rate of 26.75 percent, while the OECD average is 19.26 percent.",The corporate rate of 26.76 percent is above average among OECD countries (23.6 percent).
Chile,CL,CHL,"Chile ranks 35th overall on the 2023 International Tax Competitiveness Index, four spots worse than in 2022.","Chile has a relatively broad consumption tax base, taxing 75 percent of final consumption, and no VAT thresholds.","Chile has the second-lowest tax wedge on labor among OECD countries, at 7 percent, compared to the OECD average of 34.6 percent.","Chile levies no wealth tax, capital duties, financial transaction taxes, or taxes on the transfer of
real property.","Chile operates an uncompetitive system of cross-border taxation, combining a worldwide tax system with a small tax treaty network of just 33 treaties, and the highest withholding tax rates of 35 percent on dividends and interest.","The tax rate on capital gains is 40 percent, well above the OECD average of 19 percent.","After phasing out full expensing, Chilean companies face the worst capital cost recovery provisions in the OECD."
Colombia,CO,COL,"Colombia ranks 38th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.",A worker earning the nation’s average wage faces the lowest tax burden in the OECD.,Colombia taxes dividends and capital gains at very low rates.,"While capital gains resulting from inheritance and gifts received are subject to a 10 percent tax, there is no comprehensive estate or inheritance tax.","The VAT base is very narrow, covering less than 40 percent of Colombian consumption.",Colombia levies a net wealth tax and a financial transactions tax.,"At 35 percent, Colombia’s corporate income tax rate is significantly above the OECD average (23.6 percent)."
Costa Rica,CR,CRI,"Costa Rica ranks 22nd overall on the 2023 International Tax Competitiveness Index, one place better than in 2022.",Costa Rica has neither a net wealth nor an estate tax.,"The VAT rate is just 13 percent, below the OECD average of 19 percent.",Capital gains and dividends are both taxed at rates below the OECD average.,Costa Rica has just three tax treaties while the average in the OECD is 74.,"Costa Rica has five separate tax brackets for corporate income, with a top rate of 30 percent significantly above the OECD average (23.6 percent).","Costa Rica’s carryover provisions are the most restrictive in the OECD, with carryforwards limited to three years and no carrybacks."
Czech Republic,CZ,CZE,"The Czech Republic ranks 5th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.","The corporate rate of 19 percent is below the OECD average (23.6 percent), with no alternative minimum rates and few complex incentives.",Taxes on labor are minimally distortive.,"The Czech Republic has a territorial tax system, exempting both foreign dividend and capital gains income from other European countries, combined with a broad tax treaty network.","The VAT threshold is relatively high, contributing to a distortionary VAT design.","Net operating losses can only be carried forward for five years (they can, however, also be carried back for two years).",The Czech Republic’s thin capitalization rules are among the stricter ones in the OECD.
Denmark,DK,DNK,"Denmark ranks 29th overall on the 2023 International Tax Competitiveness Index, the same as in 2022.",Corporate income taxes are relatively less complex than in other countries.,"Denmark has a territorial tax system, exempting both foreign dividend and capital gains income for its treaty partners and other European countries.",Denmark has a relatively broad VAT base that covers nearly two thirds of final consumption.,"In addition to a combined top personal income tax rate of 55.9 percent, the personal income tax rates on dividends and capital gains are both at 42 percent, well above the OECD averages of 24.2 percent and 19 percent, respectively.",Net operating losses can be carried forward indefinitely but are limited to 60 percent of taxable income if they exceed a certain amount.,Denmark uses First-In-First-Out for assessing the cost of inventory for tax purposes.
Estonia,EE,EST,"Estonia ranks 1st overall on the 2023 International Tax Competitiveness Index, the same as in 2022, and for the 10th consecutive year.","Estonia's corporate income tax system only taxes distributed earnings, allowing companies to reinvest their profits tax-free.",The VAT applies to a broad base and has a low compliance burden.,Property taxes only apply to the value of land.,"Estonia has tax treaties with just 62 countries, below the OECD average (74 countries).",Estonia's territorial tax system is limited to European countries.,Estonia’s thin capitalization rules are among the more stringent ones in the OECD.
