"ISO_2","ISO_3","country","year","final_rank","final","corporate_rank","corporate","income_rank","income","consumption_rank","consumption","property_rank","property","international_rank","international"
"AU","AUS","Australia",2014,11,69.4848235953254,28,57.7273526584299,19,66.8089662374664,8,76.3710932272277,3,87.1466538140055,30,55.7474634070337
"AU","AUS","Australia",2015,10,69.4643115993444,27,53.2883263244857,19,65.6800978255537,8,79.003381944727,3,87.0160661658078,30,55.7099742193252
"AU","AUS","Australia",2016,11,68.5648930358205,27,56.3040539701048,20,64.4894129718513,8,79.3942484221982,3,87.4029517803576,31,58.0799957373244
"AU","AUS","Australia",2017,12,67.0264615494642,27,56.8726971732707,20,65.1607965981315,7,78.2433090069642,4,82.0443681839948,32,57.89915277944
"AU","AUS","Australia",2018,12,65.3027574154749,29,56.112936021124,17,67.4474571766837,7,78.5852624595986,4,80.498871594724,31,57.1727556037777
"AU","AUS","Australia",2019,10,68.8567020713364,30,53.2936128470643,16,68.1901863452333,7,77.8477317745857,4,80.0563175691171,30,69.0139738236466
"AU","AUS","Australia",2020,10,68.9315193471503,30,51.2289431939439,17,67.3992519840303,7,82.578503497453,4,79.9976770114083,29,69.8658591711625
"AU","AUS","Australia",2021,11,68.3496158482507,29,48.8212852676055,17,63.3076892602406,7,82.3807931382436,4,80.1912566505939,30,69.2746706501532
"AT","AUT","Austria",2014,20,63.6820426164585,15,65.7237122745026,27,57.4504303500703,21,59.7539428152956,21,62.0817649966729,8,80.9616012377599
"AT","AUT","Austria",2015,19,63.8186724650364,14,61.7829545473603,26,59.2882942201424,22,59.6598415687311,21,62.1303761641639,7,81.6398231499979
"AT","AUT","Austria",2016,14,67.3805137263899,14,64.5936166195283,27,58.1291562825497,11,70.1463489338598,16,67.8772701236163,7,82.3079985578335
"AT","AUT","Austria",2017,15,64.5134325260582,17,62.8318065653108,32,48.5763376259958,11,69.1648346275717,15,67.643078510227,7,82.1615660556488
"AT","AUT","Austria",2018,14,63.1843674189367,19,63.5392006382203,31,49.9463697621401,10,70.0547730183415,14,65.3810125017727,8,82.6630406363604
"AT","AUT","Austria",2019,15,65.4768994086034,19,61.4263295818022,31,50.3542334702471,11,69.5666434089007,14,64.6074859120342,7,93.2745329103848
"AT","AUT","Austria",2020,19,63.8763641264651,23,54.7281862352105,31,50.0111049500047,11,74.184953346378,14,64.9051815042318,6,93.5871411779822
"AT","AUT","Austria",2021,20,62.7416830527101,21,56.6900282497563,32,45.0607474707634,13,74.046540966803,14,64.7845054436627,15,85.281559587729
"BE","BEL","Belgium",2014,17,64.7085470309745,26,59.9533061516188,11,80.7597616837624,23,57.2031591375214,26,57.1283964380323,15,75.6885226858814
"BE","BEL","Belgium",2015,20,63.5972572419484,21,55.824313916234,10,79.6308489181946,25,55.8892394585441,26,56.999088896071,13,76.1811223262416
"BE","BEL","Belgium",2016,21,61.1537156986628,25,58.1797560879116,9,78.0984694932327,27,52.9807351554795,26,57.205982010856,14,76.6526639749647
"BE","BEL","Belgium",2017,23,59.9384754175185,20,59.3167069431095,10,75.9635500706965,27,49.406154225952,26,57.0803305930163,18,74.3859445630486
"BE","BEL","Belgium",2018,23,57.3374089688785,17,64.4065214004973,9,76.7995459714978,26,50.7136746312125,30,45.9649880565085,16,74.7955890304849
"BE","BEL","Belgium",2019,26,58.9282648390483,20,61.155970147856,9,76.4263457486167,26,50.0732824464262,30,45.0168639083102,19,84.082853693262
"BE","BEL","Belgium",2020,20,62.1178941386074,10,68.4646360916248,10,76.1938354772296,30,59.9188396621104,25,53.764373864201,23,76.0191088102459
"BE","BEL","Belgium",2021,25,58.6758712467471,15,63.7661197431805,11,73.7396778261077,30,59.6028781496723,30,45.210329689014,24,75.4775300845806
"CA","CAN","Canada",2014,23,62.4026232569111,24,60.0525877501979,26,57.6107748571528,9,71.0048419676825,27,56.8350447227177,16,74.4056652266053
"CA","CAN","Canada",2015,15,65.8960798035651,24,55.3718310613112,23,62.2711047519963,7,80.5598357218509,25,57.0831230753638,14,74.6936700355807
"CA","CAN","Canada",2016,17,64.8379293189514,24,58.4596220036032,24,59.8247174057051,7,81.3653786964819,25,57.5915892360737,15,76.0261152917914
"CA","CAN","Canada",2017,18,63.1075515118929,22,58.7450629923326,27,56.9266430658678,9,76.6060817718385,25,57.842241364218,14,75.6515942542973
"CA","CAN","Canada",2018,19,61.0228800968272,23,58.6819649943211,27,58.087251221575,8,76.8234021037578,24,55.0246695093823,15,74.907073374423
"CA","CAN","Canada",2019,16,65.1510586609801,22,58.461531142749,27,57.5386960215198,9,76.8002179126974,24,54.2178359433451,11,90.3055624158931
"CA","CAN","Canada",2020,16,65.4779337499468,21,57.3884925401895,27,56.3888928357275,8,81.924984198484,24,54.2097691202786,11,91.2588208972133
"CA","CAN","Canada",2021,16,64.6427446374094,23,55.3446899799253,27,50.5489330300052,8,81.4565849752614,24,53.9939653256674,11,90.8647616650491
"CL","CHL","Chile",2014,30,53.5577086565913,13,67.2444448692465,25,58.9011549515523,27,50.2232822812635,13,70.452625645208,36,38.8502466324612
"CL","CHL","Chile",2015,33,52.7219744839429,15,60.5305665091448,24,60.3579034662808,30,49.8555561299873,12,70.6528963377045,36,38.8065475401989
"CL","CHL","Chile",2016,34,46.5544879345059,20,60.8822057525661,30,52.7236918060427,30,49.5621087100329,13,70.8716017197746,37,32.2509840565529
"CL","CHL","Chile",2017,36,46.2206818550385,33,52.1565560905869,25,57.7232086060845,30,46.6041314441151,12,70.990148816613,36,32.2328387908238
"CL","CHL","Chile",2018,36,43.6400181916654,32,52.9015840629036,25,60.1503625252734,32,47.4009766393792,12,68.869164128017,37,32.1571462375162
"CL","CHL","Chile",2019,36,46.1350551027333,32,51.0982440928589,25,58.7425420774035,31,47.1538624497638,12,68.2359799209559,36,37.8282141117397
"CL","CHL","Chile",2020,33,51.7493813065497,5,77.6215644891531,35,47.6251188313404,28,60.0706612036878,12,67.8459075168065,37,37.4735437453382
"CL","CHL","Chile",2021,28,57.8618660032299,1,100,35,40.6549663642058,29,59.6545777456635,12,67.7208365787431,36,38.4723875253589
"CO","COL","Colombia",2014,21,63.5960484432514,33,48.2021910990153,2,97.9455257078857,13,68.2428058290132,8,74.3066564608838,37,33.839372695206
"CO","COL","Colombia",2015,26,56.9113746885553,35,34.6344695336058,1,100,13,66.8346055291221,23,59.5120081645389,37,34.0066283809602
"CO","COL","Colombia",2016,28,54.3312499367673,37,31.6776967808954,1,100,14,67.7516087939311,23,59.6350121077721,36,38.2167229309581
"CO","COL","Colombia",2017,33,50.653525592932,37,30.8578716206853,1,100,20,58.7991965859242,23,59.54733307853,37,32.0152801576537
"CO","COL","Colombia",2018,32,48.3578974062569,37,30.2600561001772,2,98.9366309843531,21,58.3223704098345,23,55.9928999505044,36,37.7333473915665
"CO","COL","Colombia",2019,33,51.3622047598127,36,33.3231562734381,1,100,22,57.257115271974,23,54.9620128871191,37,37.8075479772774
"CO","COL","Colombia",2020,32,52.3379788765949,37,33.840370481414,1,100,22,64.84843272237,23,54.9510891084902,36,38.7208377734652
"CO","COL","Colombia",2021,31,52.1511789512881,37,33.9633328229435,2,96.9725926389588,20,65.055204781664,23,55.1023386396105,37,38.0321981485552
"CZ","CZE","Czech Republic",2014,7,74.4407422336151,5,74.6228042863277,3,93.8257312663667,33,41.8501261313717,9,72.3933739984812,3,86.8049863298832
"CZ","CZE","Czech Republic",2015,7,73.7049784111009,5,70.8866043590911,3,93.2547034275414,33,41.7442365102809,8,72.3849555511029,4,87.1720578681476
"CZ","CZE","Czech Republic",2016,7,73.1799973319989,6,73.3356800037422,4,92.2294822180341,34,41.6907108647448,8,72.728838668194,4,88.8506794377248
"CZ","CZE","Czech Republic",2017,7,72.5437835785679,5,71.4915704999439,4,92.03267985139,34,41.1269747212711,8,72.4398683154396,4,89.3327840140181
"CZ","CZE","Czech Republic",2018,6,72.1668359297633,5,74.2019674025582,4,91.7913369193564,34,43.2833551871866,9,70.5085923586973,3,89.1351804359272
"CZ","CZE","Czech Republic",2019,7,71.923633901755,6,73.1976971211323,4,92.5651113646448,35,38.6105963062077,9,69.8654054597768,8,92.9495529452321
"CZ","CZE","Czech Republic",2020,5,75.3286960372766,7,71.6427298039773,4,93.2217620289357,35,52.5798391825567,6,77.0215225859863,9,93.1346343954176
"CZ","CZE","Czech Republic",2021,6,75.501690424588,8,71.1159122280421,4,93.185577337037,35,52.5877669672497,6,76.9406762851724,8,92.9229962104426
"DK","DNK","Denmark",2014,26,59.0690178684324,17,62.9292980404489,33,49.6867135146785,17,63.0690609823305,17,66.0818872767728,25,64.9828224174941
"DK","DNK","Denmark",2015,25,58.3915405946758,16,60.4196110535917,33,48.2462796428993,17,62.3934962821566,15,65.7627205630908,24,65.0414846240075
"DK","DNK","Denmark",2016,25,58.5556571922433,13,65.8191475401032,33,48.7534355176673,18,62.8505275560698,17,65.9144407967683,24,66.8906244474781
"DK","DNK","Denmark",2017,25,58.481587813307,15,64.9478118884304,33,47.264402858742,17,61.1727257193413,16,65.596330582424,23,67.8315053769249
"DK","DNK","Denmark",2018,26,56.9517237060177,16,66.914261890888,35,48.4047828104775,17,62.8490802546444,16,63.4071612707993,24,67.0455934348012
"DK","DNK","Denmark",2019,27,58.3014270501897,15,65.3152491051607,35,48.0229294711244,17,62.685329822382,16,62.9074738556478,26,71.3774777730437
"DK","DNK","Denmark",2020,27,57.9329631211833,16,63.3423867288647,34,47.8616669583572,17,69.1942879915138,16,63.1617955395016,28,70.875883279699
