ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax,asset_tax_str,capital_duties_str,financial_transaction_tax_str,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AU,AUS,Australia,2014,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1425,0,37,1,6,0.465,2.32037,1.416589929,4,18,0.2325,0,0.27121,10,48730.64034,0.467011343,54,1,0.719402688,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
AU,AUS,Australia,2015,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1425,0,37,1,6,0.465,2.266751,1.402902001,4,18,0.245,0,0.27121,10,48730.64034,0.494666808,50,1,0.725229569,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
AU,AUS,Australia,2016,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1425,0,37,1,6,0.49,2.229938,1.423027415,4,18,0.245,0,0.27121,10,50335.57047,0.484188952,50,1,0.721190089,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
AU,AUS,Australia,2017,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1525,0,37,1,6,0.49,2.194088,1.413414353,4,18,0.245,0,0.2428,10,50335.57047,0.495646493,50,1,0.728899249,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
AU,AUS,Australia,2018,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1375,0,37,1,6,0.49,2.15994,1.376194912,4,18,0.234,0,0.2428,10,50950.98312,0.495777431,50,1,0.758364062,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
AU,AUS,Australia,2019,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1375,0,37,1,6,0.47,2.098449,1.361612558,4,18,0.235,NA,0.2428,10,50950.98312,0.483843559,50,1,0.762226131,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,44,0.333333333,0.5
AU,AUS,Australia,2020,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1375,0,37,1,6,0.47,2.050919,1.412948972,4,18,0.235,NA,0.2428,10,52090.17017,0.470195181,50,1,0.791838813,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,45,0.333333333,0.5
AU,AUS,Australia,2021,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,0,0.1375,0,37,1,6,0.47,1.981052,1.452118415,4,18,0.235,NA,0.2428,10,51314.08531,0.470195181,50,1,0.762796372,No,No,Stamp Duty on Transfer of Real Property,Bank Tax,No,No,1,1,0,0.3,0.1,0.3,45,0.333333333,0.5
AT,AUT,Austria,2014,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,0,0.12,0,49,1,8,0.5,14.163515,1.114334832,3,54,0.25,0,0.25,20,34987.89331,0.586919286,67,0,0.091328234,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.25,0,0.2,84,0,0.5
AT,AUT,Austria,2015,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,0,0.12,0,47,1,8,0.5,13.879673,1.109893603,3,52,0.25,0,0.25,20,34987.89331,0.583845388,67,0,0.09219615,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.25,0,0.2,85,0,0.5
AT,AUT,Austria,2016,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,0,0.12,0,46,1,8,0.5,13.539476,1.105222843,3,50,0.275,0,0.275,20,36585.36585,0.581548015,35,0,0.091468415,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.275,0,0.2,86,0,0.5
AT,AUT,Austria,2017,0.25,0,75,0.813463195,0.338474733,0.737888703,1,0,0,0.15,0,46,1,8,0.55,24.310926,1.132511386,3,50,0.275,0,0.275,20,36585.36585,0.588951731,35,0,0.091192074,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.275,0,0.2,86,0,0.5
AT,AUT,Austria,2018,0.25,0,75,0.813463195,0.338474733,0.737888703,1,0,0,0.15,0,46,1,8,0.55,23.826478,1.127754491,3,50,0.275,0,0.275,20,37457.43898,0.594006144,35,0,0.090366153,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.275,0,0.2,88,0,0.5
AT,AUT,Austria,2019,0.25,0,75,0.813463195,0.338474733,0.737888703,1,0,0,0.17,0,46,1,8,0.55,23.289873,1.121887905,3,50,0.275,NA,0.275,20,37457.43898,0.595819604,35,0,0.091962615,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.275,0,0.2,89,0.333333333,0.5
AT,AUT,Austria,2020,0.25,1,75,0.813463195,0.338474733,0.737888703,1,0,0,0.17,1,46,1,8,0.55,22.659401,1.11678023,3,50,0.275,NA,0.275,20,46065.48142,0.597807488,35,0,0.089252379,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.275,0,0.2,89,0.333333333,0.5
AT,AUT,Austria,2021,0.25,0,75,0.884365027,0.566741558,0.737888703,1,0,0,0.17,1,46,1,8,0.55,22.54589,1.126677772,3,50,0.275,NA,0.275,20,46054.93433,0.603100531,35,0,0.087641783,No,No,Real Estate Transfer Tax,Bank Tax,No,No,1,1,0,0.275,0,0.2,89,0.333333333,1
BE,BEL,Belgium,2014,0.3399,0,100,0.875897349,0.622404879,1.014865254,1,1,1,0.155,0,20,1,8,0.537,1.009416,1.194851451,2,40,0,1,0.25,21,6319.04976,0.477677753,71,0.5,0.531860638,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
BE,BEL,Belgium,2015,0.3399,0,100,0.875897349,0.622404879,1.004865254,1,1,1,0.155,0,20,1,8,0.5375,1.592011,1.197086119,2,40,0,1,0.25,21,6319.04976,0.472928571,75,0.5,0.551888099,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,0.95,0.987878788,0,0.25,0.25,0.25,91,0,0.5
BE,BEL,Belgium,2016,0.3399,0,100,0.875897349,0.622404879,1.004865254,1,1,1,0.155,0,20,1,8,0.538,1.025977,1.203273629,2,40,0,1,0.27,21,30487.80488,0.469757931,75,0.5,0.56108582,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,0.95,0.987878788,0,0.27,0.27,0.27,93,0,0.5
BE,BEL,Belgium,2017,0.3399,0,100,0.875897349,0.622404879,1.004865254,1,1,1,0.155,0,21,1,8,0.533,1.046325,1.229158275,2,40,0,1,0.3,21,30487.80488,0.461474649,75,0.5,0.56078113,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,0.95,0.987878788,0,0.3,0.3,0.3,93,0,0.5
BE,BEL,Belgium,2018,0.2958,0,100,0.875897349,0.622404879,1.004865254,1,1,1,0.15,0,21,1,8,0.529341,1.044424,1.227880121,2,40,0,1,0.3,21,31109.15331,0.469022186,75,0.5,0.570242685,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,1,1,0,0.3,0.3,0.3,95,0,0.5
BE,BEL,Belgium,2019,0.2958,0,70,0.875897349,0.622404879,1.069865254,1,1,1,0.155,0,21,1,8,0.529341,1.049507,1.258068061,2,40,0,NA,0.3,21,31109.15331,0.469542584,75,0.5,0.560720605,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,1,1,0,0.3,0.3,0.3,95,0,1
BE,BEL,Belgium,2020,0.25,1,70,0.875897349,0.622404879,1.069865254,1,1,1,0.15,0,21,1,8,0.529341,1.046545,1.269935247,2,40,0,NA,0.3,21,33101.84112,0.47213145,75,0.5,0.533928449,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,1,1,0,0.3,0.3,0.3,95,0.333333333,1
BE,BEL,Belgium,2021,0.25,0,70,0.737888703,0.547953911,1.004865254,1,1,1,0.15,0,21,1,8,0.529341,1.107443,1.275260922,2,40,0,NA,0.3,21,33155.39936,0.467774,75,0.5,0.556432069,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes,1,1,0,0.3,0.3,0.3,95,0.333333333,1
CA,CAN,Canada,2014,0.262,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.245,0,45,1,4,0.495296,10.605125,1.200673719,3,36,0.2475,0,0.338414,15.6,23453.72582,0.470298739,50,0.5,1.548706217,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CA,CAN,Canada,2015,0.267,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,45,1,4,0.495296,4.414843,1.189172007,3,36,0.2475,0,0.338214,10.6,23453.72582,0.468539909,50,0.5,1.535398921,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CA,CAN,Canada,2016,0.267,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,45,1,4,0.495296,4.367895,1.190480916,3,36,0.2475,0,0.39343524,10.6,24000,0.47387226,50,0.5,1.502184678,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CA,CAN,Canada,2017,0.2665,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,45,1,4,0.535296,4.328839,1.167535923,3,36,0.2675,0,0.39343524,12.4,24000,0.483345834,50,0.5,1.471345479,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CA,CAN,Canada,2018,0.2678,3,20,0.965116279,0.242105263,0.518965517,0.5,0,0,0.2125,0,45,1,4,0.535296,4.261458,1.181117082,3,36,0.2675,0,0.39343524,12.4,23975.88985,0.480966841,50,0.5,1.473438797,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CA,CAN,Canada,2019,0.2661,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,4.084894,1.220589206,3,36,0.2675,NA,0.39344076,12.4,23975.88985,0.489186666,50,0.5,1.456959966,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,94,0.333333333,0.5
CA,CAN,Canada,2020,0.2615,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,3.968359,1.289100756,3,36,0.2675,NA,0.39344076,12.4,25130.19535,0.488548264,50,0.5,1.475574738,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,96,0.333333333,0.5
CA,CAN,Canada,2021,0.2615,3,20,1,0.426086957,0.49,0.5,0,0,0.2125,0,45,1,4,0.535296,3.842896,1.37508437,3,36,0.2675,NA,0.39344076,12.4,25039.8969,0.480243206,50,0.5,1.473986083,No,No,Real Estate Transfer Tax,Bank Tax in Certain Provinces,Yes,No,1,0.5,1,0.25,0.25,0.25,96,0.333333333,0.5
