"Country","Overall Rank","Overall Score","Corporate Tax Rank","Individual Taxes Rank","Consumption Taxes Rank","Property Taxes Rank","Cross-Border Tax Rules Rank"
"Estonia",1,"100.0",2,1,15,1,11
"New Zealand",2,"89.8",29,5,1,2,19
"Latvia",3,"88.9",1,3,27,6,9
"Switzerland",4,"85.0",10,8,3,36,1
"Czech Republic",5,"81.7",6,4,25,7,10
"Luxembourg",6,"80.5",23,15,7,14,5
"Israel",7,"78.7",13,22,11,11,8
"Lithuania",8,"77.1",3,9,30,8,22
"Hungary",9,"75.6",4,6,38,23,3
"Turkey",10,"75.4",11,13,13,22,7
"Slovak Republic",11,"74.9",18,2,29,4,30
"Sweden",12,"73.7",8,20,21,10,13
"Australia",13,"72.4",32,27,9,5,21
"Netherlands",14,"71.1",25,19,16,21,4
"Canada",15,"70.3",24,24,8,25,15
"Germany",16,"68.4",31,31,14,12,6
"Finland",17,"68.0",9,23,24,19,20
"Slovenia",18,"67.4",7,12,31,24,18
"Norway",19,"67.2",14,26,23,16,12
"Austria",20,"66.1",20,29,17,15,16
"United States",21,"65.6",22,21,4,29,35
"Costa Rica",22,"65.5",36,33,5,9,31
"Korea",23,"63.6",26,34,2,32,26
"Japan",24,"63.3",30,30,6,26,25
"Greece",25,"62.1",19,7,33,28,23
"Belgium",26,"61.6",15,10,22,30,33
"Mexico",27,"60.8",27,28,12,3,38
"Ireland",28,"59.5",5,32,34,17,34
"Denmark",29,"59.1",17,35,20,18,29
"United Kingdom",30,"56.7",28,25,35,35,2
"Iceland",31,"56.5",12,18,28,33,32
"Spain",32,"56.4",33,17,19,37,17
"Poland",33,"56.0",16,11,36,31,27
"Chile",34,"51.3",35,38,10,13,37
"Italy",35,"49.4",21,16,37,38,24
"Portugal",36,"49.1",37,36,26,20,28
"Colombia",37,"47.2",38,14,18,27,36
"France",38,"45.8",34,37,32,34,14
