"Country","2022 Rank","2022 Score","2023 Rank","2023 Score","Change in Rank from 2022 to 2023","Change in Score from 2022 to 2023"
"Australia",10,"76.1",13,"72.5",-3,"-3.6"
"Austria",17,"69.1",20,"66.3",-3,"-2.9"
"Belgium",23,"66.0",27,"60.7",-4,"-5.4"
"Canada",15,"71.4",15,"70.4",0,"-1.0"
"Chile",31,"59.0",34,"51.3",-3,"-7.8"
"Colombia",37,"49.5",37,"47.2",0,"-2.3"
"Costa Rica",25,"65.2",22,"65.5",3,"0.3"
"Czech Republic",5,"82.7",5,"81.7",0,"-1.0"
"Denmark",29,"60.3",29,"59.2",0,"-1.1"
"Estonia",1,"100.0",1,"100.0",0,"0.0"
"Finland",19,"68.5",19,"67.2",0,"-1.4"
"France",38,"45.5",38,"45.9",0,"0.4"
"Germany",18,"69.1",16,"68.5",2,"-0.6"
"Greece",26,"64.5",25,"62.1",1,"-2.4"
"Hungary",9,"76.7",9,"75.6",0,"-1.2"
"Iceland",33,"57.3",32,"56.5",1,"-0.8"
"Ireland",30,"60.0",28,"59.6",2,"-0.4"
"Israel",7,"79.1",7,"78.8",0,"-0.2"
"Italy",35,"49.9",35,"49.5",0,"-0.4"
"Japan",24,"65.7",24,"63.5",0,"-2.2"
"Korea",22,"66.5",23,"63.8",-1,"-2.8"
"Latvia",3,"90.3",3,"88.9",0,"-1.4"
"Lithuania",8,"77.8",8,"77.1",0,"-0.7"
"Luxembourg",6,"80.5",6,"80.6",0,"0.1"
"Mexico",28,"62.6",26,"60.8",2,"-1.7"
"Netherlands",14,"72.4",14,"71.2",0,"-1.1"
"New Zealand",2,"91.8",2,"89.9",0,"-2.0"
"Norway",16,"70.0",18,"67.3",-2,"-2.7"
"Poland",34,"57.3",33,"56.1",1,"-1.2"
"Portugal",36,"49.8",36,"49.2",0,"-0.6"
"Slovak Republic",11,"75.1",11,"74.9",0,"-0.3"
"Slovenia",20,"68.0",17,"67.5",3,"-0.5"
"Spain",32,"58.4",31,"56.5",1,"-1.8"
"Sweden",12,"75.0",12,"73.8",0,"-1.1"
"Switzerland",4,"86.1",4,"85.1",0,"-1.0"
"Turkey",13,"73.2",10,"75.4",3,"2.2"
"United Kingdom",27,"63.4",30,"56.8",-3,"-6.5"
"United States",21,"67.6",21,"65.7",0,"-1.9"
