"Country","Overall Rank","Overall Score","Income Tax Rank","Income Tax Score","Complexity Rank","Complexity Score","Capital Gains/Dividends Rank","Capital Gains/Dividends Score"
"Australia",27,"60.6",13,"79.9",29,"66.8",21,"60.4"
"Austria",30,"57.7",37,"54.2",2,"99.9",25,"53.3"
"Belgium",10,"81.6",21,"76.8",2,"99.9",15,"76.7"
"Canada",24,"63.7",23,"75.5",2,"99.9",34,"42.0"
"Chile",38,"36.2",38,"22.1",2,"99.9",33,"45.2"
"Colombia",14,"74.5",30,"69.0",28,"75.0",2,"93.0"
"Costa Rica",34,"55.1",6,"85.8",38,"27.4",13,"77.8"
"Czech Republic",4,"94.3",2,"93.7",2,"99.9",10,"83.8"
"Denmark",35,"49.7",32,"65.4",2,"99.9",37,"25.0"
"Estonia",1,"100.0",1,"100.0",2,"99.9",4,"88.3"
"Finland",23,"67.2",16,"78.5",2,"99.9",32,"45.8"
"France",37,"40.8",35,"61.6",29,"66.8",35,"40.6"
"Germany",32,"56.7",20,"77.2",29,"66.8",23,"55.5"
"Greece",7,"88.8",14,"79.7",2,"99.9",6,"87.9"
"Hungary",6,"90.9",3,"93.1",26,"99.5",13,"77.8"
"Iceland",18,"68.8",10,"82.0",27,"78.5",19,"64.1"
"Ireland",33,"56.0",18,"77.5",2,"99.9",38,"24.3"
"Israel",22,"67.5",24,"75.1",2,"99.9",28,"50.1"
"Italy",16,"70.2",25,"74.5",2,"99.9",22,"56.3"
"Japan",31,"57.3",31,"67.5",29,"66.8",18,"67.4"
"Korea",29,"58.1",28,"73.5",29,"66.8",20,"62.5"
"Latvia",3,"94.4",4,"89.8",2,"99.9",4,"88.3"
"Lithuania",9,"83.7",8,"84.0",2,"99.9",16,"73.1"
"Luxembourg",15,"73.1",15,"79.7",29,"66.8",8,"85.8"
"Mexico",28,"60.2",34,"62.6",37,"64.9",11,"80.3"
"Netherlands",19,"68.5",19,"77.3",2,"99.9",29,"49.7"
"New Zealand",5,"93.5",7,"85.0",2,"99.9",3,"91.6"
"Norway",26,"62.2",12,"80.8",2,"99.9",36,"33.2"
"Poland",11,"76.9",26,"74.2",2,"99.9",17,"70.0"
"Portugal",36,"44.3",36,"57.2",29,"66.8",26,"52.4"
"Slovak Republic",2,"99.8",5,"89.0",2,"99.9",1,"100.0"
"Slovenia",12,"76.2",33,"64.7",2,"99.9",12,"79.2"
"Spain",17,"68.9",27,"73.9",2,"99.9",24,"54.2"
"Sweden",20,"68.2",17,"77.9",1,"100.0",30,"48.4"
"Switzerland",8,"88.7",9,"82.8",2,"99.9",9,"84.5"
"Turkey",13,"74.5",11,"81.3",29,"66.8",7,"86.8"
"United Kingdom",25,"63.4",29,"69.2",2,"99.9",31,"48.4"
"United States",21,"68.1",22,"75.7",2,"99.9",27,"50.7"
