"Country","Overall Rank","Overall Score","Rate Rank","Rate Score","Base Rank","Base Score"
"Australia",9,"79.3",3,"89.5",30,"45.0"
"Austria",17,"58.2",16,"49.0",14,"58.8"
"Belgium",24,"49.9",21,"44.9",25,"50.5"
"Canada",8,"79.5",6,"79.8",20,"56.4"
"Chile",11,"72.5",13,"53.0",3,"76.2"
"Colombia",18,"56.5",13,"53.0",22,"51.4"
"Costa Rica",7,"80.3",7,"77.3",12,"60.4"
"Czech Republic",25,"49.7",21,"44.9",26,"50.2"
"Denmark",20,"53.6",35,"28.7",4,"74.8"
"Estonia",14,"61.4",16,"49.0",11,"63.7"
"Finland",21,"52.8",32,"32.8",9,"69.0"
"France",33,"39.6",16,"49.0",36,"30.1"
"Germany",15,"60.9",13,"53.0",15,"58.3"
"Greece",30,"44.8",32,"32.8",19,"56.7"
"Hungary",38,"30.6",38,"20.6",29,"48.7"
"Iceland",28,"45.6",32,"32.8",16,"57.9"
"Ireland",36,"31.8",29,"36.8",35,"31.9"
"Israel",10,"74.0",10,"61.1",8,"69.2"
"Italy",37,"30.7",27,"40.9",37,"25.6"
"Japan",5,"82.6",3,"89.5",28,"50.1"
"Korea",2,"97.2",3,"89.5",6,"72.5"
"Latvia",26,"49.7",21,"44.9",27,"50.2"
"Lithuania",31,"42.5",21,"44.9",32,"39.2"
"Luxembourg",6,"81.0",10,"61.1",2,"80.0"
"Mexico",12,"66.9",9,"65.2",21,"53.6"
"Netherlands",16,"58.6",21,"44.9",10,"64.1"
"New Zealand",1,"100.0",8,"69.2",1,"100.0"
"Norway",23,"51.7",35,"28.7",7,"71.9"
"Poland",35,"32.9",29,"36.8",34,"33.6"
"Portugal",27,"48.4",29,"36.8",18,"57.5"
"Slovak Republic",29,"45.3",16,"49.0",33,"38.8"
"Slovenia",32,"42.1",27,"40.9",31,"43.2"
"Spain",19,"54.6",21,"44.9",17,"57.9"
"Sweden",22,"52.2",35,"28.7",5,"72.6"
"Switzerland",4,"90.1",2,"98.8",24,"50.9"
"Turkey",13,"65.0",12,"57.1",13,"60.0"
"United Kingdom",34,"35.4",16,"49.0",38,"23.6"
"United States",3,"91.3",1,"100.0",23,"51.3"
