"Country","Overall Rank","Overall Score","Div/Cap Gains Exemption Rank","Div/Cap Gains Exemption Score","Withholding Taxes Rank","Withholding Taxes Score","Tax Treaties Rank","Tax Treaties Score","Anti-Tax Avoidance Rank","Anti-Tax Avoidance Score"
"Australia",33,"62.6",1,"100.0",29,"45.1",33,"45.7",18,"43.8"
"Austria",16,"77.0",1,"100.0",16,"62.1",13,"72.2",34,"26.6"
"Belgium",27,"67.4",1,"100.0",36,"31.3",9,"76.1",34,"26.6"
"Canada",18,"74.3",32,"71.0",32,"42.7",7,"76.7",9,"61.9"
"Chile",38,"36.1",38,"26.8",38,"23.8",36,"38.6",4,"73.3"
"Colombia",37,"42.8",36,"44.4",21,"54.2",37,"23.7",5,"64.6"
"Costa Rica",30,"65.0",1,"100.0",19,"57.6",38,"17.2",3,"81.1"
"Czech Republic",11,"81.3",16,"82.4",13,"65.6",5,"78.0",18,"43.8"
"Denmark",34,"60.8",16,"82.4",28,"45.6",21,"64.4",34,"26.6"
"Estonia",7,"86.2",16,"82.4",3,"92.0",26,"55.4",6,"63.8"
"Finland",19,"72.2",16,"82.4",11,"68.0",21,"64.4",28,"35.2"
"France",12,"80.4",29,"78.0",17,"60.1",2,"94.2",34,"26.6"
"Germany",9,"85.6",15,"97.2",12,"66.3",9,"76.1",18,"43.8"
"Greece",23,"69.3",16,"82.4",10,"69.6",31,"52.1",18,"43.8"
"Hungary",4,"95.2",1,"100.0",1,"100.0",16,"68.3",18,"43.8"
"Iceland",26,"68.7",1,"100.0",18,"59.7",34,"45.0",13,"46.5"
"Ireland",28,"67.4",16,"82.4",25,"50.2",24,"62.5",18,"43.8"
"Israel",10,"84.4",1,"100.0",34,"41.7",28,"53.4",1,"100.0"
"Italy",20,"70.7",27,"79.6",31,"43.2",4,"81.2",28,"35.2"
"Japan",25,"68.7",31,"75.7",23,"53.2",19,"66.4",15,"45.2"
"Korea",29,"66.8",35,"58.1",26,"49.6",7,"76.7",15,"45.2"
"Latvia",6,"89.3",16,"82.4",1,"100.0",26,"55.4",6,"63.8"
"Lithuania",15,"77.1",16,"82.4",8,"72.3",31,"52.1",6,"63.8"
"Luxembourg",5,"92.0",1,"100.0",4,"88.0",15,"70.9",18,"43.8"
"Mexico",36,"46.8",36,"44.4",35,"39.7",28,"53.4",13,"46.5"
"Netherlands",3,"95.4",1,"100.0",4,"88.0",6,"77.4",18,"43.8"
"New Zealand",22,"69.6",1,"100.0",22,"53.7",35,"41.1",9,"61.9"
"Norway",14,"78.5",26,"81.4",6,"80.1",16,"68.3",28,"35.2"
"Poland",31,"63.3",34,"59.7",20,"55.0",14,"71.5",28,"35.2"
"Portugal",32,"62.9",16,"82.4",32,"42.7",20,"65.1",28,"35.2"
"Slovak Republic",24,"69.1",16,"82.4",30,"43.7",23,"63.1",12,"55.2"
"Slovenia",21,"70.0",33,"68.8",13,"65.6",28,"53.4",9,"61.9"
"Spain",17,"74.4",27,"79.6",24,"52.5",9,"76.1",18,"43.8"
"Sweden",13,"80.3",1,"100.0",7,"76.1",16,"68.3",34,"26.6"
"Switzerland",1,"100.0",1,"100.0",27,"47.8",3,"85.8",2,"89.2"
"Turkey",8,"85.6",1,"100.0",15,"65.1",12,"74.8",17,"44.7"
"United Kingdom",2,"97.6",1,"100.0",9,"70.1",1,"100.0",28,"35.2"
"United States",35,"55.1",30,"77.3",36,"31.3",25,"56.0",18,"43.8"
