country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Australia,0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.1,48123,0.52,50,0,1.406,0,0,1,0,0,0,0.245,0,0.2712,0.465,2.32037,1.444691983,4,18,1,1,0.3,0.1,0.3,44,0.67,0,0.5
Austria,0.25,0,75,0.8134632,0.391406,0.7378887,1,0,1,47,1,8,0.2,35309,0.61,67,1,0.227,0,0,1,1,1,0,0.25,0,0.25,0.5,14.163515,1.121477333,3,52,1,1,0.25,0,0.2,87,0,1,0
Belgium,0.3399,0,100,0.8822161,0.6224049,0.8698653,1,1,1,20,1,8,0.21,6443,0.47,100,1,1.299,0,1,1,0,0,1,0,1,0.25,0.59447155,1.009416,1.200290991,2,40,0.95,0.987878788,0.25,0.25,0.25,91,0,0,0.5
Canada,0.262,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.123209196,24402,0.49,50,0.5,2.857,0,0,1,1,1,0,0.225,0,0.33846156,0.495296,10.605125,1.205870245,3,36,1,0.5,0.25,0.25,0.25,94,0.33,1,0.5
Chile,0.21,100,100,0.6326117,0.3384747,0,0.5,0,0,42,1,5,0.19,0,0.59,124,1,0.572,0,1,0,1,0,0,0.2,0,0.25,0.4,10.408629,1.154521947,1,125,0,0,0.35,0.35,0.3,24,0,0,0.5
Czech Republic,0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,94,1,5,0.21,71840,0.56,102,1,0.249,0,1,1,0,0,0,0,1,0.15,0.311,0.40867,1.141031788,2,217,1,1,0.15,0.15,0.15,78,0,1,0.5
Denmark,0.245,0,60,0.8269231,0.4793187,0.8134064,0,0,0,25,3,6,0.25,6399,0.59,40,1,1.355,0,1,0,0,0,0,0.42,0,0.42,0.55564,1.16303,1.249873679,1,65,1,1,0.27,0.25,0.25,72,0.83,1,0.5
Estonia,0.21,100,100,1,1,1,1,0,0,20,1,6,0.2,30075,0.76,27,0,0.337,0,0,0,0,0,0,0.21,0,0,0.2258,0.15036,1.055845295,0,34,1,0,0,0,0.1,50,0.67,1,0
Finland,0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.24,8983,0.55,24,0.5,0.66,0,1,1,1,0,1,0.32,0,0.272,0.56617293,2.535029,1.276059542,3,48,1,1,0.2,0,0.2,71,0.83,1,1
France,0.38,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,4,0.2,94006,0.46,26,1,2.581,1,1,1,1,1,1,0.38,0,0.44001,0.549345,15.274647,1.212460367,2,80,0.95,0.88,0.3,0,0.3333,106,0.67,1,1
Germany,0.30175,0.5,60,0.7378887,0.391406,0.8698653,1,0,0,41,2,6,0.19,21927,0.56,43,1,0.451,0,1,1,0,0,0,0.25,0,0.26375,0.47475,5.77971,1.108496057,1,134,0.95,0.95,0.25,0,0.15,96,0.5,0,1
Greece,0.26,0,5,0.7378887,0.4793187,0.7378887,1,0,0,78,1,6,0.23,14133,0.39,69,1,0.9,0,1,1,0,1,0,0.15,0,0.1,0.46,5.346351,1.194700079,1,46,1,0,0.25,0.15,0.2,54,0.5,1,0.75
Hungary,0.19,0,50,0.8162004,0.2789584,0.8698653,0.5,1,0,35,2,8,0.27,38494,0.63,96,1,0.45,0,1,1,1,0,1,0.16,0,0.16,0.345,0,1,2,146,1,1,0,0,0,128,0.83,0,0.5
Iceland ,0.2,0,10,0.86,0.4777778,0.8122694,0,0,1,40,1,12,0.255,7263,0.47,40,1,1.684,1,1,0,1,0,0,0.2,0,0.2,0.443712,1.387967,1.285526013,13,60,1,1,0.18,0.1,0.2,36,0.83,0,0
Ireland,0.125,3,100,0.7870752,0.4793187,0.7378887,0.5,0,1,10,1,7,0.23,89579,0.46,30,0.5,0.877,0,1,1,0,0,1,0.33,0,0.51,0.52,0.971764,1.71375,1,40,0,1,0.2,0.2,0.2,69,0,1,0
Israel,0.265,0,100,0.8698653,0.5479539,0.7870752,0.5,0,0,110,2,19,0.18,19042,0.68,65,1,2.333,0,0,1,0,0,0,0.25,1,0.3,0.5,6.307592,1.883201826,12,60,0,0,0.3,0.25,0.25,50,0.67,0,0
Italy,0.3129,0,80,0.7602526,0.4626575,0.9651163,1,0,1,39,2,12,0.22,37575,0.37,32,1,1.512,1,1,1,0,1,1,0.2,0,0.2,0.472611,10.005698,1.176347214,1,198,0.95,0.95,0.2,0.2,0.225,94,0.67,1,1
Japan,0.3699,1,7.2,0.7696023,0.2789584,0.7870752,1,0,1,155,2,10,0.08,93566,0.67,35,1,2.066,0,1,1,0,1,0,0.2,0,0.20315,0.510858,4.610718,1.135665429,2,140,0.95,0,0.2,0.2,0.2,56,0.67,0,0.5
