"country","year","losscarryback","losscarryforward","pdvmachines","pdvbuildings","pdvintangibles","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-3","corprate","divrate","incrate","progressivity","taxwedge","ISO-2"
"Australia",2015,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.1,48730.64034,0.47,50,0,1.428,0,0,1,0,0,0,0.245,0,2.266751,4,18,1,1,0.3,0.1,0.3,45,0.67,0,0.5,"AUS",0.3,0.27121,0.465,2.266751,1.40290200146597,"AU"
"Austria",2015,0,75,0.8134632,0.391406,0.7378887,1,0,1,47,1,8,0.2,34987.89331,0.59,67,1,0.223,0,0,1,1,1,0,0.25,0,13.879673,3,52,1,1,0.25,0,0.2,87,0,1,0,"AUT",0.25,0.25,0.5,13.879673,1.10989360304717,"AT"
"Belgium",2015,0,100,0.8822161,0.6224049,0.8698653,1,1,1,20,1,8,0.21,6319.04976,0.48,100,1,1.259,0,1,1,0,0,1,0,1,1.592011,2,40,0.95,0.987878788,0.25,0.25,0.25,92,0,0,0.5,"BEL",0.3399,0.25,0.5375,1.592011,1.19708611941441,"BE"
"Canada",2015,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.123209196,23453.72582,0.48,50,0.5,2.842,0,0,1,1,1,0,0.226,0,4.414843,3,36,1,0.5,0.25,0.25,0.25,94,0.33,1,0.5,"CAN",0.267,0.338214,0.495296,4.414843,1.1891720068578,"CA"
"Chile",2015,100,100,0.6326117,0.3384747,0,0.5,0,0,42,1,5,0.19,0,0.64,125,1,0.609,0,1,0,1,0,0,0.2,0,10.379357,1,125,0,0,0.35,0.35,0.3,25,0,0,0.5,"CHL",0.225,0.22580645,0.4,10.379357,1.16167995248495,"CL"
"Czech Republic",2015,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,94,1,5,0.21,67707.95356,0.57,102,1,0.236,0,1,1,0,0,0,0,1,0.397857,2,217,1,1,0.15,0.15,0.15,81,0,1,0.5,"CZE",0.19,0.15,0.15,0.397857,1.133819821388,"CZ"
"Denmark",2015,0,60,0.8269231,0.4793187,0.8134064,0,0,0,25,3,6,0.25,5879.076387,0.59,40,1,1.326,0,1,0,0,0,0,0.42,0,1.227747,1,65,1,1,0.27,0.25,0.25,72,0.83,1,0.5,"DNK",0.235,0.42,0.55564,1.227747,1.29006643084604,"DK"
"Estonia",2015,100,100,1,1,1,1,0,0,20,1,6,0.2,25581.77657,0.7,27,0,0.332,0,0,0,0,0,0,0.2,0,0.142973,0,34,1,0,0,0,0.1,56,0.67,1,0,"EST",0.2,0,0.21,0.142973,1.05257052948518,"EE"
"Finland",2015,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.24,8589.472836,0.56,24,0.5,0.638,0,1,1,1,0,1,0.33,0,2.530586,3,48,1,1,0.2,0,0.2,74,0.83,1,1,"FIN",0.2,0.2805,0.5149,2.530586,1.26763835062432,"FI"
"France",2015,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,5,0.2,93551.08764,0.48,31,1,2.481,1,1,1,1,1,1,0.344,0,15.054145,2,80,0.95,0.88,0.3,0,0.3333,106,0.67,1,1,"FRA",0.379962,0.44001,0.54501,15.054145,1.20556750316793,"FR"
