country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,deduction limitations,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Australia,0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.1,50335.57,0.47,1,50,0,1.484,0,0,1,0,0,0,0.245,0,0.2712,0.49,2.228,0.28354,4,18,1,1,0.3,0.1,0.3,45,0.5,0,0.5
Austria,0.25,0,75,0.8134632,0.391406,0.7378887,1,0,1,47,1,8,0.2,36585.37,0.59,1,67,1,0.228,0,0,1,1,0,0,0.275,0,0.275,0.55,13.672,0.49509,3,52,1,1,0.275,0,0.2,90,0,1,0
Belgium,0.3399,0,100,0.8822161,0.6224049,0.8025327,1,1,1,21,1,8,0.21,30487.8,0.48,1,100,1,1.312,0,1,1,0,0,1,0,1,0.27,0.58393,1.021,0.5531,2,40,0.95,0.987878788,0.27,0.27,0.27,93,0,1,0.5
Canada,0.267,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.106134615,24000,0.48,1,50,0.5,2.752,0,0,1,1,1,0,0.229357143,0,0.3934,0.4953,4.324,0.31632,3,36,1,0.5,0.25,0.25,0.25,94,0.5,1,0.5
Chile,0.24,100,100,0.6326117,0.3384747,0,0.5,0,0,42,1,5,0.19,0,0.64,1,125,1,0.614,0,1,0,1,0,0,0.4,0,0.2105,0.4,11.264,0.07,1,124,0,0,0.35,0.35,0.3,25,0.5,0,0.5
Czech Republic,0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,94,1,5,0.21,75872.53,0.57,1,94,1,0.242,0,1,1,0,0,0,0,1,0.15,0.311,0.389,0.42751,2,217,1,1,0.15,0.15,0.15,82,0,1,0.5
Denmark,0.22,0,60,0.8269231,0.4793187,0.8134064,0,0,0,25,3,6,0.25,6666.67,0.59,1,40,1,1.392,0,1,0,0,0,0,0.42,0,0.42,0.55794,1.233,0.36447,1,65,1,1,0.27,0.25,0.25,72,1,0,0.5
Estonia,0.2,100,100,1,1,1,1,0,0,20,1,7,0.2,28751.43,0.7,1,27,0,0.305,0,0,0,0,0,0,0.2,0,0,0.2128,0.145,0.39029,0,34,1,0,0,0,0.1,56,0.5,1,0
Finland,0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.24,10752.69,0.56,1,24,0.5,0.672,0,1,1,1,0,1,0.34,0,0.289,0.57468,2.241,0.43883,3,48,1,1,0.2,0,0.2,74,1,1,1
France,0.3443,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,5,0.2,100243.9,0.48,1,31,1,2.545,1,1,1,1,1,1,0.3444675,0,0.44,0.55036,14.848,0.48457,2,80,0.95,0.88,0.3,0,0.3333,106,1,1,1
