"ISO-3","year","country","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","vatrate","threshold","base","consumptiontime","propertytaxes","propertytaxescollections","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","threshold_1","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","cfcrules","countrylimitations","thincap","ISO-2","corprate","divrate","incrate","progressivity","taxwedge","pdvmachines","pdvbuildings","pdvintangibles"
"AUS",2019,"Australia",0,100,0.5,0,1,37,1,6,NA,NA,NA,50,0,NA,0,0,1,0,0,0,0.245,NA,NA,4,18,1,1,0.3,0.1,0.3,45,0.666666666666667,0,0.5,NA,0.3,0.2428,0.47,2.098449,1.36161255752027,0.851484971473245,0.479318672008477,0.547953910556565
"AUT",2019,"Austria",0,75,1,0,1,46,1,8,NA,NA,NA,35,1,NA,0,0,1,1,0,0,0.275,NA,NA,3,50,1,1,0.275,0,0.2,91,0.5,0,0.5,NA,0.25,0.275,0.55,23.269194,1.1217583937524,0.813463195231154,0.391406012913837,0.737888702767901
"BEL",2019,"Belgium",0,100,1,1,1,21,1,8,NA,NA,NA,75,0.5,NA,1,1,1,0,0,1,0,NA,NA,2,40,1,1,0.3,0.3,0.3,NA,0,0,1,NA,0.2958,0.3,0.529341,1.053602,1.25922166287196,0.882216122406083,0.622404878792567,0.802532679160089
"CAN",2019,"Canada",3,20,0.5,0,1,45,1,4,NA,NA,NA,50,0.5,NA,0,0,1,1,1,0,0.2675,NA,NA,3,36,1,0.5,0.25,0.25,0.25,NA,0.333333333333333,1,0.5,NA,0.268,0.39344076,0.535296,4.123721,1.17806525296873,1,0.426086956521739,0.49
"CHE",2019,"Switzerland",0,7,1,0,0,15,2,10,NA,NA,NA,8,1,NA,1,1,1,1,1,1,0,NA,NA,7,40,1,1,0.35,0.35,0,NA,0,0,0.5,NA,0.21148581,0.21135,0.4167,3.30769,1.35253868781859,0.86,0.554838709677419,0.905263157894737
"CHL",2019,"Chile",0,100,0.5,0,1,48,1,5,NA,NA,NA,123.5,1,NA,0,1,0,1,0,0,0.35,NA,NA,1,124.5,0,0,0.35,0.35,0.3,NA,0.5,0,0.5,NA,0.25,0.13333333,0.35,7.705643,1.25283729050685,0.632611659769417,0.338474732816403,0
"CZE",2019,"Czech Republic",0,5,0.5,0,1,53,1,5,NA,NA,NA,102,1,NA,0,1,1,0,0,0,0.15,NA,NA,2,75,1,1,0.15,0.15,0.15,NA,0,1,0.5,NA,0.19,0.15,0.15,0.322415,1.10576053466434,0.873879108036537,0.543222830616488,0.841318847888109
"DEU",2019,"Germany",0.5,60,1,0,0,41,2,6,NA,NA,NA,43,1,NA,0,1,1,0,0,0,0.26375,NA,NA,1,134,0.95,0.95,0.26375,0,0.15825,NA,0.5,0,1,NA,0.29889263,0.26375,0.47475,5.377903,1.10058056727888,0.737888702767901,0.391406012913837,0.869865253929667
"DNK",2019,"Denmark",0,60,0,0,1,27,3,6,NA,NA,NA,40,1,NA,0,1,0,0,0,0,0.42,NA,NA,1,65,1,1,0.27,0.22,0.22,NA,0.833333333333333,1,1,NA,0.22,0.42,0.558584,1.28641,1.30513804617432,0.826923076923077,0.479318672008477,0.81340644290143
"ESP",2019,"Spain",0,100,0.5,1,1,33,1,7,NA,NA,NA,30.5,1,NA,1,1,1,0,1,0,0.23,NA,NA,1,84,1,1,0.19,0.19,0.24,NA,0.5,1,1,NA,0.25,0.23,0.435,2.409703,1.21576799276324,0.778563038959402,0.391406012913837,0.737888702767901
"EST",2019,"Estonia",100,100,1,0,0,5,1,7,NA,NA,NA,14,0,NA,0,0,0,0,0,0,0.2,NA,NA,0,31,1,1,0,0,0.1,NA,0.666666666666667,1,1,NA,0.2,0,0.2,0.894225,1.20692450210511,1,1,1
"FIN",2019,"Finland",0,10,0,0,0,18,1,4,NA,NA,NA,24,0.5,NA,0,1,1,0,0,1,0.34,NA,NA,3,48,1,1,0.2,0,0.2,NA,0.833333333333333,1,1,NA,0.2,0.289,0.5111,1.88875,1.30610786697143,0.826923076923077,0.518965517241379,0.737888702767901
"FRA",2019,"France",0.5,50,0.5,1,1,28,1,6,NA,NA,NA,31,1,NA,1,1,1,1,0,1,0.3,NA,NA,2,80,0.95,0.88,0.3,0,0.333,NA,0.666666666666667,1,1,NA,0.32023,0.34,0.55368,14.342621,1.25247443832651,0.857738015451725,0.547953910556565,0.869865253929667
"GBR",2019,"United Kingdom",1,50,0,1,1,32,1,6,NA,NA,NA,25,0.5,NA,0,1,1,1,0,1,0.2,NA,NA,1,48,1,1,0,0.2,0.2,NA,0.666666666666667,0,1,NA,0.19,0.381,0.45,3.81405,1.38825375214752,0.758823529411765,0.278958448750364,0.826923076923077
"GRC",2019,"Greece",0,5,1,0,0,78,1,6,NA,NA,NA,69,1,NA,0,1,1,0,1,0,0.15,NA,NA,1,46,1,0,0.1,0.15,0.2,NA,0.5,1,1,NA,0.28,0.15,0.55,10.989387,1.24246520483928,0.737888702767901,0.479318672008477,0.737888702767901
"HUN",2019,"Hungary",0,2.5,0.5,1,1,35,2,7,NA,NA,NA,96,1,NA,0,1,1,1,0,1,0.15,NA,NA,2,146,1,1,0,0,0,NA,0.333333333333333,0,1,NA,0.09,0.15,0.15,0,1,0.816200383417959,0.278958448750364,0.869865253929667
"IRL",2019,"Ireland",1,100,0,1,1,12,1,7,NA,NA,NA,30,0.5,NA,0,1,1,0,0,0,0.33,NA,NA,1,40,0,1,0.2,0.2,0.2,NA,0,1,0,NA,0.125,0.51,0.48,1.497499,1.46752376372534,0.787075165170195,0.479318672008477,0.547953910556565
"ISL",2019,"Iceland",0,10,0.5,0,1,40,1,7,NA,NA,NA,40,1,NA,0,1,0,1,0,0,0.22,NA,NA,13,60,1,1,0.2,0.12,0.2,NA,0.833333333333333,0,1,NA,0.2,0.22,0.4624,1.220591,1.27841004548958,0.86,0.602353618717047,0.812269350072009
