"ISO_2","ISO_3","country","year","machines_cost_recovery_cost_recovery","buildings_cost_recovery_cost_recovery","intangibles_cost_recovery_cost_recovery"
"AU","AUS","Australia",1980,NA,NA,NA
"AU","AUS","Australia",1981,NA,NA,NA
"AU","AUS","Australia",1982,NA,NA,NA
"AU","AUS","Australia",1983,0.869865253929667,0.338474732816403,NA
"AU","AUS","Australia",1984,0.869865253929667,0.338474732816403,NA
"AU","AUS","Australia",1985,0.869865253929667,0.338474732816403,NA
"AU","AUS","Australia",1986,0.869865253929667,0.479318672008477,NA
"AU","AUS","Australia",1987,0.869865253929667,0.479318672008477,NA
"AU","AUS","Australia",1988,0.869865253929667,0.479318672008477,NA
"AU","AUS","Australia",1989,0.832153614457831,0.338474732816403,0.547953910556565
"AU","AUS","Australia",1990,0.832153614457831,0.338474732816403,0.547953910556565
"AU","AUS","Australia",1991,0.832153614457831,0.338474732816403,0.547953910556565
"AU","AUS","Australia",1992,0.758823529411765,0.338474732816403,0.547953910556565
"AU","AUS","Australia",1993,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",1994,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",1995,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",1996,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",1997,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",1998,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",1999,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2000,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2001,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2002,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2003,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2004,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2005,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2006,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2007,0.796020761245675,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2008,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2009,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2010,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2011,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2012,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2013,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2014,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2015,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2016,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2017,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2018,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2019,0.851484971473245,0.479318672008477,0.547953910556565
"AT","AUT","Austria",1982,0.813463195231154,0.479318672008477,NA
"AT","AUT","Austria",1983,0.813463195231154,0.479318672008477,NA
"AT","AUT","Austria",1984,0.813463195231154,0.479318672008477,NA
"AT","AUT","Austria",1985,0.813463195231154,0.479318672008477,NA
"AT","AUT","Austria",1986,0.813463195231154,0.479318672008477,NA
"AT","AUT","Austria",1987,0.813463195231154,0.479318672008477,NA
