"ISO_3","country","year","property_tax_collections"
"AUS","Australia","2012",0.896235839368787
"AUS","Australia","2013",0.912845158231682
"AUS","Australia","2014",0.919434914575111
"AUS","Australia","2015",0.955322385727872
"AUS","Australia","2016",0.99716766987301
"AUS","Australia","2017",0.970719391454096
"AUT","Austria","2012",0.119328989665233
"AUT","Austria","2013",0.122215282959359
"AUT","Austria","2014",0.122681552789533
"AUT","Austria","2015",0.12361216753266
"AUT","Austria","2016",0.123800238666228
"AUT","Austria","2017",0.126634842884256
"BEL","Belgium","2012",0.68087579649982
"BEL","Belgium","2013",0.714269632352527
"BEL","Belgium","2014",0.734991184871347
"BEL","Belgium","2015",0.738176031982139
"BEL","Belgium","2016",0.754605893687453
"BEL","Belgium","2017",0.752708531016413
"CAN","Canada","2012",1.98904384890277
"CAN","Canada","2013",1.9852300677456
"CAN","Canada","2014",1.97235811690682
"CAN","Canada","2015",1.95417134924071
"CAN","Canada","2016",1.94800946036414
"CAN","Canada","2017",1.93611681582879
"CHE","Switzerland","2012",0.0890439301542225
"CHE","Switzerland","2013",0.0910226599245968
"CHE","Switzerland","2014",0.0897070271309894
"CHE","Switzerland","2015",0.0961284141622289
"CHE","Switzerland","2016",0.103387927994044
"CHE","Switzerland","2017",0.103213246119261
"CHL","Chile","2012",0.530158774159162
"CHL","Chile","2013",0.510013763026873
"CHL","Chile","2014",0.497232747763124
"CHL","Chile","2015",0.530151545914639
"CHL","Chile","2016",0.547940609017748
"CHL","Chile","2017",0.540351120860356
"CZE","Czech Republic","2012",0.121091479857848
"CZE","Czech Republic","2013",0.124340687752308
"CZE","Czech Republic","2014",0.123348162111353
"CZE","Czech Republic","2015",0.125879383488097
"CZE","Czech Republic","2016",0.125154905749053
"CZE","Czech Republic","2017",0.124085310155285
"DEU","Germany","2012",0.256348033466423
"DEU","Germany","2013",0.260483699586195
"DEU","Germany","2014",0.26468755015892
"DEU","Germany","2015",0.273335436716142
"DEU","Germany","2016",0.279540947598984
"DEU","Germany","2017",0.282001557736199
"DNK","Denmark","2012",0.847816116645812
"DNK","Denmark","2013",0.911395951507738
"DNK","Denmark","2014",0.949360239404309
"DNK","Denmark","2015",0.96460364268842
"DNK","Denmark","2016",0.956928775921047
"DNK","Denmark","2017",0.933099745496656
"ESP","Spain","2012",0.570050193085456
"ESP","Spain","2013",0.628618472646001
"ESP","Spain","2014",0.671372899312731
"ESP","Spain","2015",0.687324070182599
"ESP","Spain","2016",0.691211092222482
"ESP","Spain","2017",0.703302081238721
"EST","Estonia","2012",0.194393896306958
"EST","Estonia","2013",0.178902490295171
"EST","Estonia","2014",0.179488455093125
"EST","Estonia","2015",0.171069392309224
"EST","Estonia","2016",0.169584467276208
"EST","Estonia","2017",0.162259402164862
"FIN","Finland","2012",0.356022502925622
"FIN","Finland","2013",0.378340997663513
"FIN","Finland","2014",0.423011485422539
"FIN","Finland","2015",0.446640312985308
"FIN","Finland","2016",0.463038754172413
"FIN","Finland","2017",0.484884785684177
"FRA","France","2012",1.53958637398369
"FRA","France","2013",1.6060749545814
"FRA","France","2014",1.63582265001634
"FRA","France","2015",1.66339348226691
"FRA","France","2016",1.69685431093407
"FRA","France","2017",1.70748038132408
"GBR","United Kingdom","2012",2.37473839654365
"GBR","United Kingdom","2013",2.44043863405492
"GBR","United Kingdom","2014",2.49970630726359
"GBR","United Kingdom","2015",2.52350034088564
"GBR","United Kingdom","2016",2.5602074024453
"GBR","United Kingdom","2017",2.6079351730449
"GRC","Greece","2012",0.838600763432924
"GRC","Greece","2013",0.824410960343746
"GRC","Greece","2014",1.14252182542054
"GRC","Greece","2015",1.28692684312807
"GRC","Greece","2016",1.36895730485125
"GRC","Greece","2017",1.42059186465177
"HUN","Hungary","2012",0.262176266222464
"HUN","Hungary","2013",0.385057288878527
"HUN","Hungary","2014",0.384736455136439
"HUN","Hungary","2015",0.392596721209755
"HUN","Hungary","2016",0.3983891743604
"HUN","Hungary","2017",0.406973844552963
"IRL","Ireland","2012",0.555877336575621
"IRL","Ireland","2013",0.635114799497747
"IRL","Ireland","2014",0.686508424627591
"IRL","Ireland","2015",0.655344724286077
"IRL","Ireland","2016",0.598073364712666
"IRL","Ireland","2017",0.502754134930928
"ISL","Iceland","2012",0.958258501058584
"ISL","Iceland","2013",1.01883105029113
"ISL","Iceland","2014",1.10336529143675
"ISL","Iceland","2015",1.18468413031716
"ISL","Iceland","2016",1.27634065211815
"ISL","Iceland","2017",1.32450050663432
"ISR","Israel","2012",1.55129499532377
"ISR","Israel","2013",1.56057544940978
"ISR","Israel","2014",1.56206626451323
"ISR","Israel","2015",1.58298924919752
"ISR","Israel","2016",1.59390675430273
"ISR","Israel","2017",1.58229586229205
"ITA","Italy","2012",0.788982897507739
"ITA","Italy","2013",0.696315543150948
"ITA","Italy","2014",0.869160172381578
"ITA","Italy","2015",0.898556474917788
"ITA","Italy","2016",0.773251720998303
"ITA","Italy","2017",0.776039563260252
"JPN","Japan","2012",1.17972085032508
"JPN","Japan","2013",1.19064488570795
"JPN","Japan","2014",1.20314055601556
"JPN","Japan","2015",1.16426031446005
"JPN","Japan","2016",1.14679988293645
"JPN","Japan","2017",1.13103595851161
"KOR","Korea","2012",0.387891833269311
"KOR","Korea","2013",0.401588968173824
"KOR","Korea","2014",0.424668216568401
"KOR","Korea","2015",0.434005612470516
"KOR","Korea","2016",0.433296974409561
"KOR","Korea","2017",0.449409802110167
"LTU","Lithuania","2012",0.229702767888654
"LTU","Lithuania","2013",0.226529224948919
"LTU","Lithuania","2014",0.247047777104198
"LTU","Lithuania","2015",0.276399447393377
"LTU","Lithuania","2016",0.266223017482347
"LTU","Lithuania","2017",0.324300491749063
"LUX","Luxembourg","2012",0.0646287749560816
