"country","year","corporate_other_rev"
"AUS",2014,0
"AUS",2015,0
"AUS",2016,0
"AUS",2017,0
"AUS",2018,0
"AUS",2019,0
"AUS",2020,0
"AUS",2021,0
"AUS",2022,0
"AUS",2023,0
"AUS",2024,0
"AUS",2025,0
"AUT",2014,0.441723
"AUT",2015,0.421646
"AUT",2016,0.391851
"AUT",2017,0.378568
"AUT",2018,0.319657
"AUT",2019,0.29698
"AUT",2020,0.293445
"AUT",2021,0.209818
"AUT",2022,0.215404
"AUT",2023,0.32292
"AUT",2024,0.304299
"AUT",2025,0.278226
"AUT",2026,0.480402
"BEL",2014,0.007604
"BEL",2015,0.013076
"BEL",2016,0.014619
"BEL",2017,0.012129
"BEL",2018,0.015404
"BEL",2019,0.014885
"BEL",2020,0.015278
"BEL",2021,0.01508
"BEL",2022,0.014447
"BEL",2023,0.014959
"BEL",2024,0.014085
"BEL",2025,0.018618
"BEL",2026,0.01886
"CAN",2014,0.273643
"CAN",2015,0.282508
"CAN",2016,0.3331
"CAN",2017,0.333745
"CAN",2018,0.334331
"CAN",2019,0.349381
"CAN",2020,0.399208
"CAN",2021,0.436772
"CAN",2022,0.336812
"CAN",2023,0.413397
"CAN",2024,0.434243
"CAN",2025,0.438099
"CAN",2026,0.466647
"CHE",2014,0.995491
"CHE",2015,1.176225
"CHE",2016,1.174687
"CHE",2017,1.328588
"CHE",2018,1.19603
"CHE",2019,1.815504
"CHE",2020,1.571754
"CHE",2021,1.798855
"CHE",2022,0.926373
"CHE",2023,1.843327
"CHE",2024,1.073843
"CHE",2025,1.072597
"CHE",2026,1.086905
"CHL",2014,1.037524
"CHL",2015,1.103676
"CHL",2016,0.890607
"CHL",2017,1.13572
"CHL",2018,0.774605
"CHL",2019,0.757166
"CHL",2020,1.476469
"CHL",2021,0.894064
"CHL",2022,-0.430023
"CHL",2023,2.310024
"CHL",2024,2.26738
"CHL",2025,0.107054
"CHL",2026,0.947881
"COL",2014,0.174203
"COL",2015,0.16266
"COL",2016,0.169886
"COL",2017,0.252431
"COL",2018,0.2439
"COL",2019,0.242697
"COL",2020,0.316587
"COL",2021,0.283338
"COL",2022,0.422141
"COL",2023,0.247782
"COL",2024,0.153203
"COL",2025,0.1544
"COL",2026,0
"CRI",2014,0.516565
"CRI",2015,0.598371
"CRI",2016,0.600665
"CRI",2017,0.666567
"CRI",2018,0.81095
"CRI",2019,0.791017
"CRI",2020,0.83391
"CRI",2021,0.676215
"CRI",2022,1.103194
"CRI",2023,1.166702
"CRI",2024,1.227536
"CRI",2025,1.212838
"CRI",2026,1.180657
"CZE",2014,0
"CZE",2015,0
"CZE",2016,0
"CZE",2017,0
"CZE",2018,0
"CZE",2019,0
"CZE",2020,0
"CZE",2021,0
"CZE",2022,0
"CZE",2023,0
"CZE",2024,0
"CZE",2025,0
"CZE",2026,0
"DEU",2014,0
"DEU",2015,0
"DEU",2016,0
"DEU",2017,0
"DEU",2018,0
"DEU",2019,0
"DEU",2020,0
