ISO_3,tax_wedge
AUS,1.347517352
AUT,1.13814483
BEL,1.258430052
CAN,1.248480974
CHE,1.370155122
CHL,1.239316871
COL,NA
CRI,1.061777828
CZE,1.106407336
DEU,1.091906147
DNK,1.279421843
ESP,1.343151334
EST,1.204098584
FIN,1.26168452
FRA,1.399601447
GBR,1.353201352
GRC,1.288587945
HUN,1
IRL,1.525510715
ISL,1.352550863
ISR,1.688331396
ITA,1.308125224
JPN,1.148174831
KOR,1.278387189
LTU,1.154737196
LUX,1.343150478
LVA,1.131365393
MEX,1.196731778
NLD,1.447788613
NOR,1.314593759
NZL,1.479216866
POL,1.217730399
PRT,1.224343829
SVK,1.115179445
SVN,1.178189777
SWE,1.264418181
TUR,1.234502609
USA,1.248298501
