ISO_2,ISO_3,country,year,corporate_rate,r_and_d_credit,top_income_rate,threshold_top_income_rate,tax_wedge,dividends_rate,corporate_other_rev,personal_other_rev
AU,AUS,Australia,2014,0.3,0.1425,0.465,2.32037,1.439058215,0.27142857,0,0
AU,AUS,Australia,2015,0.3,0.1425,0.49,2.266751,1.424407985,0.27142857,0,0
AU,AUS,Australia,2016,0.3,0.1425,0.49,2.229938,1.456669276,0.27142857,0,0
AU,AUS,Australia,2017,0.3,0.1525,0.49,2.194088,1.446052083,0.24285714,0,0
AU,AUS,Australia,2018,0.3,0.1375,0.47,2.15994,1.393255153,0.24285714,0,0
AU,AUS,Australia,2019,0.3,0.1375,0.47,2.098449,1.377829938,0.24285714,0,0
AU,AUS,Australia,2020,0.3,0.1375,0.47,2.050567,1.413941075,0.24285714,0,0
AU,AUS,Australia,2021,0.3,0.1375,0.47,1.98057,1.475142633,0.24285714,0,0
AU,AUS,Australia,2022,0.3,0.1475,0.47,1.937535,1.496532784,0.24285714,0,0
AU,AUS,Australia,2023,0.3,0.1525,0.47,1.880192,1.49320054,0.24285714,0,0
AU,AUS,Australia,2024,0.3,0.1525,0.47,1.807861,1.352347485,0.24285714,0,0
AT,AUT,Austria,2014,0.25,0.12,0.5,14.163515,1.096453618,0.25,1.051,0
AT,AUT,Austria,2015,0.25,0.12,0.5,13.879673,1.091832124,0.25,0.981,0
AT,AUT,Austria,2016,0.25,0.12,0.55,13.539476,1.087002938,0.275,0.909,0
AT,AUT,Austria,2017,0.25,0.15,0.55,24.310926,1.113475114,0.275,0.872,0
AT,AUT,Austria,2018,0.25,0.15,0.55,23.826478,1.108220815,0.275,0.761,0
AT,AUT,Austria,2019,0.25,0.17,0.55,23.289873,1.101848921,0.275,0.705,0
AT,AUT,Austria,2020,0.25,0.17,0.55,22.659401,1.096856446,0.275,0.691,0
AT,AUT,Austria,2021,0.25,0.17,0.55,22.348941,1.105859579,0.275,0.491,0
AT,AUT,Austria,2022,0.25,0.17,0.55,21.751674,1.132446056,0.275,0.511,0
AT,AUT,Austria,2023,0.24,0.17,0.55,20.658344,1.143773708,0.275,0.746,0
AT,AUT,Austria,2024,0.23,0.17,0.55,19.238704,1.125163437,0.275,0.71,0
BE,BEL,Belgium,2014,0.3399,0.155,0.5839317,1.009416,1.207757537,0.25,0.017,0
BE,BEL,Belgium,2015,0.3399,0.155,0.58435331,1.592011,1.2102997,0.25,0.029,0
BE,BEL,Belgium,2016,0.3399,0.155,0.60533822,1.025977,1.216835825,0.27,0.032,0
BE,BEL,Belgium,2017,0.3399,0.155,0.60215738,1.046325,1.24232299,0.3,0.028,0
BE,BEL,Belgium,2018,0.2958,0.15,0.60215738,1.044424,1.241019902,0.3,0.034,0
BE,BEL,Belgium,2019,0.2958,0.155,0.60215738,1.049507,1.27428541,0.3,0.032,0
BE,BEL,Belgium,2020,0.25,0.15,0.60215738,1.046545,1.287315157,0.3,0.035,0
BE,BEL,Belgium,2021,0.25,0.1525,0.60172491,1.0504,1.289029658,0.3,0.036,0
BE,BEL,Belgium,2022,0.25,0.155,0.55574903,1.037233,1.283927928,0.3,0.034,0
BE,BEL,Belgium,2023,0.25,0.155,0.60172143,0.96731,1.293703529,0.3,0.035,0
BE,BEL,Belgium,2024,0.25,0.155,0.60172143,1.008229,1.276467598,0.3,0.029,0
CA,CAN,Canada,2014,0.262,0.245,0.495296,8.209677,1.248186051,0.338414,0.878,0
CA,CAN,Canada,2015,0.267,0.2125,0.495296,3.421462,1.238198893,0.338214,0.907,0
CA,CAN,Canada,2016,0.267,0.2125,0.535296,3.353659,1.236994996,0.39343524,1.065,0
CA,CAN,Canada,2017,0.2665,0.2125,0.535296,3.374233,1.239014108,0.39343524,1.017,0
CA,CAN,Canada,2018,0.2678,0.2125,0.535296,3.278689,1.250374709,0.39343524,1.005,0
CA,CAN,Canada,2019,0.2662,0.2125,0.535296,3.211679,1.250037474,0.39344076,1.057,0
CA,CAN,Canada,2020,0.2625,0.2125,0.535296,3.198852,1.260849508,0.39344076,1.192,0
CA,CAN,Canada,2021,0.2617,0.2125,0.535296,2.893114,1.295763925,0.39344076,1.32,0
CA,CAN,Canada,2022,0.2612,0.2125,0.535296,2.770956,1.22456768,0.39344076,0.975,0
CA,CAN,Canada,2023,0.2614,0.2125,0.535296,2.672674,1.211676381,0.39344076,1.171,0
CA,CAN,Canada,2024,0.2614,0.2125,0.535296,2.741276,1.216636615,0.39343524,1.378,0
CH,CHE,Switzerland,2014,0.21148581,-0.01,0.41752888,3.326679,1.37449135,0.21135,3.816,0
CH,CHE,Switzerland,2015,0.21148581,-0.01,0.4173622,3.461304,1.334639696,0.21135,4.482,0
CH,CHE,Switzerland,2016,0.21148581,-0.01,0.41729972,3.474926,1.336392401,0.21135,4.485,0
