ISO_3,country,year,property_tax_collections
AUS,Australia,2012,0.718811819
AUS,Australia,2013,0.676139795
AUS,Australia,2014,0.591029694
AUS,Australia,2015,0.535779232
AUS,Australia,2016,0.562820931
AUS,Australia,2017,0.5767515
AUS,Australia,2018,0.570300265
AUS,Australia,2019,0.568094112
AUS,Australia,2020,0.604629102
AUS,Australia,2021,0.636835319
AUS,Australia,2022,0.650697371
AUS,Australia,2023,0.036917013
AUT,Austria,2012,0.117337554
AUT,Austria,2013,0.122447365
AUT,Austria,2014,0.121515923
AUT,Austria,2015,0.101178753
AUT,Austria,2016,0.10002658
AUT,Austria,2017,0.103888379
AUT,Austria,2018,0.105402879
AUT,Austria,2019,0.103061591
AUT,Austria,2020,0.110069293
AUT,Austria,2021,0.117167085
AUT,Austria,2022,0.104325398
AUT,Austria,2023,0.110451128
BEL,Belgium,2012,0.683328611
BEL,Belgium,2013,0.732972618
BEL,Belgium,2014,0.745403147
BEL,Belgium,2015,0.622194235
BEL,Belgium,2016,0.631203734
BEL,Belgium,2017,0.633435185
BEL,Belgium,2018,0.630544968
BEL,Belgium,2019,0.649151177
BEL,Belgium,2020,0.65823153
BEL,Belgium,2021,0.702163661
BEL,Belgium,2022,0.658695952
BEL,Belgium,2023,0.761106554
CAN,Canada,2012,1.549690265
CAN,Canada,2013,1.490480306
CAN,Canada,2014,1.35975447
CAN,Canada,2015,1.150579899
CAN,Canada,2016,1.111513361
CAN,Canada,2017,1.125600473
CAN,Canada,2018,1.1211705
CAN,Canada,2019,1.145401353
CAN,Canada,2020,1.141022399
CAN,Canada,2021,1.231443396
CAN,Canada,2022,1.194317028
CAN,Canada,2023,1.208410248
CHE,Switzerland,2012,0.065288051
CHE,Switzerland,2013,0.06636522
CHE,Switzerland,2014,0.06570795
CHE,Switzerland,2015,0.068452656
CHE,Switzerland,2016,0.070208832
CHE,Switzerland,2017,0.067821028
CHE,Switzerland,2018,0.068105514
CHE,Switzerland,2019,0.07239746
CHE,Switzerland,2020,0.080306758
CHE,Switzerland,2021,0.087329135
CHE,Switzerland,2022,0.08827714
CHE,Switzerland,2023,0.095367028
CHL,Chile,2012,0.000947913
CHL,Chile,2013,0.000832272
CHL,Chile,2014,0.000675313
CHL,Chile,2015,0.000592685
CHL,Chile,2016,0.000587256
CHL,Chile,2017,0.000619297
CHL,Chile,2018,0.000647569
CHL,Chile,2019,0.000629613
CHL,Chile,2020,0.000638657
CHL,Chile,2021,0.000729164
CHL,Chile,2022,0.000701569
CHL,Chile,2023,0.00088103
COL,Colombia,2012,0.000229613
COL,Colombia,2013,0.000245358
COL,Colombia,2014,0.000237122
COL,Colombia,2015,0.000170876
COL,Colombia,2016,0.000148938
COL,Colombia,2017,0.000158428
COL,Colombia,2018,0.000158629
COL,Colombia,2019,0.000153791
