"country","ISO_2","ISO_3","year","consumption_payments","consumption_time","corporate_time","labor_payments","total_payments","total_time"
"Australia","AU","AUS",2014,"6","50","37","4","11","105"
"Austria","AT","AUT",2014,"8","35","46","3","12","131"
"Belgium","BE","BEL",2014,"8","75","21","2","11","136"
"Canada","CA","CAN",2014,"4","50","45","3","8","131"
"Chile","CL","CHL",2014,"5","124.5","42","1","7","291"
"Czech Republic","CZ","CZE",2014,"5","94","53","2","8","222"
"Denmark","DK","DNK",2014,"6","40","27","1","10","132"
"Estonia","EE","EST",2014,"7","27","20","0","8","81"
"Finland","FI","FIN",2014,"4","24","21","3","8","93"
"France","FR","FRA",2014,"6","31","26","2","9","137"
"Germany","DE","DEU",2014,"6","43","41","1","9","218"
"Greece","GR","GRC",2014,"6","69","78","1","8","193"
"Hungary","HU","HUN",2014,"7","96","35","2","11","277"
"Iceland","IS","ISL",2014,"7","40","40","13","21","140"
"Ireland","IE","IRL",2014,"7","29","12","1","9","81"
"Israel","IL","ISR",2014,"14","69","110","12","28","239"
"Italy","IT","ITA",2014,"11","32","39","1","14","269"
"Japan","JP","JPN",2014,"13","22","87","3","19","181.5"
"Korea","KR","KOR",2014,"8","25","83","2","12","188"
"Latvia","LV","LVA",2014,"5","66","28","1","7","193"
"Lithuania","LT","LTU",2014,"8","58","28","2","11","171"
"Luxembourg","LU","LUX",2014,"6","22","19","12","23","55"
"Mexico","MX","MEX",2014,"3","100","102","2","6","240.5"
"Netherlands","NL","NLD",2014,"7","34","22","1","9","120"
"New Zealand","NZ","NZL",2014,"5","59","34","2","8","152"
"Norway","NO","NOR",2014,"2","44","24","1","4","83"
"Poland","PL","POL",2014,"4","96","70","2","7","269"
"Portugal","PT","PRT",2014,"6","96","63","1","8","275"
"Slovak Republic","SK","SVK",2014,"9","84","42","1","11","188"
"Slovenia","SI","SVN",2014,"8","69","74","1","10","233"
"Spain","ES","ESP",2014,"7","35","33","1","9","158"
"Sweden","SE","SWE",2014,"4","36","50","1","6","122"
"Switzerland","CH","CHE",2014,"10","8","15","7","19","63"
"Turkey","TR","TUR",2014,"8","97","49","1","10","226"
"United Kingdom","GB","GBR",2014,"6","25","32","1","8","105"
"United States","US","USA",2014,"4.5999999999999996","33","87","3.6","10.6","175"
"Australia","AU","AUS",2015,"6","50","37","4","11","105"
"Austria","AT","AUT",2015,"8","35","46","3","12","131"
"Belgium","BE","BEL",2015,"8","75","21","2","11","136"
"Canada","CA","CAN",2015,"4","50","45","3","8","131"
"Chile","CL","CHL",2015,"5","124.5","42","1","7","291"
"Czech Republic","CZ","CZE",2015,"5","94","53","2","8","222"
"Denmark","DK","DNK",2015,"6","40","27","1","10","132"
"Estonia","EE","EST",2015,"7","20","5","0","8","56"
"Finland","FI","FIN",2015,"4","24","21","3","8","93"
"France","FR","FRA",2015,"6","31","28","2","9","139"
"Germany","DE","DEU",2015,"6","43","41","1","9","218"
"Greece","GR","GRC",2015,"6","69","78","1","8","193"
"Hungary","HU","HUN",2015,"7","96","35","2","11","277"
"Iceland","IS","ISL",2015,"7","40","40","13","21","140"
"Ireland","IE","IRL",2015,"7","29","12","1","9","81"
"Israel","IL","ISR",2015,"14","69","110","12","28","239"
"Italy","IT","ITA",2015,"11","32","39","1","14","240"
"Japan","JP","JPN",2015,"13","20","38","3","19","128.5"
"Korea","KR","KOR",2015,"8","25","83","2","12","188"
"Latvia","LV","LVA",2015,"5","66","22.5","1","7","168.5"
"Lithuania","LT","LTU",2015,"8","58","28","2","11","171"
"Luxembourg","LU","LUX",2015,"6","22","19","12","23","55"
"Mexico","MX","MEX",2015,"3","100","102","2","6","240.5"
"Netherlands","NL","NLD",2015,"7","34","21","1","9","119"
"New Zealand","NZ","NZL",2015,"4","59","34","2","7","152"
"Norway","NO","NOR",2015,"2","44","24","1","4","83"
"Poland","PL","POL",2015,"4","96","70","2","7","269"
"Portugal","PT","PRT",2015,"6","90","63","1","8","243"
"Slovak Republic","SK","SVK",2015,"6","84","46","1","8","192"
"Slovenia","SI","SVN",2015,"8","69","74","1","10","233"
"Spain","ES","ESP",2015,"6","35","33","1","8","152"
"Sweden","SE","SWE",2015,"4","36","50","1","6","122"
"Switzerland","CH","CHE",2015,"10","8","15","7","19","63"
"Turkey","TR","TUR",2015,"8","91","45.5","1","10","216.5"
"United Kingdom","GB","GBR",2015,"6","25","32","1","8","105"
