"ISO_3","year","country","vat_rate","ISO_2","vat_revenue","final_consumption","vat_base"
"AUS",2014,"Australia",10,"AU",49.026,1128.101,0.454333572735908
"AUS",2015,"Australia",10,"AU",53.409,1175.682,0.475900248869927
"AUS",2016,"Australia",10,"AU",55.553,1220.824,0.476738887348951
"AUS",2017,"Australia",10,"AU",59.177,1274.014,0.487118848042988
"AUS",2018,"Australia",10,"AU",61.505,1325.831,0.486464725078817
"AUS",2019,"Australia",10,"AU",64.062,1383.509,0.485521585937139
"AUS",2020,"Australia",10,"AU",65.147,1444.804,0.472197075070108
"AUS",2021,"Australia",10,"AU",64.048,1464.233,0.457425268803765
"AUS",2022,"Australia",10,"AU",73.297,1517.819,0.507413525027656
"AUS",2023,"Australia",10,"AU",73.297,1634.592,0.469462849749727
"AUT",2014,"Austria",20,"AT",24.544235,233.63802,0.586919286003647
"AUT",2015,"Austria",20,"AT",24.919644,238.32926,0.583845387735481
"AUT",2016,"Austria",20,"AT",25.408119,243.86058,0.581548014695975
"AUT",2017,"Austria",20,"AT",26.281679,249.4042,0.588951731143267
"AUT",2018,"Austria",20,"AT",27.307523,257.16645,0.594006144473127
"AUT",2019,"Austria",20,"AT",28.311953,265.93463,0.595733398795099
"AUT",2020,"Austria",20,"AT",29.323637,274.5967,0.597775325209683
"AUT",2021,"Austria",20,"AT",30.425532,282.03662,0.604614292673779
"AUT",2022,"Austria",20,"AT",28.189053,271.44852,0.579403000171829
"AUT",2023,"Austria",20,"AT",30.777767,290.62946,0.592217942563107
"BEL",2014,"Belgium",21,"BE",26.8439,294.4471,0.477677752874761
"BEL",2015,"Belgium",21,"BE",27.25,301.6295,0.472928570690976
"BEL",2016,"Belgium",21,"BE",27.5178,306.4639,0.469757931217332
"BEL",2017,"Belgium",21,"BE",27.5941,312.3345,0.461474649155779
"BEL",2018,"Belgium",21,"BE",28.75,320.644,0.469022185809787
"BEL",2019,"Belgium",21,"BE",29.7629,331.5828,0.469578365237333
"BEL",2020,"Belgium",21,"BE",31.053,344.668,0.471506237174333
"BEL",2021,"Belgium",21,"BE",31.7019,355.9939,0.465510800671705
"BEL",2022,"Belgium",21,"BE",29.0612,340.3165,0.444608225680548
"BEL",2023,"Belgium",21,"BE",34.2834,366.4846,0.491431956640391
"CAN",2014,"Canada",15.6,"CA",77.936,1408.376,0.375507158225657
"CAN",2015,"Canada",15.6,"CA",78.292,1458.363,0.363656503811612
"CAN",2016,"Canada",15.6,"CA",82.612,1517.376,0.369094919139386
"CAN",2017,"Canada",10.6,"CA",86.694,1566.215,0.552792373023635
"CAN",2018,"Canada",10.6,"CA",90.3428,1610.954,0.560492100832702
"CAN",2019,"Canada",12.4,"CA",96.63268,1684.247,0.49085964811127
"CAN",2020,"Canada",12.4,"CA",101.28624,1756.531,0.493476575711396
"CAN",2021,"Canada",12.4,"CA",103.412,1814.251,0.487461264289325
"CAN",2022,"Canada",12.4,"CA",99.705,1767.727,0.482051544071458
"CAN",2023,"Canada",12.4,"CA",112.878,1913.773,0.505474473310717
"CHE",2014,"Switzerland",8,"CH",21.790749,413.470752,0.695425756775232
"CHE",2015,"Switzerland",8,"CH",22.334778,421.58528,0.699272070044886
"CHE",2016,"Switzerland",8,"CH",22.371764,425.900491,0.693004069571483
"CHE",2017,"Switzerland",8,"CH",22.223564,430.234236,0.680851186167013
"CHE",2018,"Switzerland",8,"CH",22.171366,436.321102,0.669183270951065
"CHE",2019,"Switzerland",8,"CH",22.799671,444.145043,0.676394963464794
"CHE",2020,"Switzerland",7.7,"CH",22.496885,452.232571,0.679876834018243
"CHE",2021,"Switzerland",7.7,"CH",22.337198,457.074848,0.667284005697414
