"ISO_2","ISO_3","country","year","vat_rate","vat_threshold","vat_base"
"AU","AUS","Australia",2014,10,48730.6403375008,0.467195646824494
"AU","AUS","Australia",2015,10,48730.6403375008,0.494887726085523
"AU","AUS","Australia",2016,10,50335.5704697987,0.484352186885038
"AU","AUS","Australia",2017,10,50335.5704697987,0.495545496897089
"AU","AUS","Australia",2018,10,50950.9831162029,0.495677137783973
"AU","AUS","Australia",2019,10,50950.9831162029,0.483468548356666
"AU","AUS","Australia",2020,10,51020.4081632653,0.483468548356666
"AT","AUT","Austria",2014,20,34987.893314216,0.586919292661924
"AT","AUT","Austria",2015,20,34987.893314216,0.583845377348007
"AT","AUT","Austria",2016,20,36585.3658536585,0.581548019729405
"AT","AUT","Austria",2017,20,36585.3658536585,0.58895997712564
"AT","AUT","Austria",2018,20,37457.4389849533,0.595346920500117
"AT","AUT","Austria",2019,20,37457.4389849533,0.596739371206216
"AT","AUT","Austria",2020,20,45691.9060052219,0.598816337341742
"BE","BEL","Belgium",2014,21,6319.04976005039,0.47635036043783
"BE","BEL","Belgium",2015,21,6319.04976005039,0.47493229774738
"BE","BEL","Belgium",2016,21,30487.8048780488,0.473521713334396
"BE","BEL","Belgium",2017,21,30487.8048780488,0.468344652876705
"BE","BEL","Belgium",2018,21,31109.1533083962,0.476392998987602
"BE","BEL","Belgium",2019,21,31109.1533083962,0.46859621010934
"BE","BEL","Belgium",2020,21,32552.0833333333,0.473699408871098
"CA","CAN","Canada",2014,15.6,23453.725818895,0.471328728372367
"CA","CAN","Canada",2015,10.6,23453.725818895,0.469621537063427
"CA","CAN","Canada",2016,10.6,24000,0.474896538948074
"CA","CAN","Canada",2017,12.4,24000,0.475086511535308
"CA","CAN","Canada",2018,12.4,23975.8898451717,0.474503207079933
"CA","CAN","Canada",2019,12.4,23975.8898451717,0.489217260896614
"CA","CAN","Canada",2020,12.4,25000,0.488682223414773
"CL","CHL","Chile",2014,19,0,0.64563394693061
"CL","CHL","Chile",2015,19,0,0.637910442501669
"CL","CHL","Chile",2016,19,0,0.635162131021544
"CL","CHL","Chile",2017,19,0,0.642550959621906
"CL","CHL","Chile",2018,19,0,0.638025880525371
"CL","CHL","Chile",2019,19,0,0.638195438001446
"CL","CHL","Chile",2020,19,0,0.642423625324012
"CZ","CZE","Czech Republic",2014,21,67707.9535587165,0.568660600212091
"CZ","CZE","Czech Republic",2015,21,67707.9535587165,0.567982087694536
"CZ","CZE","Czech Republic",2016,21,75872.5341426404,0.584388568795991
"CZ","CZE","Czech Republic",2017,21,75872.5341426404,0.587342193235465
"CZ","CZE","Czech Republic",2018,21,76296.5356413544,0.600302406645114
"CZ","CZE","Czech Republic",2019,21,76296.5356413544,0.620487760001823
"CZ","CZE","Czech Republic",2020,21,79365.0793650794,0.612479629827038
"DK","DNK","Denmark",2014,25,5879.07638734969,0.586333462576669
"DK","DNK","Denmark",2015,25,5879.07638734969,0.569043391126965
"DK","DNK","Denmark",2016,25,6666.66666666667,0.574223848972526
"DK","DNK","Denmark",2017,25,6666.66666666667,0.573526842925167
"DK","DNK","Denmark",2018,25,6907.63633670914,0.596063795426487
"DK","DNK","Denmark",2019,25,6907.63633670914,0.613881601176001
"DK","DNK","Denmark",2020,25,7407.40740740741,0.622633280065675
"EE","EST","Estonia",2014,20,25581.7765656457,0.689766379494155
"EE","EST","Estonia",2015,20,25581.7765656457,0.66305152424901
"EE","EST","Estonia",2016,20,28571.4285714286,0.697810319567046
"EE","EST","Estonia",2017,20,28571.4285714286,0.729103999536852
"EE","EST","Estonia",2018,20,72611.8858395931,0.728150828092231
"EE","EST","Estonia",2019,20,72611.8858395931,0.739066104744784
"EE","EST","Estonia",2020,20,72727.2727272727,0.741708251023252
"FI","FIN","Finland",2014,24,8589.47283647476,0.559389625588056
"FI","FIN","Finland",2015,24,8589.47283647476,0.551506657323055
"FI","FIN","Finland",2016,24,10752.688172043,0.542992338271503
"FI","FIN","Finland",2017,24,10752.688172043,0.533878523080525
"FI","FIN","Finland",2018,24,11062.4119155451,0.543890115085756
"FI","FIN","Finland",2019,24,11062.4119155451,0.561811365308451
"FI","FIN","Finland",2020,24,11627.9069767442,0.571480542269872
"FR","FRA","France",2014,20,93551.0876400815,0.483041968080722
"FR","FRA","France",2015,20,93551.0876400815,0.483017640749106
"FR","FRA","France",2016,20,100243.902439024,0.481709458465818
"FR","FRA","France",2017,20,100243.902439024,0.485072744899431
"FR","FRA","France",2018,20,103912.923981672,0.48566405924343
"FR","FRA","France",2019,20,103912.923981672,0.498745384563855
"FR","FRA","France",2020,20,109814.323607427,0.510312008325459
"DE","DEU","Germany",2014,19,21297.5222109729,0.548951682292742
"DE","DEU","Germany",2015,19,21297.5222109729,0.544024728166151
"DE","DEU","Germany",2016,19,22151.8987341772,0.547669406184961
"DE","DEU","Germany",2017,19,22151.8987341772,0.555961693374702
"DE","DEU","Germany",2018,19,22456.2808292655,0.556567367932321
"DE","DEU","Germany",2019,19,22456.2808292655,0.564799926917352
"DE","DEU","Germany",2020,19,29649.5956873315,0.570055410492846
"GR","GRC","Greece",2014,23,6677.54959454146,0.369131592159951
"GR","GRC","Greece",2015,23,6677.54959454146,0.359776147489019
"GR","GRC","Greece",2016,23,16393.4426229508,0.369899975249352
"GR","GRC","Greece",2017,24,16393.4426229508,0.383647353956222
"GR","GRC","Greece",2018,24,16710.6993594789,0.436878506277984
"GR","GRC","Greece",2019,24,16710.6993594789,0.421127539656337
"GR","GRC","Greece",2020,24,17825.311942959,0.421127539656337
"HU","HUN","Hungary",2014,27,42328.198651231,0.522364852899303
"HU","HUN","Hungary",2015,27,42328.198651231,0.522674408338248
"HU","HUN","Hungary",2016,27,44822.9493500672,0.560282618365676
"HU","HUN","Hungary",2017,27,44822.9493500672,0.596712802594611
"HU","HUN","Hungary",2018,27,57601.502523673,0.567176393235143
"HU","HUN","Hungary",2019,27,57601.502523673,0.571183597778278
"HU","HUN","Hungary",2020,27,56338.0281690141,0.576214884192584
"IS","ISL","Iceland",2014,25.5,7006.49705254991,0.447203978401448
"IS","ISL","Iceland",2015,24,7006.49705254991,0.449371523596307
"IS","ISL","Iceland",2016,24,7032.3488045007,0.455489850125124
"IS","ISL","Iceland",2017,24,7032.3488045007,0.524289597466797
"IS","ISL","Iceland",2018,24,14202.1555989162,0.546822043581059
