,cfcyesno,cfcall,cfcexempt
Australia,1,0,0
Austria,1,0,0
Belgium,1,1,1
Canada,1,0,0
Chile,1,0,1
Czech Republic,1,0,1
Denmark,1,0,0
Estonia,1,1,0
Finland,1,1,0
France,1,1,0
Germany,1,0,0
Greece,1,0,0
Hungary,1,0,0
Iceland ,1,1,0
Ireland,1,1,0
Israel,1,0,1
Italy,1,1,0
Japan,1,1,0
Korea,1,1,0
Latvia,1,0,0
Lithuania,1,1,0
Luxembourg,1,1,0
Mexico,1,1,1
Netherlands,1,0,0
New Zealand,1,0,0
Norway,1,1,0
Poland,1,1,0
Portugal,1,1,0
Slovak Republic,1,1,1
Slovenia,1,0,0
Spain,1,0,0
Sweden    ,1,1,0
Switzerland,0,0,0
Turkey,1,0,1
United Kingdom,1,1,0
United States,1,0,0
