country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,progressivity,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Australia,0.3,0,100,0.851485,0.4793187,0.5479539,0.5,0,1,37,1,6,0.1,50335.57047,0.47,50,0,1.115858998,0,0,1,0,0,0,0.245,0,0.27121,0.49,2.228589,1.447539703,4,18,1,1,0.3,0.1,0.3,44,0.67,0,0.5
Austria,0.25,0,75,0.8134632,0.391406,0.7378887,1,0,1,46,1,8,0.2,36585.36585,0.59,35,1,0.129546684,0,0,1,1,0,0,0.275,0,0.275,0.5,13.539476,1.11181959,3,50,1,1,0.275,0,0.2,86,0,0,0.5
Belgium,0.3399,0,100,0.8822161,0.6224049,0.8025327,1,1,1,21,1,8,0.21,30487.80488,0.48,75,0.5,0.675831814,0,1,1,0,0,1,0,1,0.27,0.58435331,1.025977,1.209373527,2,40,0.95,0.987878788,0.27,0.27,0.27,93,0,0,0.5
Canada,0.267,3,20,0.9651163,0.2421053,0.5189655,0.5,0,1,45,1,4,0.123911221,24000,0.48,50,0.5,2.037722018,0,0,1,1,1,0,0.2475,0,0.39343524,0.495296,4.367895,1.195360856,3,36,1,0.5,0.25,0.25,0.25,93,0.33,1,0.5
Chile,0.24,100,100,0.6326117,0.3384747,0,0.5,1,0,42,1,5,0.19,0,0.64,124.5,1,0.551819251,0,1,0,1,0,0,0.4,0,0.21052632,0.4,10.035255,1.146960344,1,124.5,0,0,0.35,0.35,0.3,25,0.5,1,0.5
Czech Republic,0.19,0,5,0.8738791,0.5432228,0.8413188,0.5,0,1,53,1,5,0.21,75872.53414,0.57,94,1,0.149560905,0,1,1,0,0,0,0.15,1,0.15,0.311,0.38544,1.131516597,2,75,1,1,0.15,0.15,0.15,86,0,1,0.5
Denmark,0.22,0,60,0.8269231,0.4793187,0.8134064,0,0,0,27,3,6,0.25,6666.666667,0.59,40,0.5,0.811492826,0,1,0,0,0,0,0.42,0,0.42,0.55794,1.236698,1.265454408,1,65,1,1,0.27,0.25,0.25,73,0.83,1,0.5
Estonia,0.2,100,100,1,1,1,1,0,0,20,1,7,0.2,28571.42857,0.7,27,0,0.202327289,0,0,0,0,0,0,0.2,0,0,0.2128,0.144043,1.052351366,0,34,1,0,0,0,0.1,56,0.67,1,0
Finland,0.2,0,10,0.8269231,0.5189655,0.7378887,0,0,0,21,1,4,0.24,10752.68817,0.56,24,0.5,0.406684666,0,1,0,0,0,1,0.34,0,0.289,0.57467517,2.255193,1.278911321,3,48,1,1,0.2,0,0.2,75,0.83,1,1
France,0.3443,1,50,0.857738,0.5479539,0.8698653,0.5,1,1,26,1,6,0.2,100243.9024,0.48,31,1,1.581215638,1,1,1,1,1,1,0.3444675,0,0.44001,0.550365,14.937657,1.253374758,2,80,0.95,0.88,0.3,0,0.3333,122,0.67,1,1
