country,corprate,losscarryback,losscarryforward,pdvmachines,pdvbuildings,pdvintangibles,inventory,patentbox,rndcredit,corptime,profitpayments,otherpayments,vatrate,threshold,base,consumptiontime,propertytaxes,propertytaxescollections,netwealth,estate/inheritance tax,transfertaxes,Assettaxes,capitalduties,financialtrans,capgainsrate,capgainsindex,divrate,incrate,threshold,taxwedge,laborpayments,labortime,dividendexempt,capgainsexemption,divwithhold,intwithhold,roywithhold,taxtreaties,cfcrules,countrylimitations,thincap
Australia,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,1,37,1,6,0.1,50335.57047,0.49,50,0,1.165594083,0,0,1,0,0,0,0.245,0,0.2428,0.49,2.22844,1.436509951,4,18,1,1,0.3,0.1,0.3,45,0.67,0,0.5
Austria,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,1,46,1,8,0.2,36585.36585,0.59,35,1,0.13292542,0,0,1,1,0,0,0.275,0,0.275,0.47964286,8.023699,1.141194791,3,50,1,1,0.275,0,0.2,91,0,0,0.5
Belgium,0.3399,0,100,0.882216122,0.622404879,0.802532679,1,1,1,21,1,8,0.21,30487.80488,0.47,75,0.5,0.685753521,0,1,1,0,0,1,0,1,0.3,0.60533822,1.046325,1.237120715,2,40,0.95,0.987878788,0.3,0.3,0.3,93,0,0,0.5
Canada,0.267,3,20,0.965116279,0.242105263,0.518965517,0.5,0,1,45,1,4,0.1242697,24000,0.49,50,0.5,2.025457196,0,0,1,1,1,0,0.2675,0,0.39343524,0.535296,4.328839,1.173002107,3,36,1,0.5,0.25,0.25,0.25,96,0.33,1,0.5
Chile,0.25,0,100,0.63261166,0.338474733,0,0.5,0,1,42,1,5,0.19,0,0.63,124.5,1,0.565718781,0,1,0,1,0,0,0.35,0,0.13333333,0.4,9.75367,1.141400382,1,124.5,0,0,0.35,0.35,0.3,32,0.5,1,0.5
Czech Republic,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,1,53,1,5,0.21,75872.53414,0.58,94,1,0.152016827,0,1,1,0,0,0,0.15,1,0.15,0.311,0.371761,1.126165669,2,75,1,1,0.15,0.15,0.15,87,0,1,0.5
Denmark,0.22,0,60,0.826923077,0.479318672,0.813406443,0,0,0,27,3,6,0.25,6666.666667,0.59,40,0.5,0.842638018,0,1,0,0,0,0,0.42,0,0.42,0.55794,1.249225,1.269452569,1,65,1,1,0.27,0.22,0.22,73,0.83,1,0.5
Estonia,0.2,100,100,1,1,1,1,0,0,5,1,7,0.2,28571.42857,0.7,20,0,0.194012606,0,0,0,0,0,0,0.2,0,0,0.5628,0.409786,1.053804897,0,31,1,1,0,0,0.1,57,0.67,1,0
Finland,0.2,0,10,0.826923077,0.518965517,0.737888703,0,0,0,21,1,4,0.24,10752.68817,0.54,24,0.5,0.437568076,0,1,1,0,0,1,0.34,0,0.289,0.58943686,1.806615,1.28334092,3,48,1,1,0.2,0,0.2,75,0.83,1,1
France,0.4442889,1,50,0.857738015,0.547953911,0.869865254,0.5,1,1,28,1,6,0.2,100243.9024,0.48,31,1,1.633078367,1,1,1,1,1,1,0.3444675,0,0.44001,0.55062,14.818232,1.245923465,2,80,0.95,0.88,0.3,0,0.3333,107,0.67,1,1
Germany,0.29825,1,60,0.737888703,0.391406013,0.869865254,1,0,0,41,2,6,0.19,22151.89873,0.55,43,1,0.30527023,0,1,1,0,0,0,0.26375,0,0.26375,0.47475,5.481573,1.106429016,1,134,0.95,0.95,0.26375,0,0.15825,96,0.5,0,1
Greece,0.29,0,5,0.737888703,0.479318672,0.737888703,1,0,1,78,1,6,0.24,16393.44262,0.37,69,1,1.503284183,0,1,1,0,1,0,0.25,0,0.15,0.55,3.755502,1.253796889,1,46,1,0,0.15,0.15,0.2,57,0.5,1,1
Hungary,0.09,0,2.5,0.816200383,0.278958449,0.869865254,0.5,1,1,35,2,7,0.27,44822.94935,0.57,96,1,0.491181606,0,1,1,1,0,1,0.15,0,0.15,0.335,0,1,2,146,1,1,0,0,0,80,0.33,0,0.5
Iceland ,0.2,0,10,0.86,0.477777778,0.81226935,0.5,0,1,40,1,7,0.24,7032.348805,0.46,40,1,1.402192527,0,1,0,1,0,0,0.2,0,0.2,0.444,1.250882,1.28617343,13,60,1,1,0.18,0.1,0.2,42,0.83,0,1
Ireland,0.125,1,100,0.787075165,0.479318672,0.547953911,0.5,1,1,12,1,7,0.23,88339.22261,0.49,30,0.5,0.519786391,0,1,1,0,0,0,0.33,0,0.51,0.52,1.977008,1.695917882,1,40,0,1,0.2,0.2,0.2,72,0,1,0
Israel,0.24,0,100,0.869865254,0.547953911,0.787075165,0.5,1,0,110,2,14,0.17,25517.01031,0.63,69,1,1.747786049,0,0,1,0,0,0,0.27,1,0.27,0.5,5.58326,1.755878644,12,60,0,0,0.3,0.24,0.24,53,0.67,1,0
