ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AU,AUS,Australia,0.3,0,100,0.851484971,0.479318672,0.547953911,0.5,0,1,0,37,1,6,0.49,2.22844,1.436509951,4,18,0.245,0,0.2428,0.1,50335.57047,0.49,50,1,1.165594083,1,1,0,1,1,1,1,1,0,0.3,0.1,0.3,44,0.67,0.5
AT,AUT,Austria,0.25,0,75,0.813463195,0.391406013,0.737888703,1,0,1,0,46,1,8,0.47964286,8.023699,1.141194791,3,50,0.275,0,0.275,0.2,36585.36585,0.59,35,0,0.13292542,1,1,0,0,1,1,1,1,0,0.275,0,0.2,86,0,0.5
BE,BEL,Belgium,0.3399,0,100,0.882216122,0.622404879,0.802532679,1,1,0,0,21,1,8,0.60533822,1.046325,1.237120715,2,40,0,1,0.3,0.21,30487.80488,0.47,75,0.5,0.685753521,1,0,0,1,1,0,0.95,0.987878788,0,0.3,0.3,0.3,93,0,0.5
CA,CAN,Canada,0.267,3,20,0.965116279,0.242105263,0.518965517,0.5,0,1,0,45,1,4,0.535296,4.328839,1.173002107,3,36,0.2675,0,0.39343524,0.1242697,24000,0.49,50,0.5,2.025457196,1,1,0,0,0,1,1,0.5,1,0.25,0.25,0.25,93,0.33,0.5
CL,CHL,Chile,0.25,0,100,0.63261166,0.338474733,0,0.5,0,1,0,42,1,5,0.4,9.75367,1.141400382,1,124.5,0.35,0,0.13333333,0.19,0,0.63,124.5,0.5,0.565718781,1,0,1,0,1,1,0,0,1,0.35,0.35,0.3,26,0.5,0.5
CZ,CZE,Czech Republic,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,1,0,53,1,5,0.311,0.371761,1.126165669,2,75,0.15,1,0.15,0.21,75872.53414,0.58,94,0.5,0.152016827,1,0,0,1,1,1,1,1,1,0.15,0.15,0.15,88,0,0.5
DK,DNK,Denmark,0.22,0,60,0.826923077,0.479318672,0.813406443,0,0,1,1,27,3,6,0.55794,1.249225,1.269452569,1,65,0.42,0,0.42,0.25,6666.666667,0.59,40,0.5,0.842638018,1,0,0,1,1,1,1,1,1,0.27,0.22,0.22,73,0.83,0.5
EE,EST,Estonia,0.2,100,100,1,1,1,1,1,1,1,5,1,7,0.5628,0.409786,1.053804897,0,31,0.2,0,0,0.2,28571.42857,0.7,20,1,0.194012606,1,1,1,1,1,1,1,1,1,0,0,0.1,56,0.67,0
FI,FIN,Finland,0.2,0,10,0.826923077,0.518965517,0.737888703,0,0,1,1,21,1,4,0.58943686,1.806615,1.28334092,3,48,0.34,0,0.289,0.24,10752.68817,0.54,24,0.5,0.437568076,1,0,0,1,1,0,1,1,1,0.2,0,0.2,75,0.83,1
FR,FRA,France,0.4442889,1,50,0.857738015,0.547953911,0.869865254,0.5,0,0,0,28,1,6,0.55062,14.818232,1.245923465,2,80,0.3444675,0,0.44001,0.2,100243.9024,0.48,31,0.5,1.633078367,0,0,0,0,0,0,0.95,0.88,1,0.3,0,0.3333,122,0.67,1
