ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
AU,AUS,Australia,0.3,0,100,0.851,0.479,0.548,0.5,0,0,0,0,37,1,6,0.49,2.154613,1.395328374,4,18,0.234,0,0.2428,0.1,50335.57047,0.49,50,1,1.218139595,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,44,0.6667,0.5
AT,AUT,Austria,0.25,0,75,0.813,0.391,0.738,1,0,0,0,0,46,1,8,0.47964286,7.872148,1.13646189,3,50,0.275,0,0.275,0.2,37500,0.59,35,0,0.134621198,0,0,1,1,0,0,1,1,0,0.275,0,0.2,88,0.5,0.5
BE,BEL,Belgium,0.2958,0,100,0.882,0.622,0.803,1,1,1,0,0,21,1,8,0.60215738,1.048901,1.237051697,2,40,0,1,0.3,0.21,31250,0.47,75,0.5,0.708699637,1,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,0,0.5
CA,CAN,Canada,0.268,3,20,0.965,0.242,0.519,0.5,0,0,0,0,45,1,4,0.535296,4.260066,1.184405374,3,36,0.2675,0,0.39343524,0.1242697,24000,0.49,50,0.5,2.054426247,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,93,0.333333333,0.5
CL,CHL,Chile,0.25,0,100,0.633,0.338,0,0.5,0,0,0,0,42,1,5,0.35,7.726053,1.137130992,1,124.5,0.35,0,0.13333333,0.19,0,0.63,124.5,0.5,0.605208372,0,1,0,1,0,0,0,0,1,0.35,0.35,0.3,32,0.5,0.5
CO,COL,Colombia,,0,12,,,,0.5,0,0,,0,,,,,,,,,0.1,,,,,,,,,,,,0,0,1,,,,,,,,,
CZ,CZE,Czech Republic,0.19,0,5,0.874,0.543,0.841,0.5,0,0,0,0,53,1,5,0.311,0.347974,1.116997168,2,75,0,1,0.15,0.21,76923.07692,0.58,108,0.5,0.155825557,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,88,0,0.5
DK,DNK,Denmark,0.22,0,60,0.827,0.479,0.813,0,0,0,0,0,27,3,6,0.55794,1.260703,1.272691301,1,65,0.42,0,0.42,0.25,6793.478261,0.59,40,0.5,0.86008888,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.833333333,0.5
EE,EST,Estonia,0.2,100,100,1,1,1,1,1,0,1,0,5,1,7,0.2128,0.14828,1.053992,0,31,0.2,0,0,0.2,74074.07407,0.7,14,1,0.200539394,0,0,0,0,0,0,1,1,1,0,0,0.1,56,0.666666667,0
FI,FIN,Finland,0.2,0,10,0.827,0.519,0.738,0,0,0,1,0,21,1,4,0.58349397,1.851725,1.303662651,3,48,0.34,0,0.289,0.24,10989.01099,0.54,24,0.5,0.459174072,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.833333333,1
FR,FRA,France,0.3443,1,50,0.858,0.548,0.87,0.5,0,1,0,0,28,1,6,0.550875,14.576138,1.270283551,2,80,0.34,0,0.34,0.2,101481.4815,0.48,31,0.5,1.701212702,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.333,122,0.666666667,1
DE,DEU,Germany,0.29825,1,60,0.738,0.391,0.87,1,0,0,1,0,41,2,6,0.47475,5.403225,1.104204001,1,134,0.26375,0,0.26375,0.19,22435.89744,0.55,43,0.5,0.316064642,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.5,1
GR,GRC,Greece,0.29,0,5,0.738,0.479,0.738,0.5,0,0,0,0,78,1,6,0.55,3.928468,1.248875972,1,46,0.15,0,0.15,0.24,16666.66667,0.37,69,0,1.500850026,0,1,1,1,1,0,1,0,1,0.15,0.15,0.2,57,0.5,1
HU,HUN,Hungary,0.09,0,2.5,0.816,0.279,0.87,0.5,0,1,0,1,35,2,7,0.335,0,1,2,146,0.15,0,0.15,0.27,59259.25926,0.57,96,0,0.506853863,0,1,1,1,0,0,1,1,0,0,0,0,80,0.333333333,0.5
IS,ISL,Iceland,0.2,0,10,0.86,0.478,0.812,0.5,0,0,0,0,40,1,7,0.443904,1.171853,1.275145923,13,60,0.22,0,0.22,0.24,6944.444444,0.46,40,0,1.475661032,0,1,0,1,0,0,1,1,0,0.2,0.12,0.2,44,0.833333333,1
IE,IRL,Ireland,0.125,1,100,0.787,0.479,0.548,0.5,0,1,0,0,12,1,7,0.52,1.929367,1.676560624,1,40,0.33,0,0.51,0.23,92592.59259,0.49,30,0.5,0.462234071,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,72,0,0
