ISO_2,ISO_3,country,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,minimum_tax
AT,AUT,Austria,NA,0,75,0.813,0.391,0.738,1,0,0,1,0,2,0,0.691,NA,NA,NA,0,0,0.275,NA,NA,NA,NA,NA,35,0,NA,0,0,1,1,0,0,1,1,0,0.275,0,0.2,89,NA,0.5,0
AU,AUS,Australia,NA,0,100,0.851,0.479,0.548,0.5,0,0,1,0,2,0,0,NA,NA,NA,0,0,0.235,NA,NA,NA,NA,NA,50,1,NA,0,0,1,1,0,0,1,1,0,0.3,0.1,0.3,44,NA,0.5,0
BE,BEL,Belgium,NA,0,70,0.882,0.622,0.803,1,1,1,1,0,1,1,0.035,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,75,0.5,NA,0.5,1,1,1,0,1,1,1,0,0.3,0.3,0.3,95,NA,1,0
CA,CAN,Canada,NA,3,20,1,0.426,0.49,0.5,0,0,1,0,1,0,1.194,NA,NA,NA,0,0,0.2675,NA,NA,NA,NA,NA,50,0.5,NA,0,0,1,1,1,0,1,0.5,1,0.25,0.25,0.25,94,NA,0.5,0
CH,CHE,Switzerland,NA,0,7,0.86,0.555,0.905,1,0,0,0,0,0,0,5.583,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,8,0.5,NA,1,1,1,1,1,1,1,1,0,0.35,0.35,0,93,NA,0.5,0
CL,CHL,Chile,NA,0,100,0.633,0.338,0,0.5,0,0,1,0,1,0,6.938,NA,NA,NA,0,0,0.35,NA,NA,NA,NA,NA,123.5,0.5,NA,0,1,0,1,0,0,0,0,1,0.35,0.35,0.15,33,NA,0.5,0
CO,COL,Colombia,,0,12,,,,0.5,0,0,,0,3,0,11.231,,,,0,9.56,0.1,,,,,,,0.5,,1,1,1,0,0,1,1,0,0,0.15,0.15,0.264,9,,0.5,0
CR,CRI,Costa Rica,,0,3,,,,0.5,0,0,,0,5,0,33.464,,,,0,29.863,0.15,,,,,,,0.5,,0,0,1,1,1,1,1,1,0,0.15,0.15,0.25,2,0,0,0
CZ,CZE,Czech Republic,NA,0,5,0.874,0.543,0.841,0.5,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,102,0.5,NA,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,89,NA,1,0
DE,DEU,Germany,NA,1,60,0.738,0.391,0.87,1,0,0,0,0,0,1,0,NA,NA,NA,1,0,0.26375,NA,NA,NA,NA,NA,43,0.5,NA,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,96,NA,1,0
DK,DNK,Denmark,NA,0,60,0.827,0.479,0.813,0,0,0,1,0,0,0,1.341,NA,NA,NA,0,0,0.42,NA,NA,NA,NA,NA,40,0.5,NA,0,1,1,0,0,0,1,1,1,0.22,0.22,0.22,75,NA,1,0
