,Participation Exemption,,,Withholding Taxes,,,,Base Erosion Protections,,,
Country,Dividend Exemption,Capital Gains Exemption,Country Limitations,Dividend Withholding Tax,Interest Withholding Tax,Royalties Withholding Tax,Number of Tax Treaties,Controlled Foreign Corporation Rules,"Controlled Foreign Corporation Rules, Exemptions",Controlled Foreign Corporate Rules: Taxable Income,Interest Deduction Limitations
Australia,100%,100%,None,30.00%,10.00%,30.00%,45,Yes,Passive,CFC exempt if it passes the active income test and narrower rules apply if located in a “listed” country.,1.5:1 debt-to-equity ratio (15:1 for financial institutions) applies
Austria,100%,100%,None,27.50%,0.00%,20.00%,89,Yes,Passive,CFC with substantive economic activities exempted.,"Interest limitation rule applies for ""excessive borrowing costs,"" i.e., costs greater than EUR 3 million and greater than 30% of adjusted EBITDA; arm's length standard applicable"
Belgium,100%,100%,None,30.00%,30.00%,30.00%,95,Yes,Passive (related to non-genuine arrangements),Effective tax rate exemption.,"Interest deductions limited to the higher of EUR 3 million or 30% of EBITDA

5:1 debt-to-equity ratio applies to intragroup loans

1:1 debt-to-equity ratio applies to receivables from shareholders or directors, managers, and liquidators"
Canada,100%,50%,Countries with a tax treaty or Tax Information Exchange Agreement,25.00%,25.00%,25.00%,96,Yes,Passive,Multiple rules may exempt CFC from taxation.,1.5:1 debt-to-equity ratio applies
Chile,0%,0%,N/A,35.00%,35.00%,15.00%,33,Yes,Generally proportional to passive income,Exemptions based on share of passive income.,"3:1 debt-to-equity ratio applies

A surtax for excessive-indebtedness can apply"
Colombia,100%,0%,"Applicable to holding companies, no country restrictions",32.00%,20.00%,20.00%,9,Yes,Generally proportional to passive income,"If less than 80% of total income is passive, then all income is exempt.","2:1 debt-to-equity ratio applies

Certain exemptions apply"
Czech Republic,100%,100%,EU member states and EEA member states or double tax treaty,15.00%,15.00%,15.00%,89,Yes,Passive,CFC with substantive economic activities exempted and an effective tax rate exemption.,"Interest deductions limited to the higher of CZK 80 million or 30% of EBITDA

4:1 debt-to-equity ratio (6:1 debt-to-equity ratio for certain financial services companies) applies"
Denmark,100%,100%,EU member states and EEA member states or double tax treaty,22.00%,22.00%,22.00%,75,Yes,Passive,Foreign subsidiaries are exempt if less than 1/3 of their income is financial income.,"4:1 debt-to-equity ratio applies

Interest deductions are limited to 2.3% of assets and to 30% of EBITDA

Other rules can apply"
Estonia,100%,100%,EU member states and EEA member states and Switzerland,0.00%,0.00%,10.00%,58,Yes,All income from fictitious transactions,"CFCs in countries that are Estonian tax treaty partners are exempt.

A CFC is exempt if the entity has accounting profits of no more than EUR 750,000 and non-trading income of no more than EUR 75,000.",Interest deductions limited to the higher of EUR 3 million or 30% of EBITDA
Finland,100%,100%,EU member states and EEA member states or double tax treaty,20.00%,0.00%,20.00%,76,Yes,All Income,"No exemption if CFC is in a blacklist jurisdiction. Exemption applies if CFC is in white-list jurisdiction (based on exchange of information agreements).

Other exemptions apply based on activities and substance.","Interest deductions limited to 25% of EBITDA

Net interest expenses between non-related parties limited to EUR 3 million"
